noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,7.91,0,,,,N,,
1,,7.91,0,,,N,,,
2,,8.87,0,,,,N,,
3,,9.349999,0,,,,N,,
4,,9.83,0,,,,N,,
5,,10.309999,0,,,,,,N
6,,10.63,0,,,,,,N
7,,10.79,0,,,,,,N
8,,11.2699995,0,,,,N,,
9,,11.59,0,,,,N,,
10,,11.75,0,,,,N,,
11,,12.07,0,,,,,,N
12,,12.23,0,,,,,,N
13,,12.55,0,,,,N,,
14,,12.71,0,,,,N,,
15,,13.19,0,,,N,,,
16,,13.67,0,,,N,,,
17,,14.15,0,N,,,,,
18,,14.469999,0,N,,,,,
19,,14.63,0,N,,,,,
20,,15.11,0,,,N,,,
21,,15.429999,0,,,N,,,
22,,15.589999,0,,,N,,,
23,,15.91,0,N,,,,,
24,,16.07,0,N,,,,,
25,,16.39,0,,,N,,,
26,,16.55,0,,,O,,,
27,,17.029999,0,,,O,,,
28,,17.51,0.71999997,,,,,,N
29,,17.51,0.71999997,N,,,,,
30,,18.47,0.71999997,,,,N,,
31,,18.47,0.71999997,,,N,,,
32,,19.27,0,,,,N,,
33,,19.43,0,,,,N,,
34,,19.75,0,,,,,,N
35,,19.91,0,,,,,,N
36,,20.23,0,,,,N,,
37,,20.39,0,,,,O,,
38,,20.869999,0,,,,O,,
39,,21.35,0.71999997,N,,,,,
40,,21.35,0.71999997,,,,,,N
41,,22.31,1.1999999,,,N,,,
42,,22.31,1.1999999,,,,S,,
43,,24.23,0,,,,N,,
44,,24.55,0,,,,N,,
45,,24.71,0,,,,N,,
46,,25.189999,0,,,,,,N
47,,25.51,0,,,,,,N
48,,25.67,0,,,,,,N
49,,25.99,0,,,,N,,
50,,26.15,0,,,,N,,
51,,26.47,0,,,,N,,
52,,26.63,0,,,,N,,
53,,26.949999,0,,,,,,N
54,,27.109999,0,,,,,,N
55,,27.43,0,,,,,,N
56,,27.59,0,,,,,,N
57,,27.91,0,,,,N,,
58,,28.07,0,,,,N,,
59,,28.55,0,,,N,,,
60,,29.029999,0,,,N,,,
61,,29.51,0,N,,,,,
62,,29.83,0,N,,,,,
63,,29.99,0,N,,,,,
64,,30.47,0,,,N,,,
65,,30.789999,0,,,N,,,
66,,30.949999,0,,,N,,,
