noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,5.9438787,0,,,,N,,
1,,6.250001,0,,,,N,,
2,,6.5561237,0,,,,,,N
3,,6.862246,0,,,,,,N
4,,7.168369,0,,,,,,N
5,,7.474491,0,,,,,,N
6,,7.7806134,0,,,,N,,
7,,8.086736,0,,,,N,,
8,,8.3928585,0,,,,N,,
9,,8.54592,0,,,,N,,
10,,8.852042,0.7908165,,,,,,N
11,,10.841839,0,N,,,,,
12,,10.9949,0,N,,,,,
13,,11.301023,0,N,,,,,
14,,11.760206,0,,,N,,,
15,,11.913267,0,,,N,,,
16,,12.372451,0,N,,,,,
17,,12.525513,0,N,,,,,
18,,12.984696,0,N,,,,,
19,,13.137757,0,N,,,,,
20,,13.44388,0,N,,,,,
21,,13.750003,0.7908165,,,N,,,
22,,15.433677,0,,,,,,N
23,,15.739799,0,,,,N,,
24,,16.045921,0,,,,N,,
25,,16.352043,0,,,,,,N
26,,16.658167,0,,,,,,N
27,,16.964289,0,,,,,,N
28,,17.27041,0,,,,,,N
29,,17.576534,0,,,,N,,
30,,17.882656,0,,,,N,,
31,,18.188778,0,,,,N,,
32,,18.34184,0,,,,N,,
33,,18.647963,0.7908165,,,,,,N
34,,20.637758,0,N,,,,,
35,,20.79082,0,N,,,,,
36,,21.096943,0,N,,,,,
37,,21.556126,0,,,N,,,
38,,21.709188,0,,,N,,,
39,,22.168371,0,N,,,,,
40,,22.321432,0,N,,,,,
41,,22.780617,0,,,N,,,
42,,23.086739,0,,,N,,,
43,,23.39286,0,N,,,,,
44,,23.698984,0.7908165,,,S,,,
45,,24.923473,0.48469397,,,,,,N
46,,25.535719,0.48469397,,,,N,,
47,,26.147964,0,,,,,,O
48,,26.454086,0,,,,,,N
49,,26.760208,0,,,,O,,
50,,27.066332,0,,,,N,,
51,,27.372454,0,,,,,,O
52,,27.678576,0,,,,,,N
53,,27.9847,0,,,,N,,
54,,28.13776,0,,,,N,,
55,,28.443882,0.3316327,,,,,,N
56,,28.903067,0,,,,,,N
57,,29.209188,0.6377552,,,,N,,
58,,30.43368,0.48469397,N,,,,,
59,,31.045923,0,,,O,,,
60,,31.658169,0.48469397,N,,,,,
61,,32.270412,0,,,O,,,
62,,32.576538,0,N,,,,,
63,,32.88266,0,N,,,,,
64,,33.18878,0,,,N,,,
65,,33.494904,0.9438777,N,,,,,
66,,34.719395,0.6377552,,,,,,N
67,,34.719395,0.6377552,N,,,,,
68,,35.63776,0,,,,,,N
69,,35.943886,0,,,,O,,
70,,36.250008,0,,,,N,,
71,,36.55613,0,,,,,,O
72,,36.86225,0,,,,,,N
73,,37.168373,0,,,,O,,
74,,37.474495,0,,,,N,,
75,,37.78062,0,,,,,,N
76,,37.93368,0,,,,,,N
77,,38.239803,1.096939,,,,,,N
78,,40.2296,0,N,,,,,
79,,40.38266,0,N,,,,,
80,,40.68878,0.48469397,N,,,,,
81,,41.14797,0,,,N,,,
82,,41.30103,0,,,N,,,
83,,41.760212,0,N,,,,,
84,,41.913273,0,N,,,,,
85,,42.372456,0,,,N,,,
86,,42.525517,0,,,N,,,
87,,42.831642,0.3316327,N,,,,,
88,,43.290825,0.6377552,,,S,,,
89,,44.515316,0,,,,O,,
90,,45.12756,0,,,,,,O
91,,45.739803,0,,,,O,,
92,,46.045925,0,,,,N,,
93,,46.35205,0,,,,,,O
94,,46.658173,0,,,,,,N
95,,46.964294,0,,,,O,,
96,,47.270416,0,,,,N,,
97,,47.576538,0,,,,,,N
98,,47.7296,0,,,,,,N
99,,48.035725,0.6377552,,,,N,,
100,,50.02552,0,N,,,,,
101,,50.17858,0,N,,,,,
102,,50.484703,0,N,,,,,
103,,50.943886,0,,,N,,,
104,,51.096947,0,,,N,,,
105,,51.556133,0,N,,,,,
106,,51.709194,0,N,,,,,
107,,52.168377,0,,,N,,,
108,,52.4745,0,N,,,,,
109,,52.78062,0,N,,,,,
110,,53.086742,0,,,N,,,
111,,53.392868,0.6377552,N,,,,,
112,,54.311234,0,,,,O,,
113,,54.92348,0,,,,,,O
114,,55.535725,0,,,,O,,
115,,55.841846,0,,,,N,,
116,,56.14797,0,,,,,,O
117,,56.45409,0,,,,,,N
118,,56.760216,0,,,,O,,
119,,57.066338,0,,,,N,,
120,,57.37246,0,,,,,,N
121,,57.52552,0,,,,,,N
122,,57.831642,0.6377552,,,,N,,
123,,59.821438,0,N,,,,,
124,,59.9745,0,N,,,,,
125,,60.280624,0,N,,,,,
126,,60.739807,0,,,N,,,
127,,60.892868,0,,,N,,,
128,,61.35205,0,N,,,,,
129,,61.50511,0,N,,,,,
130,,61.9643,0,,,N,,,
131,,62.27042,0,N,,,,,
132,,62.57654,0,N,,,,,
133,,62.882664,0,,,N,,,
134,,63.188786,0.6377552,N,,,,,
135,,64.107155,0,,,,O,,
136,,64.107155,0,O,,,,,
137,,64.7194,0,,,O,,,
138,,64.7194,0,,,,,,O
139,,65.33164,0,,,,O,,
140,,65.33164,0,O,,,,,
141,,65.637764,0,,,,N,,
142,,65.637764,0,N,,,,,
143,,65.943886,0,,,,,,O
144,,65.943886,0,,,O,,,
145,,66.250015,0,,,,,,N
146,,66.250015,0,,,N,,,
147,,66.55614,0,O,,,,,
148,,66.55614,0,,,,O,,
149,,66.86226,0,N,,,,,
150,,66.86226,0,,,,N,,
151,,67.16838,0,,,,,,N
152,,67.16838,0,,,N,,,
153,,67.32144,0,,,,,,N
154,,67.32144,0,,,N,,,
155,,67.62756,0.6377552,,,,N,,
156,,67.62756,0.6377552,N,,,,,
157,,69.61736,0,N,,,,,
158,,69.770424,0,N,,,,,
159,,70.076546,0,N,,,,,
160,,70.53573,0,,,N,,,
161,,70.68879,0,,,N,,,
162,,71.14797,0,N,,,,,
163,,71.30103,0,N,,,,,
164,,71.760216,0,,,N,,,
165,,72.06634,0,N,,,,,
166,,72.37246,0,N,,,,,
167,,72.67858,0,,,N,,,
168,,72.98471,0.6377552,N,,,,,
169,,73.903076,0,,,,O,,
170,,73.903076,0,O,,,,,
171,,74.51532,0,,,,,,O
172,,74.51532,0,,,O,,,
173,,75.12756,0,,,,O,,
174,,75.12756,0,O,,,,,
175,,75.433685,0,,,,N,,
176,,75.433685,0,N,,,,,
177,,75.73981,0,,,,,,O
178,,75.73981,0,,,O,,,
179,,76.04593,0,,,,,,N
180,,76.04593,0,,,N,,,
181,,76.35205,0,O,,,,,
182,,76.35205,0,,,,O,,
183,,76.65818,0,,,,N,,
184,,76.65818,0,N,,,,,
185,,76.9643,0,,,,,,N
186,,76.9643,0,,,N,,,
187,,77.11736,0,,,,,,N
188,,77.11736,0,,,N,,,
189,,77.423485,0.6377552,,,,N,,
190,,77.423485,0.6377552,N,,,,,
191,,79.41328,0,,,,,,N
192,,79.56634,0,,,,,,N
193,,79.87247,0,,,,,,N
194,,80.33165,0,,,,N,,
195,,80.48471,0,,,,N,,
196,,80.94389,0,,,,,,N
197,,81.096954,0,,,,,,N
198,,81.55614,0,,,,N,,
199,,81.86226,0,,,,,,N
200,,82.01532,0,,,,,,N
201,,82.4745,0.6377552,,,,N,,
202,,83.699,0.48469397,,,,N,,
203,,83.699,0.48469397,N,,,,,
204,,84.31124,0.48469397,,,,,,N
205,,84.31124,0.48469397,,,N,,,
206,,84.923485,1.5561228,N,,,,,
207,,84.923485,1.5561228,,,,S,,
