noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,4.7962914,0,,,,N,,
1,,5.2407355,0,,,,N,,
2,,5.9074016,0,,,,,,N
3,,6.3518457,0,,,,,,N
4,,6.7962894,0,,,,N,,
5,,7.2407336,0,,,,N,,
6,,7.6851773,0,,,,,,N
7,,7.9073997,0.3518515,,,,,,N
8,,8.351844,0,,,N,,,
9,,8.796288,0,,,N,,,
10,,9.462954,0,N,,,,,
11,,9.907397,0,N,,,,,
12,,10.351842,0,,,N,,,
13,,10.796286,0,,,N,,,
14,,11.240729,0,N,,,,,
15,,11.462952,0.3518515,N,,,,,
16,,11.907395,0,,,,N,,
17,,12.351839,0,,,,N,,
18,,13.018505,0,,,,,,N
19,,13.46295,0,,,,,,N
20,,13.907393,0,,,,N,,
21,,14.351837,0,,,,N,,
22,,14.796282,0,,,,,,N
23,,15.018503,0.3518515,,,,,,N
24,,15.462948,0,,,N,,,
25,,15.462948,0,,,,N,,
26,,15.907392,0,,,N,,,
27,,15.907392,0,,,,N,,
28,,16.574057,0,,,,,,N
29,,16.574057,0,N,,,,,
30,,17.018501,0,N,,,,,
31,,17.018501,0,,,,,,N
32,,17.462946,0,,,N,,,
33,,17.462946,0,,,,N,,
34,,17.685167,0.4629625,,,,N,,
35,,17.685167,0.4629625,,,S,,,
36,,19.0185,0,,,,N,,
37,,19.462944,0,,,,N,,
38,,20.12961,0,,,,,,N
39,,20.574053,0,,,,,,N
40,,21.018497,0,,,,N,,
41,,21.462942,0,,,,N,,
42,,21.907385,0,,,,,,N
43,,22.129608,0.3518515,,,,,,N
44,,22.57405,0,,,N,,,
45,,23.018496,0,,,N,,,
46,,23.685162,0,N,,,,,
47,,24.129606,0,N,,,,,
48,,24.574049,0,,,N,,,
49,,25.018494,0,,,N,,,
50,,25.462938,0,N,,,,,
51,,25.68516,0.3518515,N,,,,,
52,,26.129604,0,,,,N,,
53,,26.574047,0,,,,N,,
54,,27.240713,0,,,,,,N
55,,27.685158,0,,,,,,N
56,,28.129602,0,,,,N,,
57,,28.574045,0,,,,N,,
58,,29.01849,0,,,,,,N
59,,29.240711,0.3518515,,,,,,N
60,,29.685156,0,,,,N,,
61,,29.685156,0,,,N,,,
62,,30.129599,0,,,,N,,
63,,30.129599,0,,,N,,,
64,,30.796265,0,,,,,,N
65,,30.796265,0,N,,,,,
66,,31.24071,0,,,,,,N
67,,31.24071,0,N,,,,,
68,,31.685154,0,,,,N,,
69,,31.685154,0,,,N,,,
70,,31.907375,0.3518515,,,N,,,
71,,31.907375,0.3518515,,,,N,,
72,,32.574043,0,,,,N,,
73,,32.796265,0,,,,N,,
74,,33.018486,0,,,,N,,
75,,33.240707,0.444444,,,,,,N
76,,33.68515,0,,,,N,,
77,,34.129597,0,N,,,,,
78,,34.351818,0,N,,,,,
79,,34.57404,0,,,N,,,
80,,34.79626,0,,,N,,,
81,,35.018482,0.33333302,N,,,,,
82,,35.46293,0,,,N,,,
83,,35.90737,0,,,,,,N
84,,36.129593,0,,,,,,N
85,,36.351814,0,,,,N,,
86,,36.57404,0,,,,N,,
87,,36.79626,0.33333302,,,,,,N
88,,37.240704,0,,,,N,,
89,,37.685146,0,N,,,,,
90,,37.907368,0,N,,,,,
91,,38.129593,0,,,N,,,
92,,38.351814,0,,,N,,,
93,,38.574036,0.444444,N,,,,,
94,,39.01848,0,,,N,,,
95,,39.907368,0,,,,N,,
96,,40.12959,0,,,,N,,
97,,40.35181,0,,,,O,,
98,,40.796257,0,,,,,,O
99,,41.2407,0,,,N,,,
100,,41.46292,0,,,N,,,
101,,41.685143,0,N,,,,,
102,,41.907364,0,N,,,,,
103,,42.12959,0,,,O,,,
104,,42.57403,0,O,,,,,
105,,43.018475,0,,,,N,,
106,,43.240696,0,,,,N,,
107,,43.46292,0,,,,,,N
108,,43.685143,0,,,,,,N
109,,43.907364,0,,,,O,,
110,,44.351807,0,,,,,,O
111,,44.796253,0,,,,N,,
112,,44.796253,0,,,N,,,
113,,45.018475,0,,,,N,,
114,,45.018475,0,,,N,,,
115,,45.240696,0,,,,,,N
116,,45.240696,0,N,,,,,
117,,45.462917,0,,,,,,N
118,,45.462917,0,N,,,,,
119,,45.68514,0,,,O,,,
120,,45.68514,0,,,,O,,
121,,46.129585,0,,,,,,N
122,,46.129585,0,S,,,,,
123,,47.240692,0,,,,,,N
124,,47.462917,0,,,,,,N
125,,47.68514,1.222221,,,,,,N
126,,49.01847,1.0185175,,,,N,,
127,,51.018467,0,,,,N,,
128,,51.24069,0,,,,,,O
129,,51.685135,0,,,,,,N
130,,51.907356,0,,,,N,,
131,,52.129578,0,,,,N,,
132,,52.3518,0,,,,,,N
133,,52.57402,0,,,,,,N
134,,52.79624,0,,,,N,,
135,,53.018467,0,,,,,,O
136,,53.46291,0,N,,,,,
137,,53.68513,0,,,N,,,
138,,53.907352,0,,,N,,,
139,,54.129574,0,N,,,,,
140,,54.3518,0,N,,,,,
141,,54.57402,0,,,N,,,
142,,54.79624,0,O,,,,,
143,,55.240685,0,,,,,,N
144,,55.462906,0,,,,N,,
145,,55.68513,0,,,,N,,
146,,55.907352,0,,,,,,N
147,,56.129574,0,,,,,,N
148,,56.351795,0,,,,N,,
149,,56.574017,0,,,,,,O
150,,57.018463,0,N,,,,,
151,,57.240685,0,,,N,,,
152,,57.462906,0,,,N,,,
153,,57.685127,0,N,,,,,
154,,57.90735,0,N,,,,,
155,,58.12957,0,,,N,,,
156,,58.351795,0,O,,,,,
157,,58.796238,0,,,,,,N
158,,58.796238,0,N,,,,,
159,,59.01846,0,,,,N,,
160,,59.01846,0,,,N,,,
161,,59.24068,0,,,N,,,
162,,59.24068,0,,,,N,,
163,,59.462902,0,,,,,,N
164,,59.462902,0,N,,,,,
165,,59.685127,0,N,,,,,
166,,59.685127,0,,,,,,N
167,,59.90735,0,,,,N,,
168,,59.90735,0,,,N,,,
169,,60.12957,0,,,,,,O
170,,60.12957,0,O,,,,,
171,,60.574013,0,N,,,,,
172,,60.574013,0,,,,,,N
173,,60.796234,0,,,,N,,
174,,60.796234,0,,,N,,,
175,,61.01846,0,,,,N,,
176,,61.01846,0,,,N,,,
177,,61.24068,0,,,,,,N
178,,61.24068,0,N,,,,,
179,,61.462902,0,,,,,,N
180,,61.462902,0,N,,,,,
181,,61.685123,0,,,N,,,
182,,61.685123,0,,,,N,,
183,,61.907345,0,,,,,,O
184,,61.907345,0,O,,,,,
185,,62.35179,0,N,,,,,
186,,62.35179,0,,,,,,N
187,,62.574013,0,N,,,,,
188,,62.574013,0,,,,,,N
189,,62.796234,0,,,N,,,
190,,62.796234,0,,,,N,,
191,,63.240677,1.11111,,,,,,N
192,,63.240677,1.11111,S,,,,,
