noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,3.0737689,0,,,,N,,
1,,3.5655718,0,,,,N,,
2,,4.057375,0,,,,,,N
3,,4.5491776,0,,,,,,N
4,,5.2868824,0,,,,N,,
5,,5.778685,0,,,,N,,
6,,6.2704883,1.1065568,,,,,,N
7,,8.11475,0,,,,N,,
8,,8.606552,0,,,,N,,
9,,9.098355,0,,,,N,,
10,,9.836061,0,,,,,,N
11,,10.327863,0,,,,N,,
12,,10.819666,0.7581963,,,,,,N
13,,12.049173,0,,,N,,,
14,,12.540977,0,,,N,,,
15,,13.03278,0,N,,,,,
16,,13.524583,0,N,,,,,
17,,14.262287,0,,,N,,,
18,,14.75409,0,,,N,,,
19,,15.2458935,0.983606,N,,,,,
20,,16.997942,0,,,N,,,
21,,17.581957,0,,,N,,,
22,,18.073761,0,,,N,,,
23,,18.688515,0,N,,,,,
24,,19.303268,0,,,N,,,
25,,19.918022,1.2602452,N,,,,,
26,,21.762283,0,,,N,,,
27,,21.762283,0,,,,N,,
28,,22.131136,0,,,,,,O
29,,22.131136,0,O,,,,,
30,,22.377037,0,N,,,,,
31,,22.377037,0,,,,,,N
32,,22.622938,0,N,,,,,
33,,22.622938,0,,,,,,N
34,,22.86884,0,N,,,,,
35,,22.86884,0,,,,,,N
36,,23.237692,1.8442613,,,N,,,
37,,23.237692,1.8442613,,,,S,,
38,,26.803265,0,,,,N,,
39,,27.049166,0,,,,N,,
40,,27.295067,0,,,,N,,
41,,27.540968,0,,,,O,,
42,,28.278673,0,,,,,,N
43,,28.524574,0,,,,,,N
44,,28.770475,0,,,,,,N
45,,29.016376,0,,,,,,O
46,,29.50818,0,,,,N,,
47,,29.754082,0,,,,N,,
48,,29.999983,0,,,,N,,
49,,30.245884,0,,,,N,,
50,,30.491787,0,,,,,,O
51,,30.737688,0,,,,,,N
52,,30.98359,0.39958996,,,,N,,
53,,31.475391,0,,,,,,N
54,,31.721294,0,,,,,,N
55,,31.967196,0,,,,N,,
56,,32.213097,0,,,,N,,
57,,32.459,0,,,,,,N
58,,32.7049,0,,,,,,N
59,,32.9508,0.39958996,,,,N,,
60,,33.688507,0,,,,N,,
61,,33.934406,0,,,,N,,
62,,34.18031,0,,,,N,,
63,,34.42621,0,,,,,,N
64,,34.67211,0,,,,,,N
65,,34.918015,0.39958996,,,,N,,
66,,35.409817,0,O,,,,,
67,,36.147522,0,,,N,,,
68,,36.39342,0,,,N,,,
69,,36.639324,0,,,N,,,
70,,36.885227,0,,,N,,,
71,,37.37703,0,O,,,,,
72,,38.114735,0,,,N,,,
73,,38.360634,0,,,N,,,
74,,38.606537,0,,,N,,,
75,,38.852436,0,,,N,,,
76,,39.344242,0,N,,,,,
77,,39.59014,0,N,,,,,
78,,39.836044,0,,,N,,,
79,,40.081944,0,,,N,,,
80,,40.327847,0,N,,,,,
81,,40.57375,0,N,,,,,
82,,40.81965,0.5225407,,,N,,,
83,,41.557354,0,,,N,,,
84,,41.803257,0,,,N,,,
85,,42.049156,0,,,N,,,
86,,42.29506,0,N,,,,,
87,,42.54096,0,N,,,,,
88,,42.78686,0.5225407,,,N,,,
89,,43.770466,0,,,,N,,
90,,44.01637,0,,,,N,,
91,,44.26227,0,,,,N,,
92,,44.50817,0,,,,,N,
93,,44.754074,0,,,,,,O
94,,44.999973,0.5225407,,,,N,,
95,,45.73768,0,,,,N,,
96,,46.22948,0,,,,N,,
97,,46.475384,0,,,,N,,
98,,46.721287,0.4815571,,,,,,N
99,,47.21309,0.5225407,,,,N,,
100,,48.196693,0,,,,N,,
101,,48.442596,0,,,,N,,
102,,48.688496,0,,,,N,,
103,,48.9344,0.4815571,,,,,,N
104,,49.4262,1.475409,,,,N,,
105,,51.639317,0,,,N,,,
106,,52.13112,0,,,N,,,
107,,52.37702,0,,N,,,,
108,,52.62292,0,O,,,,,
109,,52.868824,0.5225407,,,N,,,
110,,53.60653,0,,,N,,,
111,,54.09833,0,,,N,,,
112,,54.34423,0,,,N,,,
113,,54.590134,0.39958996,O,,,,,
114,,55.081936,0.7684422,,,N,,,
115,,56.065544,0,,,N,,,
116,,56.311443,0,,,N,,,
117,,56.557346,0,N,,,,,
118,,56.803246,0.39958996,N,,,,,
119,,57.29505,1.7213105,,,N,,,
120,,59.508163,0.491803,,,,N,,
121,,59.999966,0,,,,,,O
122,,60.491768,0.491803,,,N,,,
123,,60.983574,0,O,,,,,
124,,61.475376,0.36885226,,,N,,,
125,,61.475376,0.36885226,,,,N,,
126,,61.96718,0.6147538,N,,,,,
127,,61.96718,0.6147538,,,,,,N
128,,62.950783,0,,,,N,,
129,,63.44259,0,,,,,,N
130,,63.93439,0,,,,N,,
