noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,7.4949603,0,,,,N,,
1,,7.7368956,0,,,,N,,
2,,7.8578634,0.48387098,,,,N,,
3,,8.462702,0,,,,,,N
4,,8.704638,0,,,,,,N
5,,8.825605,0.48387098,,,,,,N
6,,9.430444,1.2096775,,,,N,,
7,,11.365928,0,,,,,,N
8,,11.607863,0,,,,,,N
9,,11.728831,0,,,,,,N
10,,12.091735,0,,,,N,,
11,,12.212703,0,,,,N,,
12,,12.494961,0,,,,N,,
13,,12.817541,0.48387098,,,,,,N
14,,15.2368965,0,,,N,,,
15,,15.357863,0,,,N,,,
16,,15.599799,0.48387098,,,N,,,
17,,16.204638,0,N,,,,,
18,,16.446573,0,N,,,,,
19,,16.567541,0.48387098,N,,,,,
20,,17.17238,0,,,N,,,
21,,17.414316,0,,,N,,,
22,,17.535284,0.6048387,,,N,,,
23,,19.107864,0,,,N,,,
24,,19.228832,0,,,N,,,
25,,19.470768,0.48387098,,,N,,,
26,,20.075605,0,N,,,,,
27,,20.317541,0,N,,,,,
28,,20.438509,0.6048387,N,,,,,
29,,22.857864,0,,,,N,,
30,,22.978832,0,,,,N,,
31,,23.220768,0,,,,N,,
32,,23.341736,0.48387098,,,,N,,
33,,23.946573,0,,,,,,N
34,,24.188509,0,,,,,,N
35,,24.309477,0.36290324,,,,,,N
36,,24.793348,0,,,,N,,
37,,24.914316,0,,,,N,,
38,,25.156252,0,,,,N,,
39,,25.27722,0.6048387,,,,N,,
40,,26.728832,0,,,,N,,
41,,26.8498,0,,,,N,,
42,,27.091736,0,,,,,,N
43,,27.212704,0,,,,,,N
44,,27.575607,0,,,,,,N
45,,27.817541,0,,,,N,,
46,,28.059477,0,,,,N,,
47,,28.301413,0.7258065,,,,,,N
48,,30.5998,0,,,N,,,
49,,30.720768,0,,,N,,,
50,,30.962704,0,N,,,,,
51,,31.083672,0,N,,,,,
52,,31.325607,0,N,,,,,
53,,31.567543,0,,,N,,,
54,,31.809477,0,,,N,,,
55,,32.051414,0,N,,,,,
56,,32.29335,0,N,,,,,
57,,32.535286,0,,,N,,,
58,,32.77722,0,,,N,,,
59,,33.019154,0,N,,,,,
60,,33.26109,0.36290324,N,,,,,
61,,33.74496,0.7258065,,,N,,,
62,,34.591736,0,,,N,,,
63,,34.83367,0,,,N,,,
64,,35.075607,0,N,,,,,
65,,35.55948,0,N,,,,,
66,,36.04335,0.7258065,,,S,,,
67,,37.253025,0,,,,N,,
68,,37.49496,0,,,,N,,
69,,37.736897,0,,,,N,,
70,,37.978832,0,,,O,,,
71,,37.978832,0,,,,,,O
72,,38.462704,0,O,,,,,
73,,38.462704,0,,,,O,,
74,,38.946575,0,,,O,,,
75,,38.946575,0,,,,,,O
76,,39.430447,0,,,,,,N
77,,39.430447,0,,,N,,,
78,,39.672382,0,,,N,,,
79,,39.672382,0,,,,,,N
80,,40.156254,0,,,,N,,
81,,40.156254,0,N,,,,,
82,,41.36593,0,,,,N,,
83,,41.607864,0,,,,N,,
84,,41.8498,0,,,,,,O
85,,42.33367,0,,,,O,,
86,,42.817543,0,,,,,,O
87,,43.301414,0,,,,,,N
88,,43.54335,0.36290324,,,,,,N
89,,44.02722,0,,,,N,,
90,,45.236897,0,,,N,,,
91,,45.478832,0,,,N,,,
92,,45.720768,0,O,,,,,
93,,46.20464,0,N,,,,,
94,,46.446575,0,N,,,,,
95,,46.68851,0,,,O,,,
96,,47.051414,0,,,N,,,
97,,47.414318,0,N,,,,,
98,,47.656254,0.48387098,,,N,,,
99,,48.38206,0,,,N,,,
100,,48.50303,1.0887097,,,N,,,
101,,50.075607,0,N,,,,,
102,,50.075607,0,,,,,,N
103,,50.55948,0,,,,N,,
104,,50.55948,0,,,N,,,
105,,51.04335,0,N,,,,,
106,,51.04335,0,,,,,,N
107,,51.285286,0,N,,,,,
108,,51.285286,0,,,,,,N
109,,51.52722,0.7258065,,,,N,,
110,,51.52722,0.7258065,,,N,,,
111,,52.7369,0,,,N,,,
112,,52.978832,0,,,N,,,
113,,53.220768,0,,,N,,,
114,,53.462704,0,,,,O,,
115,,53.462704,0,O,,,,,
116,,53.946575,0,,,,,,O
117,,53.946575,0,,,O,,,
118,,54.430447,0,,,,O,,
119,,54.430447,0,O,,,,,
120,,54.914318,0,,,N,,,
121,,54.914318,0,,,,,,N
122,,55.156254,0,,,,,,N
123,,55.156254,0,,,N,,,
124,,55.640125,0,N,,,,,
125,,55.640125,0,,,,N,,
126,,56.8498,0,,,,N,,
127,,57.091736,0,,,,N,,
128,,57.33367,0,,,,,,O
129,,57.817543,0,,,,O,,
130,,58.301414,0,,,,,,O
131,,58.785286,0,,,,,,O
132,,59.14819,0,,,,N,,
133,,59.511093,0,,,,N,,
134,,59.75303,0.48387098,,,,,,N
135,,60.72077,0,,,N,,,
136,,60.962704,0,,,N,,,
137,,61.20464,0,O,,,,,
138,,61.68851,0,,,N,,,
139,,61.930447,0,,,N,,,
140,,62.172382,0,O,,,,,
