noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,3.214287,0,,,,N,,
1,,3.5714302,0,,,,N,,
2,,3.9285731,0,,,,N,,
3,,4.642859,0,,,,,,N
4,,5.0000024,0,,,,,,N
5,,5.3571453,0,,,,,,N
6,,6.071431,0,,,,N,,
7,,6.428574,0,,,,N,,
8,,6.7857175,0,,,,N,,
9,,7.5000033,0,,,,,,N
10,,7.8571463,0,,,,,,N
11,,8.21429,0,,,,,,N
12,,8.9285755,0,,,N,,,
13,,9.285718,0,,,N,,,
14,,9.642861,0,,,N,,,
15,,10.357147,0,N,,,,,
16,,10.714291,0,N,,,,,
17,,11.071433,0,N,,,,,
18,,11.78572,0,,,N,,,
19,,12.142862,0,,,N,,,
20,,12.500006,0,,,N,,,
21,,12.857148,0,N,,,,,
22,,13.214292,0,N,,,,,
23,,13.571435,0,,,N,,,
24,,13.750006,0.5357145,,,N,,,
25,,14.642863,0,,,,N,,
26,,15.000007,0,,,,N,,
27,,15.35715,0,,,,N,,
28,,16.071436,0,,,,,,N
29,,16.42858,0,,,,,,N
30,,16.78572,0,,,,,,N
31,,17.500008,0,,,,,,N
32,,17.857151,0,,,,N,,
33,,18.214294,0,,,,N,,
34,,18.571436,0,,,,,,N
35,,18.92858,0,,,,,,N
36,,19.285723,0,,,,N,,
37,,19.642866,0,,,,N,,
38,,20.00001,0,,,,,,N
39,,20.357151,0,,,,,,N
40,,21.071438,0,,,N,,,
41,,21.428581,0,,,N,,,
42,,21.785725,0,N,,,,,
43,,22.50001,0,,,N,,,
44,,22.857153,0,,,N,,,
45,,23.214296,0,N,,,,,
46,,23.928581,0,,,N,,,
47,,24.285725,0,,,N,,,
48,,24.642868,0,S,,,,,
49,,25.714296,0,,,,N,,
50,,26.07144,0,,,,,,O
51,,26.785727,0,,,,N,,
52,,26.964298,0,,,,N,,
53,,27.14287,0,,,,N,,
54,,27.500011,0,,,,,,O
55,,27.857155,0.40178588,,,,N,,
56,,28.571442,0,,,,N,,
57,,28.928585,0,,,,,,O
58,,29.64287,0,,,,N,,
59,,29.821442,0,,,,N,,
60,,30.000013,0,,,,N,,
61,,30.357157,0,,,,,,O
62,,30.7143,0.40178588,,,,N,,
63,,31.428585,0,,,N,,,
64,,31.785728,0,O,,,,,
65,,32.500015,0,,,N,,,
66,,32.678585,0,,,N,,,
67,,32.85716,0,,,N,,,
68,,33.214302,0,O,,,,,
69,,33.57144,0.40178588,,,N,,,
70,,34.28573,0,,,N,,,
71,,34.64287,0,O,,,,,
72,,35.35716,0,,,N,,,
73,,35.53573,0,,,N,,,
74,,35.714302,0,,,N,,,
75,,36.071445,0,O,,,,,
76,,36.42859,0.40178588,,,N,,,
77,,37.14287,0,,,N,,,
78,,37.14287,0,,,,N,,
79,,37.500015,0,,,,O,,
80,,37.500015,0,,,O,,,
81,,38.214302,0,,,,,,N
82,,38.214302,0,N,,,,,
83,,38.392876,0,,,,,,N
84,,38.392876,0,N,,,,,
85,,38.571445,0,,,,,,N
86,,38.571445,0,N,,,,,
87,,38.92859,0,,,O,,,
88,,38.92859,0,,,,O,,
89,,39.285732,0,,,,,,N
90,,39.642876,0.40178588,,,,N,,
91,,40.357162,0,,,,N,,
92,,40.714302,0,,,,N,,
93,,41.071445,0,,,,,,N
