noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,11.861116,0,,,N,,,
1,,12.527783,0,,,N,,,
2,,13.19445,0,N,,,,,
3,,13.861117,0,N,,,,,
4,,14.527784,0,,,N,,,
5,,15.194451,0,N,,,,,
6,,15.861118,0.666667,,,N,,,
7,,17.194452,0,,,,N,,
8,,17.86112,0,,,,N,,
9,,18.527786,0,,,,,,N
10,,19.194454,0,,,,,,N
11,,19.86112,0,,,,N,,
12,,20.527788,0,,,,,,N
13,,21.194454,0.6944448,,,,N,,
14,,22.527788,0,,,N,,,
15,,22.861122,0,,,N,,,
16,,23.194456,0.666667,N,,,,,
17,,23.861122,0,,,N,,,
18,,24.194456,0,,,N,,,
19,,24.52779,0.666667,N,,,,,
20,,25.194456,0,,,N,,,
21,,25.52779,0,,,N,,,
22,,25.861124,0,N,,,,,
23,,26.194456,0,N,,,,,
24,,26.52779,0.666667,,,N,,,
25,,27.861124,0,,,,N,,
26,,28.527792,0,,,,N,,
27,,29.194458,0,,,,,,N
28,,29.861126,0,,,,,,N
29,,30.527792,0,,,,N,,
30,,31.19446,0,,,,,,N
31,,31.861126,0.666667,,,,S,,
32,,33.69446,0,,,,N,,
33,,33.861126,0,,,,N,,
34,,34.19446,0.3333335,,,,,,N
35,,35.027794,0,,,,,,N
36,,35.19446,0,,,,,,N
37,,35.36113,0,,,,,,N
38,,35.527794,0,,,,,,N
39,,35.69446,0,,,,,,N
40,,36.36113,0,,,,N,,
41,,36.527794,0,,,,N,,
42,,36.69446,0,,,,N,,
43,,36.86113,0,,,,N,,
44,,37.69446,0,N,,,,,
45,,37.86113,0,N,,,,,
46,,38.027798,0,N,,,,,
47,,38.19446,0,N,,,,,
48,,38.36113,0,N,,,,,
49,,39.027798,0,,,N,,,
50,,39.19446,0,,,N,,,
51,,39.527798,0.3333335,N,,,,,
52,,40.36113,0,,,,N,,
53,,40.36113,0,N,,,,,
54,,40.527798,0,,,,N,,
55,,40.527798,0,N,,,,,
56,,40.694466,0,,,,N,,
57,,40.694466,0,N,,,,,
58,,40.86113,0,,,,N,,
59,,40.86113,0,N,,,,,
60,,41.027798,0,N,,,,,
61,,41.027798,0,,,,N,,
62,,41.194466,0,,,O,,,
63,,41.194466,0,,,,,,O
64,,41.527798,0,,,,,,N
65,,41.527798,0,,,N,,,
66,,41.86113,0,,,,O,,
67,,41.86113,0,O,,,,,
68,,42.194466,0,,,,N,,
69,,42.194466,0,N,,,,,
70,,42.527798,0.666667,,,,,,N
71,,42.527798,0.666667,,,N,,,
72,,43.361134,0,N,,,,,
73,,43.361134,0,,,,N,,
74,,43.527798,0,,,,N,,
75,,43.527798,0,N,,,,,
76,,43.861134,0.6944448,,,N,,,
77,,43.861134,0.6944448,,,,,,N
78,,45.194466,0.666667,,,,N,,
79,,45.861134,0,,,,,,O
80,,46.5278,0.666667,,,,N,,
81,,47.194466,0,,,,,,O
82,,47.861134,0.50000024,,,,N,,
83,,48.361134,0,,,,,,N
84,,48.69447,0,,,,N,,
85,,48.69447,0,N,,,,,
86,,48.861134,0,N,,,,,
87,,48.861134,0,,,,N,,
88,,49.19447,0.6944448,,,,,,N
89,,49.19447,0.6944448,,,N,,,
90,,50.5278,0.666667,,,N,,,
91,,51.19447,0,O,,,,,
92,,51.861137,0,,,N,,,
93,,52.0278,0,,,N,,,
94,,52.361137,0,N,,,,,
95,,52.69447,0,,,N,,,
96,,52.861137,0.3333335,,,N,,,
97,,53.69447,0,,,N,,,
98,,53.69447,0,,,,,,N
99,,53.861137,0,,,,,,N
100,,53.861137,0,,,N,,,
101,,54.027805,0,,,,,,N
102,,54.027805,0,,,N,,,
103,,54.19447,0,,,,N,,
104,,54.19447,0,N,,,,,
105,,54.361137,0,N,,,,,
106,,54.361137,0,,,,N,,
107,,54.527805,0.666667,,,N,,,
108,,54.527805,0.666667,,,,,,N
109,,55.861137,0.666667,,,,N,,
110,,56.527805,0,,,,,,O
111,,57.194473,0.666667,,,,N,,
112,,57.861137,0,,,,,,O
113,,58.527805,0.50000024,,,,N,,
114,,59.027805,0,,,,,,N
115,,59.36114,0,N,,,,,
116,,59.36114,0,,,,N,,
117,,59.527805,0,,,,N,,
118,,59.527805,0,N,,,,,
119,,59.86114,0.666667,,,,,,N
120,,59.86114,0.666667,,,N,,,
121,,61.194473,0.666667,,,N,,,
122,,61.86114,0,O,,,,,
123,,62.52781,0,,,N,,,
124,,62.694473,0,,,N,,,
125,,63.02781,0,N,,,,,
126,,63.36114,0,,,N,,,
127,,63.52781,0.3333335,,,N,,,
128,,64.361145,0,,,,,,N
129,,64.361145,0,N,,,,,
130,,64.52781,0,N,,,,,
131,,64.52781,0,,,,,,N
132,,64.69447,0,N,,,,,
133,,64.69447,0,,,,,,N
134,,64.861145,0,,,N,,,
135,,64.861145,0,,,,N,,
136,,65.02781,0,,,,N,,
137,,65.02781,0,,,S,,,
138,,65.861145,0,,,,N,,
139,,65.861145,0,,,N,,,
140,,66.02781,0,,,N,,,
141,,66.02781,0,,,,N,,
142,,66.19447,0,,,N,,,
143,,66.19447,0,,,,N,,
144,,66.52781,0,N,,,,,
145,,66.52781,0,,,,,,N
146,,66.861145,0,,,,,,N
147,,66.861145,0,N,,,,,
148,,67.02781,0,N,,,,,
