noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,3.6111128,0,,,N,,,
1,,3.9444463,0,,,N,,,
2,,4.6111135,0,,,N,,,
3,,5.2777805,1.0000005,N,,,,,
4,,9.277782,0,,,,N,,
5,,9.944449,0,,,,,,N
6,,10.611116,0.666667,,,,N,,
7,,11.611116,0,,,,N,,
8,,11.777783,0.666667,,,,N,,
9,,14.277784,0,,,N,,,
10,,14.611118,0,,,N,,,
11,,15.277785,0,,,N,,,
12,,15.944452,1.0000005,N,,,,,
13,,19.944454,0,,,,N,,
14,,20.61112,0,,,,,,N
15,,21.277788,0.666667,,,,N,,
16,,22.277788,0,,,,N,,
17,,22.444454,0.666667,,,,S,,
18,,27.27779,0,,,N,,,
19,,27.444458,0,,,N,,,
20,,27.611124,0,,,N,,,
21,,27.944458,0,O,,,,,
22,,28.277792,0,N,,,,,
23,,28.611124,0,,,N,,,
24,,28.777792,0,,,N,,,
25,,28.944458,0,,,N,,,
26,,29.277792,0,O,,,,,
27,,29.944458,0,,,N,,,
28,,30.111126,0,,,N,,,
29,,30.277792,0,,,N,,,
30,,30.611126,0,O,,,,,
31,,30.94446,0,N,,,,,
32,,31.277792,0,,,N,,,
33,,31.44446,0,,,N,,,
34,,31.611126,0,,,N,,,
35,,31.94446,0,O,,,,,
36,,32.611126,0,,,,N,,
37,,32.777794,0,,,,N,,
38,,32.94446,0,,,,N,,
39,,33.277794,0,,,,,,O
40,,33.611126,0,,,,,,N
41,,33.94446,0,,,,N,,
42,,34.111126,0,,,,N,,
43,,34.277794,0,,,,N,,
44,,34.611126,0,,,,,,O
45,,35.277794,0,,,,N,,
46,,35.44446,0,,,,N,,
47,,35.61113,0,,,,N,,
48,,35.94446,0,,,,,,O
49,,36.277794,0,,,,,,N
50,,36.61113,0,,,,N,,
51,,36.777794,0,,,,N,,
52,,36.94446,0,,,,N,,
53,,37.277794,0,,,,,,O
54,,37.94446,0,,,N,,,
55,,38.11113,0,,,N,,,
56,,38.277798,0,,,N,,,
57,,38.61113,0,O,,,,,
58,,38.94446,0,N,,,,,
59,,39.277798,0,,,N,,,
60,,39.44446,0,,,N,,,
61,,39.61113,0,,,N,,,
62,,39.94446,0,O,,,,,
63,,40.61113,0,,,N,,,
64,,40.777798,0,,,N,,,
65,,40.944466,0,,,N,,,
66,,41.277798,0,O,,,,,
67,,41.61113,0,N,,,,,
68,,41.944466,0,,,N,,,
69,,42.11113,0,,,N,,,
70,,42.277798,0,,,N,,,
71,,42.61113,0,O,,,,,
72,,43.277798,0,,,,N,,
73,,43.444466,0,,,,N,,
74,,43.611134,0,,,,N,,
75,,43.944466,0,,,,,,O
76,,44.277798,0,,,,,,N
77,,44.611134,0,,,,N,,
78,,44.777798,0,,,,N,,
79,,44.944466,0,,,,N,,
80,,45.277798,0,,,,,,O
81,,45.944466,0,,,,N,,
82,,46.111134,0,,,,N,,
83,,46.2778,0,,,,N,,
