noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,11.270834,0,,,,N,,
1,,11.770834,0,,,,N,,
2,,12.104167,0,,,,,,N
3,,12.270834,0,,,,,,N
4,,12.604167,0,,,,,,N
5,,12.770834,0,,,,,,N
6,,13.270834,0,,,,N,,
7,,13.770834,0,,,,N,,
8,,14.270834,0,,,,,,N
9,,14.604167,0,,,,,,N
10,,14.770834,0,,,,,,N
11,,15.270834,0,,,,N,,
12,,15.770834,0,,,,N,,
13,,16.270834,0,,,,,,N
14,,16.770834,0,,,,,,N
15,,17.270834,0,,,,N,,
16,,17.770834,0,,,,N,,
17,,18.270834,0,,,,,,O
18,,18.770834,0,,,,N,,
19,,19.270834,0,,,N,,,
20,,19.770834,0,,,N,,,
21,,20.104168,0,N,,,,,
22,,20.270834,0,N,,,,,
23,,20.604168,0,N,,,,,
24,,20.770834,0,N,,,,,
25,,21.270834,0,,,N,,,
26,,21.770834,0,,,N,,,
27,,22.270834,0,N,,,,,
28,,22.604168,0,N,,,,,
29,,22.770834,0,N,,,,,
30,,23.270834,0,,,N,,,
31,,23.770834,0,,,S,,,
32,,27.604168,0,,,,N,,
33,,27.770834,0,,,,N,,
34,,28.104168,0,,,,,,N
35,,28.270834,0,,,,,,N
36,,28.770834,0,,,,N,,
37,,29.020834,0,,,,N,,
38,,29.604168,0,,,,N,,
39,,29.770834,0,,,,N,,
40,,30.104168,0,,,,,,N
41,,30.270834,0,,,,,,N
42,,30.770834,0,,,,N,,
43,,31.020834,0,,,,N,,
44,,31.770834,0,,,,N,,
45,,31.9375,0,,,,N,,
46,,32.104168,0,,,,,N,
47,,32.270836,0,,,,,,N
48,,32.604168,0,,,,N,,
49,,32.770836,0,,,,N,,
50,,33.104168,0,,,,,,N
51,,33.270836,0,,,,,,N
52,,33.604168,0,,,,N,,
53,,33.770836,0,,,,N,,
54,,34.104168,0,,,,,,N
55,,34.270836,0,,,,,,N
56,,34.604168,0,,,,N,,
57,,34.770836,0,,,,N,,
58,,35.020836,0,,,,N,,
59,,35.770836,0,,,N,,,
60,,36.104168,0,N,,,,,
61,,36.270836,0,N,,,,,
62,,36.604168,0,,,N,,,
63,,36.770836,0,,,N,,,
64,,37.104168,0,N,,,,,
65,,37.270836,0,N,,,,,
66,,37.604168,0,,,N,,,
67,,37.770836,0,,,N,,,
68,,38.104168,0,N,,,,,
69,,38.270836,0,N,,,,,
70,,38.604168,0,,,N,,,
71,,38.770836,0,,,N,,,
72,,39.020836,0,,,N,,,
73,,39.770836,0,,,N,,,
74,,40.104168,0,N,,,,,
75,,40.270836,0,N,,,,,
76,,40.604168,0,,,N,,,
77,,40.770836,0,,,N,,,
78,,41.104168,0,N,,,,,
79,,41.270836,0,N,,,,,
80,,41.604168,0,,,N,,,
81,,41.770836,0,,,N,,,
82,,42.104168,0,N,,,,,
83,,42.270836,0,N,,,,,
84,,42.604168,0,,,N,,,
85,,42.770836,0,,,N,,,
86,,43.020836,0,,,N,,,
87,,43.270836,0,,,,O,,
88,,43.604168,0,,,,,,N
89,,43.75,0,,,,,,N
90,,44.104168,0,,,,N,,
91,,44.270836,0,,,,N,,
92,,44.604168,0,,,,,,N
93,,44.770836,0.40625,,,,,,N
94,,45.270836,0.53125,,,,N,,
95,,46.270836,0,,,,O,,
96,,46.604168,0,,,,,,N
97,,46.770836,0,,,,,,N
98,,47.270836,0.53125,,,,N,,
99,,48.270836,0,,,,,,O
100,,48.604168,0,,,,N,,
101,,48.75,0,,,,N,,
102,,49.104168,0,,,,,,N
103,,49.270836,0,,,,,,N
104,,49.604168,0,,,,N,,
105,,49.770836,0,,,,N,,
106,,50.104168,0,,,,,,N
107,,50.270836,0.40625,,,,,,N
108,,50.770836,0.53125,,,,N,,
109,,51.270836,0,,,O,,,
110,,51.604168,0,N,,,,,
111,,51.75,0,N,,,,,
112,,52.104168,0,,,N,,,
113,,52.270836,0,,,N,,,
114,,52.604168,0,N,,,,,
115,,52.770836,0.40625,N,,,,,
116,,53.270836,0.48958334,,,N,,,
117,,53.770836,0,,,N,,,
118,,54.270836,0,,,N,,,
119,,54.604168,0,N,,,,,
120,,54.770836,0.42708334,N,,,,,
121,,55.270836,0.48958334,,,N,,,
122,,55.770836,0,,,N,,,
123,,56.270836,0,N,,,,,
124,,56.604168,0,,,N,,,
125,,56.75,0,,,N,,,
126,,57.104168,0,N,,,,,
127,,57.270836,0,N,,,,,
128,,57.604168,0,,,N,,,
129,,57.770836,0,,,N,,,
130,,58.104168,0,N,,,,,
131,,58.270836,0.40625,N,,,,,
132,,58.770836,0.48958334,,,S,,,
133,,59.270836,0,,,,O,,
134,,59.270836,0,O,,,,,
135,,59.75,0,,,,,,N
136,,59.75,0,,,N,,,
137,,60.104168,0,N,,,,,
138,,60.104168,0,,,,N,,
139,,60.270836,0,N,,,,,
140,,60.270836,0,,,,N,,
