noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,7.9411726,0,,,N,,,
1,,8.294113,0,,,N,,,
2,,8.647055,0,,,N,,,
3,,8.999995,0,N,,,,,
4,,9.352937,0,N,,,,,
5,,9.705877,0,N,,,,,
6,,10.058819,0.37499982,,,N,,,
7,,10.749994,0,,,N,,,
8,,11.102936,0,,,N,,,
9,,11.455876,0,,,N,,,
10,,11.808818,0,N,,,,,
11,,12.161758,0,N,,,,,
12,,12.5147,0,N,,,,,
13,,12.8676405,0.37499982,,,N,,,
14,,13.558817,0,,,,N,,
15,,13.911757,0,,,,N,,
16,,14.264699,0,,,,N,,
17,,14.61764,0,,,,,,N
18,,14.970581,0,,,,,,N
19,,15.323522,0,,,,,,N
20,,15.676463,0.37499982,,,,N,,
21,,16.382345,0,,,,N,,
22,,16.735285,0,,,,N,,
23,,17.088226,0,,,,N,,
24,,17.441168,0,,,,,,N
25,,17.79411,0,,,,,,N
26,,18.147049,0,,,,,,N
27,,18.49999,0.37499982,,,,N,,
28,,19.17646,0,,,,N,,
29,,19.17646,0,,,N,,,
30,,19.529402,0,,,N,,,
31,,19.529402,0,,,,N,,
32,,19.882343,0,,,N,,,
33,,19.882343,0,,,,N,,
34,,20.235285,0,,,,,,N
35,,20.235285,0,N,,,,,
36,,20.588224,0,N,,,,,
37,,20.588224,0,,,,,,N
38,,20.941166,0,,,N,,,
39,,20.941166,0,,,,N,,
40,,21.294107,0,,,,,,N
41,,21.294107,0,N,,,,,
42,,21.999989,0,,,N,,,
43,,22.35293,0.28676456,N,,,,,
44,,23.058811,0,,,,,,N
45,,23.411753,0,,,,N,,
46,,23.735283,0,,,,,,N
47,,23.735283,0,,,S,,,
48,,24.088223,0,,,N,,,
49,,24.441164,0.37499982,N,,,,,
50,,24.970575,0,N,,,,,
51,,25.147047,0,N,,,,,
52,,25.499987,0,,,N,,,
