noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,5.40541,0,,,,,,N
1,,5.945951,0,,,,,,N
2,,6.4864917,0,,,,,,N
3,,6.756762,0,,,,,,N
4,,7.5675735,0,,,,N,,
5,,8.108114,0,,,,N,,
6,,8.648656,0,,,,N,,
7,,8.918926,0,,,,N,,
8,,9.729737,0,,,,,,N
9,,10.270279,0,,,,,,N
10,,10.81082,0,,,,,,N
11,,11.08109,0,,,,,,N
12,,11.891902,0,,,,N,,
13,,12.432443,0,,,,N,,
14,,12.972983,0.540541,,,,N,,
15,,14.054066,0,N,,,,,
16,,14.594606,0,N,,,,,
17,,15.135147,0,N,,,,,
18,,15.405417,0,N,,,,,
19,,16.216228,0,,,N,,,
20,,16.756771,0,,,N,,,
21,,17.297312,0,,,N,,,
22,,17.567581,0,,,N,,,
23,,18.378393,0,N,,,,,
24,,18.918934,0,N,,,,,
25,,19.459475,0,N,,,,,
26,,19.729746,0,N,,,,,
27,,20.540558,0,,,N,,,
28,,21.081099,0,,,N,,,
29,,21.62164,0.540541,,,S,,,
30,,22.70272,0,,,,,,N
31,,22.837856,0,,,,,,N
32,,22.972992,0,,,,,,N
33,,23.243261,0,,,,N,,
34,,23.513533,0,,,,N,,
35,,23.783804,0.540541,,,,,,N
36,,24.864885,0,,,,,,O
37,,25.405426,0,,,,O,,
38,,25.945967,0.540541,,,,,,N
39,,27.027048,0,,,,N,,
40,,27.29732,0,,,,,,N
41,,27.432455,0,,,,,,N
42,,27.56759,0,,,,,,N
43,,27.83786,0,,,,,,N
44,,28.108131,0.540541,,,,N,,
45,,29.189213,0,,,,N,,
46,,29.459484,0,,,,,,N
47,,29.594618,0,,,,,,N
48,,29.729753,0,,,,,,N
49,,30.000025,0,,,,,,N
50,,30.270294,0.540541,,,,N,,
51,,31.351377,0,N,,,,,
52,,31.486511,0,N,,,,,
53,,31.621647,0,N,,,,,
54,,31.891918,0,,,N,,,
55,,32.16219,0,,,N,,,
56,,32.432457,0,O,,,,,
57,,32.973,0,,,N,,,
58,,33.513542,0,O,,,,,
59,,34.05408,0,,,O,,,
60,,34.594624,0.540541,N,,,,,
61,,35.675705,0,,,N,,,
62,,35.81084,0,,,N,,,
63,,35.945976,0,,,N,,,
64,,36.216244,0,N,,,,,
65,,36.486515,0,N,,,,,
66,,36.756786,0,,,O,,,
67,,37.162193,0,O,,,,,
68,,37.567596,0,,,N,,,
69,,37.702732,0,,,N,,,
70,,37.837868,0,,,N,,,
71,,38.10814,0,,,N,,,
72,,38.37841,0,N,,,,,
73,,38.64868,0,N,,,,,
74,,38.91895,0,,,O,,,
75,,39.324356,0,O,,,,,
76,,40.00003,0,,,,,,N
77,,40.540573,0,,,,N,,
78,,41.081116,0,,,,,,N
79,,41.621655,0,,,,N,,
80,,42.162197,0,,,,,,N
81,,42.702736,0,,,,N,,
82,,43.24328,0,,,,,,N
83,,43.78382,0,,,,N,,
84,,44.32436,0,N,,,,,
85,,44.864902,0,,,N,,,
86,,45.40544,0,N,,,,,
87,,45.945984,0,,,N,,,
88,,46.486523,0,N,,,,,
89,,47.027065,0,,,N,,,
90,,47.567608,0,N,,,,,
91,,48.108147,0,,,N,,,
92,,48.64869,0,,,,,,N
93,,49.189228,0,,,,N,,
94,,49.72977,0,,,,,,N
95,,50.27031,0,,,,N,,
96,,50.810852,0,,,,,,N
97,,51.351395,0,,,,N,,
98,,51.891933,0,,,,,,N
99,,52.432476,0,,,,N,,
100,,52.702744,1.8918934,,,,,,N
101,,55.000046,0,N,,,,,
102,,55.000046,0,,,,,,N
103,,55.13518,0,O,,,,,
104,,55.13518,0,,,,,,O
105,,55.40545,0,,,,N,,
106,,55.40545,0,,,N,,,
107,,55.67572,0,,,,,,O
108,,55.67572,0,O,,,,,
109,,55.94599,0,,,,N,,
110,,55.94599,0,,,N,,,
111,,56.216263,0.40540573,,,,,,N
112,,56.216263,0.40540573,N,,,,,
113,,56.7568,0,,,N,,,
114,,56.7568,0,,,,S,,
115,,57.297344,0,,,,,,N
116,,57.567616,0,,,,,,N
117,,57.837883,0,,,,N,,
118,,58.108154,0,,,,N,,
119,,58.378426,0,,,,,,N
120,,58.648697,0,,,,,,N
121,,59.189236,0,,,,,,N
122,,59.459507,0,,,,N,,
123,,59.72978,0,,,,N,,
124,,60.00005,0,,,,,,N
125,,60.27032,0,,,,,,N
126,,60.54059,0,,,,N,,
127,,60.81086,0,,,,N,,
128,,61.351402,0,,,,N,,
129,,61.62167,0,,,,,,N
130,,61.89194,0,,,,,,N
131,,62.162212,0,,,,N,,
132,,62.432484,0,,,,N,,
133,,62.702755,0,,,,,,N
134,,62.973022,0,,,,,,N
135,,63.513565,0,,,,,,N
136,,63.783836,0,,,,N,,
137,,64.05411,0,,,,N,,
138,,64.32438,0,,,,,,N
