noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,4.7999997,0,,,,N,,
1,,5.7599998,0,,,,,,N
2,,6.24,0,,,,,,N
3,,6.72,0,,,,N,,
4,,7.2,0,,,,N,,
5,,7.68,0,,,,,,N
6,,8.16,0,,,,,,N
7,,8.639999,0,,,,O,,
8,,9.599999,0,N,,,,,
9,,10.08,0,N,,,,,
10,,10.559999,0,,,N,,,
11,,11.04,0,,,N,,,
12,,11.5199995,0,N,,,,,
13,,12,0,N,,,,,
14,,12.48,0,,,O,,,
15,,13.44,0,,,,,,N
16,,13.92,0,,,,,,N
17,,14.4,0,,,,N,,
18,,14.88,0,,,,N,,
19,,15.36,0,,,,,,N
20,,15.839999,0,,,,,,N
21,,16.32,0,,,,O,,
22,,17.279999,0,N,,,,,
23,,17.76,0,N,,,,,
24,,18.24,0,,,O,,,
25,,19.199999,0,,,,,,N
26,,19.68,0,,,,,,N
27,,20.16,0,,,,S,,
28,,21.119999,0,,,,N,,
29,,21.359999,0,,,,N,,
30,,21.6,0,,,,N,,
31,,21.84,0,,,,N,,
32,,22.08,0,,,,,,N
33,,22.32,0,,,,,,N
34,,22.56,0,,,,,,N
35,,22.8,0,,,,,,N
36,,23.039999,0,,,,N,,
37,,23.279999,0,,,,N,,
38,,23.519999,0,,,,,,N
39,,23.76,0,,,,,,N
40,,24,0.48,,,,N,,
41,,24.96,0,,,N,,,
42,,25.199999,0,,,N,,,
43,,25.439999,0,,,N,,,
44,,25.68,0,,,N,,,
45,,25.92,0,N,,,,,
46,,26.16,0,N,,,,,
47,,26.4,0,N,,,,,
48,,26.64,0,N,,,,,
49,,26.88,0,,,N,,,
50,,27.119999,0,,,N,,,
51,,27.359999,0,N,,,,,
52,,27.599998,0,N,,,,,
53,,27.84,0,,,,,,N
54,,28.08,0,,,,,,N
55,,28.32,0,,,,,,N
56,,28.56,0,,,,,,N
57,,28.8,0,,,,N,,
58,,29.039999,0,,,,N,,
59,,29.279999,0,,,,N,,
60,,29.519999,0,,,,N,,
61,,29.76,0,,,,,,N
62,,30,0,,,,,,N
63,,30.24,0,,,,,,N
64,,30.48,0,,,,,,N
65,,30.72,0,,,,N,,
66,,30.96,0,,,,N,,
67,,31.199999,0,,,,,,N
68,,31.439999,0,,,,,,N
69,,31.679998,0.48,,,,N,,
70,,32.64,0,N,,,,,
71,,32.88,0,N,,,,,
72,,33.12,0,N,,,,,
73,,33.36,0,N,,,,,
74,,33.6,0,,,N,,,
75,,33.84,0,,,N,,,
76,,34.079998,0,,,N,,,
77,,34.32,0,,,N,,,
78,,34.559998,0,N,,,,,
79,,34.8,0,N,,,,,
80,,35.04,0,,,N,,,
81,,35.28,0,,,N,,,
82,,35.52,0,O,,,,,
83,,35.88,0,N,,,,,
84,,36,0.35999998,N,,,,,
85,,37.92,0,,,,N,,
86,,38.079998,0,,,,N,,
87,,38.239998,0,,,,,N,
88,,38.399998,0,,,,,,N
89,,38.559998,0,,,,,,N
90,,38.719997,0,,,,,N,
91,,38.879997,0,,,,N,,
92,,39.04,0,,,,N,,
93,,39.2,0,,,,,N,
94,,39.36,0,,,,,,O
95,,39.719997,0,,,,N,,
96,,39.84,0.35999998,,,,N,,
97,,41.76,0,,,N,,,
98,,41.92,0,,,N,,,
99,,42.079998,0,,N,,,,
100,,42.239998,0,N,,,,,
101,,42.399998,0,N,,,,,
102,,42.559998,0,,N,,,,
103,,42.719997,0,,,N,,,
104,,42.879997,0,,,N,,,
105,,43.04,0,,N,,,,
106,,43.2,0,O,,,,,
107,,43.559998,0,,,N,,,
108,,43.68,0.35999998,,,N,,,
109,,44.399998,0,,,,N,,
110,,44.64,0,,,,,,O
111,,44.879997,0,,,,,,N
112,,45,0.38,,,,,,N
113,,45.6,0,,,,N,,
114,,45.84,0,,,,N,,
115,,46.079998,0,,,,,,N
116,,46.32,0,,,,,,N
117,,46.559998,0,,,,N,,
118,,46.8,0,,,,N,,
119,,47.039997,0,,,,,,O
120,,47.52,0.38,,,,S,,
121,,49.92,0,,,,O,,
122,,50.16,0,,,,,,N
123,,50.399998,0,,,,O,,
124,,50.64,0,,,,,,N
125,,50.879997,0.5,,,,N,,
126,,51.84,0,,,,N,,
127,,52.079998,0,,,,N,,
128,,52.32,0,,,,,,N
129,,52.559998,0,,,,,,N
130,,52.8,0,,,,N,,
131,,53.039997,0,,,,N,,
132,,53.28,0,,,,,,N
133,,53.52,0,,,,,,N
134,,53.76,0,,,,N,,
135,,54,0,,,,N,,
136,,54.239998,0,,,,,,N
137,,54.48,0,,,,,,N
138,,54.719997,0.5,,,,N,,
139,,55.68,0,,,N,,,
140,,55.92,0,,,N,,,
141,,56.16,0,N,,,,,
142,,56.399998,0,N,,,,,
143,,56.64,0,,,N,,,
144,,56.879997,0,,,N,,,
145,,57.12,0,N,,,,,
146,,57.36,0,N,,,,,
147,,57.6,0,,,N,,,
148,,57.84,0,,,N,,,
149,,58.079998,0,N,,,,,
150,,58.32,0,N,,,,,
151,,58.559998,0.5,,,N,,,
152,,59.52,0,,,,N,,
153,,59.76,0,,,,N,,
154,,60,0,,,,,,N
155,,60.239998,0,,,,,,N
156,,60.48,0,,,,N,,
157,,60.719997,0,,,,N,,
158,,60.96,0,,,,,,N
159,,61.199997,0,,,,,,N
160,,61.44,0,,,,N,,
161,,61.68,0,,,,N,,
162,,61.92,0,,,,,,N
163,,62.16,0,,,,,,N
164,,62.399998,0.5,,,,N,,
165,,63.359997,0,,,,O,,
166,,63.359997,0,,,O,,,
167,,63.6,0,,,N,,,
168,,63.6,0,,,,N,,
169,,63.84,0,O,,,,,
170,,63.84,0,,,,,,O
171,,64.08,0,N,,,,,
172,,64.08,0,,,,,,N
173,,64.32,0.42,,,,N,,
174,,64.32,0.42,,,N,,,
175,,65.28,0,,,,O,,
176,,65.28,0,,,O,,,
177,,65.52,0,,,N,,,
178,,65.52,0,,,,N,,
179,,65.76,0,,,,,,O
180,,65.76,0,O,,,,,
181,,66,0,N,,,,,
182,,66,0,,,,,,N
183,,66.24,0.42,,,,N,,
184,,66.24,0.42,,,N,,,
185,,67.2,0,,,N,,,
186,,67.439995,0,,,N,,,
187,,67.68,0,N,,,,,
188,,67.92,0,N,,,,,
189,,68.159996,0,,,N,,,
190,,68.4,0,,,N,,,
191,,68.64,0,N,,,,,
192,,68.88,0,N,,,,,
193,,69.119995,0,,,N,,,
194,,69.36,0,,,N,,,
195,,69.6,0,N,,,,,
196,,69.84,0,N,,,,,
197,,70.08,0.5,,,N,,,
198,,71.04,0,,,,N,,
