noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,3.5305858,0,,,,N,,
1,,3.8497345,0,,,,N,,
2,,4.168884,0,,,,N,,
3,,4.488033,0.66489375,,,,N,,
4,,5.4454794,0,,,,N,,
5,,5.7646284,0,,,,,,N
6,,6.0837774,0,,,,,,N
7,,6.4029264,0,,,,N,,
8,,7.0412245,0.66489375,,,,,,N
9,,7.9986715,0,,,,,,N
10,,8.317821,0,,,,,,N
11,,8.63697,0,,,,,,N
12,,8.956119,0,,,,N,,
13,,9.275268,0,,,,N,,
14,,9.594417,0.66489375,,,,,,N
15,,10.551864,0,,,,,,N
16,,10.871013,0,,,,,,N
17,,11.190162,0,,,,,,N
18,,11.509311,0,,,,N,,
19,,11.82846,0,,,,N,,
20,,12.147609,0.66489375,,,,,,N
21,,13.743353,0,,,N,,,
22,,14.062502,0,,,N,,,
23,,14.381651,0,,,N,,,
24,,14.7008,0.66489375,,,N,,,
25,,15.658247,0,,,N,,,
26,,15.977396,0,N,,,,,
27,,16.296545,0,N,,,,,
28,,16.615694,0,,,N,,,
29,,17.253992,0.66489375,N,,,,,
30,,18.21144,0,N,,,,,
31,,18.530588,0,N,,,,,
32,,18.849737,0,N,,,,,
33,,19.168886,0,,,N,,,
34,,19.488035,0,,,N,,,
35,,19.807184,0.66489375,N,,,,,
36,,20.764631,0,N,,,,,
37,,21.08378,0,N,,,,,
38,,21.40293,0,N,,,,,
39,,21.722078,0,,,N,,,
40,,22.041227,0,,,N,,,
41,,22.360376,0.66489375,S,,,,,
42,,24.913568,0.66489375,,,,N,,
43,,25.871016,0,,,,,,N
44,,26.03059,0,,,,,,N
45,,26.190165,0,,,,,,N
46,,26.34974,0,,,,,N,
47,,26.509314,0,,,,N,,
48,,26.828463,0,,,,,,N
49,,26.988037,0,,,,,,N
50,,27.147612,0,,,,,,N
51,,27.46676,0.50531924,,,,N,,
52,,28.424206,0,,,,,,N
53,,28.58378,0,,,,,,N
54,,28.743355,0,,,,,,N
55,,28.90293,0,,,,,N,
56,,29.062504,0,,,,N,,
57,,29.381653,0,,,,,,N
58,,29.541227,0,,,,,,N
59,,29.700802,0,,,,,,N
60,,30.01995,0.50531924,,,,N,,
61,,30.977398,0,,,,,,N
62,,31.136972,0,,,,,,N
63,,31.296547,0,,,,,,N
64,,31.456121,0,,,,,N,
65,,31.615696,0,,,,N,,
66,,31.934845,0,,,,,,N
67,,32.09442,0,,,,,,N
68,,32.253994,0,,,,,,N
69,,32.573143,0.50531924,,,,N,,
70,,34.807186,0,,,N,,,
71,,35.126335,0,,,O,,,
72,,35.764633,0,N,,,,,
73,,35.92421,0,N,,,,,
74,,36.083782,0,N,,,,,
75,,36.40293,0,,,N,,,
76,,36.562508,0,,,N,,,
77,,36.72208,0,,,N,,,
78,,37.04123,0,N,,,,,
79,,37.200806,0,N,,,,,
80,,37.36038,0,N,,,,,
81,,37.679527,0,,,N,,,
82,,38.317825,0,N,,,,,
83,,38.477398,0,N,,,,,
84,,38.636974,0,N,,,,,
85,,38.796547,0,N,,,,,
86,,39.115696,0,,,N,,,
87,,39.275272,0,,,N,,,
88,,39.59442,0,N,,,,,
89,,39.753994,0,N,,,,,
90,,39.91357,0,N,,,,,
91,,40.23272,0,,,N,,,
92,,41.988037,0,,,,N,,
93,,41.988037,0,,,N,,,
94,,42.147614,0,,,N,,,
95,,42.147614,0,,,,N,,
96,,42.307186,0,,,,N,,
97,,42.307186,0,,,N,,,
98,,42.466763,0,,,N,,,
99,,42.466763,0,,,,N,,
100,,42.626335,0,,,,,N,
