noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,9.233334,0,,,,N,,
1,,9.633334,0,,,,N,,
2,,10.033334,0,,,,,,N
3,,10.433334,0,,,,,,N
4,,10.833334,0,,,,N,,
5,,11.233334,0,,,,N,,
6,,11.633334,0,,,,,,N
7,,12.033334,0,,,,N,,
8,,12.433334,0,,,,N,,
9,,12.833334,0,,,,N,,
10,,13.233334,0,,,,,,N
11,,13.633334,0,,,,,,N
12,,14.033334,0,,,,N,,
13,,14.433334,0,,,,N,,
14,,14.833334,0,,,,,,N
15,,15.233335,0,,,,N,,
16,,15.633334,0,,,N,,,
17,,16.033335,0,,,N,,,
18,,16.433334,0,N,,,,,
19,,16.833334,0,N,,,,,
20,,17.233334,0,,,N,,,
21,,17.633335,0,,,N,,,
22,,18.033335,0,N,,,,,
23,,18.433334,0,,,N,,,
24,,18.833334,0,,,N,,,
25,,19.033335,0.3166667,,,N,,,
26,,19.433334,0,N,,,,,
27,,19.633335,0,N,,,,,
28,,20.033335,0,,,N,,,
29,,20.433334,0,,,N,,,
30,,20.633335,0.3166667,,,N,,,
31,,21.033335,0,N,,,,,
32,,21.233334,0,N,,,,,
33,,21.633335,0,,,N,,,
34,,22.033335,0,,,,O,,
35,,22.433334,0,,,,N,,
36,,22.833334,0,,,,,,N
37,,23.233335,0,,,,,,N
38,,23.633335,0,,,,N,,
39,,24.033335,0,,,,N,,
40,,24.433334,0,,,,,,N
41,,24.833334,0,,,,N,,
42,,25.233335,0,,,,O,,
43,,25.633335,0,,,,N,,
44,,26.033335,0,,,,,,N
45,,26.433334,0,,,,,,N
46,,26.833334,0,,,,N,,
47,,27.233335,0,,,,N,,
48,,27.633335,0,,,,,,N
49,,28.033335,0,,,,N,,
50,,28.433334,0,,,O,,,
51,,28.833334,0,,,N,,,
52,,29.233335,0,N,,,,,
53,,29.633335,0,N,,,,,
54,,30.033335,0,,,N,,,
55,,30.433334,0,,,N,,,
56,,30.833336,0,N,,,,,
57,,31.233335,0,,,N,,,
58,,31.633335,0,,,N,,,
59,,31.833336,0.3166667,,,N,,,
60,,32.233334,0,N,,,,,
61,,32.433334,0,N,,,,,
62,,32.833336,0,,,N,,,
63,,33.233334,0,,,N,,,
64,,33.433334,0.3166667,,,N,,,
65,,33.833336,0,N,,,,,
66,,34.033337,0,N,,,,,
