noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,4.866667,0,,,,N,,
1,,5.066667,0,,,,N,,
2,,5.266667,0,,,,N,,
3,,5.466667,0,,,,N,,
4,,5.666667,0,,,,N,,
5,,6.066667,0,,,,,,N
6,,6.466667,0,,,,,,N
7,,6.866667,0,,,,,,N
8,,7.266667,0,,,,N,,
9,,7.466667,0,,,,N,,
10,,7.666667,0,,,,O,,
11,,8.066668,0,,,,,,N
12,,8.266667,0,,,,,,N
13,,8.466667,0,,,,,,N
14,,8.666667,0,,,,,,N
15,,8.866667,0,,,,,,N
16,,9.266667,0,,,,,,N
17,,9.666667,0,,,,N,,
18,,9.866667,0,,,,N,,
19,,10.066668,0,,,,,,N
20,,10.266667,0,,,,,,N
21,,10.466667,0,,,,,,N
22,,10.666667,0,,,,,,N
23,,10.866667,0,,,,O,,
24,,11.266667,0,,,,N,,
25,,11.466667,0,,,,N,,
26,,11.666667,0,,,,,,N
27,,11.866668,0,,,,,,N
28,,12.066668,0,,,,,,N
29,,12.266667,0,,,,,,N
30,,12.466667,0,,,,N,,
31,,12.866668,0,,,,N,,
32,,13.066668,0,,,,N,,
33,,13.266667,0,,,,N,,
34,,13.466667,0,,,,N,,
35,,13.666667,0,,,,N,,
36,,14.066668,0,,,,,,N
37,,14.266667,0,,,,,,N
38,,14.466667,0,,,,,,N
39,,14.866668,0,,,,N,,
40,,15.266667,0,,,,N,,
41,,15.666668,0,,,,N,,
42,,15.866668,0,,,,N,,
43,,16.066668,0,,,,,,N
44,,16.266668,0,,,,,,N
45,,16.466667,0,,,,N,,
46,,16.866667,0,,,,,,N
47,,17.066668,0,,,,,,N
48,,17.266668,0,,,,,,N
49,,17.466667,0,,,N,,,
50,,17.666668,0,N,,,,,
51,,17.866667,0,N,,,,,
52,,18.066668,0,N,,,,,
53,,18.266668,0,N,,,,,
54,,18.466667,0,,,S,,,
55,,19.266668,0,,,N,,,
56,,19.466667,0,,,N,,,
57,,19.666668,0,N,,,,,
58,,19.866667,0,O,,,,,
59,,20.066668,0,,,N,,,
60,,20.866669,0,,,N,,,
61,,21.066668,0,,,N,,,
62,,21.166668,0,,,N,,,
63,,21.366669,0,N,,,,,
64,,21.466667,0,N,,,,,
65,,21.666668,0,O,,,,,
66,,21.866669,0,,,N,,,
67,,22.466667,0,,,N,,,
68,,22.666668,0,,,N,,,
69,,22.766668,0,,,N,,,
70,,22.966667,0,N,,,,,
71,,23.066668,0,N,,,,,
72,,23.266668,0,N,,,,,
73,,23.466667,0,O,,,,,
74,,23.666668,0,,,N,,,
75,,24.066668,0,,,,N,,
76,,24.266668,0,,,,N,,
77,,24.466667,0,,,,,,N
78,,24.666668,0,,,,,,N
79,,24.866669,0.4166667,,,,N,,
80,,25.666668,0,,,,N,,
81,,25.866669,0,,,,N,,
82,,26.066668,0,,,,,,N
83,,26.266668,0,,,,,,N
84,,26.466667,0.4166667,,,,N,,
85,,27.266668,0,,,N,,,
86,,27.466667,0,,,N,,,
87,,27.666668,0,,,N,,,
88,,27.866669,0,,N,,,,
89,,28.066668,0,N,,,,,
90,,28.266668,0,N,,,,,
91,,28.46667,0,,N,,,,
92,,28.666668,0,,,N,,,
93,,28.866669,0,,,N,,,
94,,29.066668,0,,N,,,,
95,,29.266668,0,N,,,,,
96,,29.46667,0,N,,,,,
97,,29.666668,0,,N,,,,
98,,29.866669,0,,,N,,,
99,,30.066668,0,,,,,,N
100,,30.066668,0,,,N,,,
101,,30.266668,0,,,N,,,
102,,30.266668,0,,,,,,N
103,,30.46667,0,,,,O,,
104,,30.46667,0,O,,,,,
105,,30.866669,0,,,N,,,
106,,30.866669,0,,,,,,N
107,,31.066668,0,,,,,,N
108,,31.066668,0,,,N,,,
109,,31.266668,0,,,,O,,
110,,31.266668,0,O,,,,,
111,,31.666668,0,,,N,,,
112,,31.666668,0,,,,,,N
113,,31.866669,0,,,N,,,
114,,31.866669,0,,,,,,N
115,,32.06667,0,N,,,,,
116,,32.06667,0,,,,N,,
117,,32.26667,0,,,,N,,
118,,32.26667,0,N,,,,,
119,,32.466667,0,,,,,,O
120,,32.466667,0,,,O,,,
121,,32.666668,0,,,,O,,
122,,32.666668,0,O,,,,,
123,,32.86667,0,,,O,,,
124,,32.86667,0,,,,,,O
125,,33.26667,0,,,,,,N
126,,33.466667,0,,,,,,N
127,,33.666668,0,,,,N,,
128,,33.86667,0,,,,N,,
129,,34.06667,0,,,,,,O
130,,34.26667,0,,,,O,,
131,,34.466667,0,,,,,,O
132,,34.86667,0,,,,,,N
133,,35.06667,0,,,,,,N
134,,35.26667,0,,,,N,,
135,,35.466667,0,,,,N,,
136,,35.666668,0,,,,,,O
137,,35.86667,0,,,,O,,
138,,36.06667,0,,,,,,O
139,,36.466667,0,N,,,,,
140,,36.466667,0,,,,N,,
141,,36.666668,0,,,,N,,
142,,36.666668,0,N,,,,,
143,,36.86667,0,,,,,,N
144,,36.86667,0,,,N,,,
145,,37.06667,0,,,,,,N
146,,37.06667,0,,,N,,,
147,,37.26667,0,O,,,,,
148,,37.26667,0,,,,O,,
149,,37.466667,0,,,,,,O
150,,37.466667,0,,,O,,,
151,,37.666668,0,,,,O,,
152,,37.666668,0,O,,,,,
153,,38.06667,0,,,,,,N
154,,38.06667,0,,,N,,,
155,,38.26667,0,,,,,,N
156,,38.26667,0,,,N,,,
157,,38.466667,0,,,,N,,
158,,38.466667,0,N,,,,,
159,,38.666668,0,N,,,,,
160,,38.666668,0,,,,N,,
161,,38.86667,0,,,O,,,
162,,38.86667,0,,,,,,O
163,,39.06667,0,O,,,,,
164,,39.06667,0,,,,O,,
165,,39.26667,0,,,,,,O
166,,39.26667,0,,,O,,,
167,,39.666668,0,N,,,,,
168,,39.76667,0,N,,,,,
169,,39.86667,0,N,,,,,
170,,40.06667,0,,,N,,,
171,,40.26667,0,,,N,,,
172,,40.466667,0,O,,,,,
173,,40.666668,0,,,O,,,
174,,40.86667,0,O,,,,,
175,,41.26667,0,,,N,,,
176,,41.36667,0,,,N,,,
177,,41.466667,0,,,N,,,
178,,41.666668,0,N,,,,,
179,,41.86667,0,N,,,,,
180,,42.06667,0,,,O,,,
181,,42.26667,0,O,,,,,
182,,42.466667,0,,,O,,,
183,,43.666668,0,,,,N,,
184,,43.86667,0,,,,N,,
185,,44.06667,0,,,,,,N
186,,44.26667,0,,,,,,N
187,,44.466667,0,,,,O,,
188,,44.86667,0,,,,,,N
189,,45.06667,0,,,,,,N
190,,45.26667,0,,,,N,,
191,,45.466667,0,,,,N,,
192,,45.666668,0,,,,,,N
193,,45.86667,0,,,,,,N
194,,46.06667,0,,,,O,,
195,,46.46667,0,,,,N,,
196,,46.666668,0,,,,N,,
197,,46.86667,0,,,,,,N
198,,47.06667,0,,,,,,N
199,,47.26667,0,,,,N,,
200,,47.46667,0,,,,N,,
201,,47.666668,0,,,,,,O
202,,48.06667,0,,,,,,N
203,,48.26667,0,,,,,,N
204,,48.46667,0,,,,N,,
205,,48.666668,0,,,,N,,
206,,48.86667,0,,,,,,N
207,,49.06667,0,,,,,,N
208,,49.26667,0,,,,O,,
209,,49.666668,0,N,,,,,
210,,49.86667,0,N,,,,,
211,,50.06667,0.21666668,,,N,,,
