noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,4.041192,0,,,,N,,
1,,4.2116466,0,,,,N,,
2,,4.382101,0,,,,N,,
3,,4.5525556,0,,,,N,,
4,,4.8934646,0,,,,,,N
5,,5.063919,0,,,,,,N
6,,5.2343736,0,,,,,,N
7,,5.5752826,0,,,,N,,
8,,5.745737,0,,,,N,,
9,,5.9161916,0,,,,N,,
10,,6.2571006,0,,,,,,N
11,,6.4275556,0,,,,,,N
12,,6.7684646,0,,,,,,N
13,,7.052555,0.5397726,,,,N,,
14,,9.012782,0,,,,N,,
15,,9.183236,0,,,,N,,
16,,9.353691,0,,,,N,,
17,,9.524145,0,,,,N,,
18,,9.779827,0,,,,,,N
19,,10.0071,0,,,,,,N
20,,10.262782,0,,,,,,N
21,,10.575282,0.3693181,,,,,,N
22,,11.136361,0,,,,N,,
23,,11.392043,0,,,,N,,
24,,11.676134,0,,,,,,N
25,,11.818179,0,,,,,,N
26,,12.187497,0,,,,,,N
27,,12.499997,0.5397726,,,,N,,
28,,14.893462,0,,,N,,,
29,,15.063917,0,,,N,,,
30,,15.234371,0,,,N,,,
31,,15.404826,0,,,N,,,
32,,15.745735,0,N,,,,,
33,,16.029825,0,N,,,,,
34,,16.200281,0,N,,,,,
35,,16.484371,0,,,N,,,
36,,16.711643,0,,,N,,,
37,,16.8821,0,,,N,,,
38,,17.13778,0,N,,,,,
39,,17.365053,0,N,,,,,
40,,17.677553,0,N,,,,,
41,,17.961643,0.71022713,,,N,,,
42,,19.893461,0,,,N,,,
43,,20.063915,0,,,N,,,
44,,20.234371,0,,,N,,,
45,,20.404825,0,,,N,,,
46,,20.688915,0,N,,,,,
47,,20.91619,0,N,,,,,
48,,21.143461,0,N,,,,,
49,,21.427551,0.3693181,N,,,,,
50,,22.04545,0,,,N,,,
51,,22.272722,0,,,N,,,
52,,22.528404,0,N,,,,,
53,,22.727268,0,N,,,,,
54,,22.982948,0,,,N,,,
55,,23.295448,0.5397726,,,S,,,
56,,24.964483,0,,,,N,,
57,,25.134937,0,,,,N,,
58,,25.305391,0,,,,N,,
59,,25.475847,0,,,,,N,
60,,25.646301,0,,,,,,N
61,,25.816755,0.5397726,,,,,,N
62,,26.498573,0.5397726,,,,N,,
63,,27.350845,0,,,,N,,
64,,27.521301,0,,,,N,,
65,,27.691755,0,,,,N,,
66,,27.86221,0.3693181,,,,,,N
67,,28.35937,0,,,,,,N
68,,28.529823,0,,,,,,N
69,,28.785505,0.5397726,,,,,,N
70,,29.55255,0.71022713,,,,N,,
71,,30.745731,0,N,,,,,
72,,30.916185,0,N,,,,,
73,,31.086641,0,N,,,,,
74,,31.257095,0,O,,,,,
75,,31.598003,0,,,N,,,
76,,31.76846,0,,,N,,,
77,,31.938913,0,,,O,,,
78,,32.279823,0,N,,,,,
79,,32.450275,0,N,,,,,
80,,32.62073,0,O,,,,,
81,,32.96164,0,,,N,,,
82,,33.132095,0,,,N,,,
83,,33.302547,0,,,N,,,
84,,33.64346,0,N,,,,,
85,,33.81391,0,N,,,,,
86,,33.984367,0.5397726,N,,,,,
87,,34.666183,0.71022713,,,N,,,
88,,36.02982,0,,,,N,,
89,,36.37073,0,,,,N,,
90,,36.71164,0,,,,,,O
91,,37.052547,0,,,,N,,
92,,37.223003,0,,,,N,,
93,,37.393456,0,,,,,,O
94,,37.734367,0,,,,N,,
95,,37.90482,0,,,,N,,
96,,38.075275,0,,,,,,O
97,,38.416183,0,,,,,,N
98,,38.75709,0,,,,O,,
99,,39.098003,0,,,,,,N
100,,39.43891,0,,,,O,,
101,,39.77982,0,,,,N,,
102,,39.950275,0,,,,N,,
103,,40.120728,0,,,,,,O
104,,40.46164,0,,,,N,,
105,,40.63209,0,,,,N,,
106,,40.802547,0,,,,,,O
107,,41.143456,0.5397726,,,,N,,
108,,41.825275,0,,,N,,,
109,,41.995728,0,,,N,,,
110,,42.166183,0,O,,,,,
111,,42.50709,0,,,N,,,
112,,42.677547,0,,,N,,,
113,,42.848,0,O,,,,,
114,,43.18891,0,,,N,,,
115,,43.359364,0,,,N,,,
116,,43.52982,0,O,,,,,
117,,43.870728,0,N,,,,,
118,,44.211636,0,,,O,,,
119,,44.552547,0,N,,,,,
120,,44.893456,0,,,O,,,
121,,45.234364,0,,,N,,,
122,,45.40482,0,,,N,,,
123,,45.57527,0,O,,,,,
124,,45.916183,0,,,N,,,
125,,46.086636,0,,,N,,,
126,,46.25709,0,O,,,,,
127,,46.598,0,,,N,,,
128,,46.93891,0,,,,N,,
129,,47.27982,0,,,,N,,
130,,47.620728,0,,,,,,O
131,,47.961636,0,,,,N,,
132,,48.13209,0,,,,N,,
133,,48.302547,0,,,,,,O
134,,48.643456,0,,,,N,,
135,,48.813908,0,,,,N,,
136,,48.984364,0,,,,,,O
137,,49.32527,0,,,,,,N
138,,49.666183,0,,,,O,,
139,,50.00709,0,,,,,,N
140,,50.348,0,,,,O,,
141,,50.688908,0,,,,N,,
142,,50.859364,0,,,,N,,
143,,51.02982,0,,,,,,O
144,,51.370728,0,,,,N,,
145,,51.54118,0,,,,N,,
146,,51.711636,0,,,,,,O
147,,52.052544,0,,,,N,,
148,,52.734364,0,,,N,,,
149,,52.904816,0,,,N,,,
150,,53.07527,0,O,,,,,
151,,53.41618,0,,,N,,,
152,,53.586636,0,,,N,,,
153,,53.75709,0,O,,,,,
154,,54.098,0,,,N,,,
155,,54.26845,0,,,N,,,
156,,54.438908,0,O,,,,,
157,,54.779816,0,N,,,,,
158,,55.120728,0,,,O,,,
159,,55.461636,0,N,,,,,
160,,55.632088,0,N,,,,,
161,,55.802544,0,N,,,,,
162,,56.14345,0.71022713,,,N,,,
163,,57.16618,0,,,,N,,
164,,57.16618,0,,,N,,,
165,,57.336636,0,,,,N,,
166,,57.336636,0,,,N,,,
167,,57.507088,0,,,N,,,
168,,57.507088,0,,,,N,,
169,,57.677544,0,,,,N,,
170,,57.677544,0,,,N,,,
171,,57.848,0,,,,,,O
172,,57.848,0,O,,,,,
173,,58.188908,0,,,,N,,
174,,58.188908,0,,,N,,,
175,,58.529816,0,,,,,,O
176,,58.529816,0,O,,,,,
177,,58.870724,0.5397726,,,N,,,
178,,58.870724,0.5397726,,,,S,,
179,,60.57527,0,,,,N,,
180,,60.91618,0,,,,N,,
181,,61.257088,0,,,,,,O
182,,61.597996,0,,,,N,,
183,,61.76845,0,,,,N,,
184,,61.938908,0,,,,,,O
185,,62.279816,0,,,,N,,
186,,62.450268,0,,,,N,,
187,,62.620724,0,,,,,,O
188,,62.96163,0,,,,,,N
189,,63.302544,0,,,,O,,
190,,63.64345,0,,,,,,N
191,,63.98436,0,,,,O,,
192,,64.32527,0,,,,N,,
193,,64.49572,0,,,,N,,
194,,64.666176,0,,,,,,O
