noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,1.3085938,0,,,,N,,
1,,1.7773438,0,,,,N,,
2,,2.4804688,0,,,,,,N
3,,2.9492188,0.46875,,,,N,,
4,,3.7695312,0,,,,N,,
5,,4.2382812,0,,,,N,,
6,,4.5898438,0,,,,N,,
7,,4.8242188,0,,,,,,N
8,,4.9414062,0,,,,,,N
9,,5.1757812,0,,,,,,N
10,,5.4101562,0,,,,,,N
11,,5.6445312,0,,,,N,,
12,,6.1132812,0,,,,N,,
13,,6.4648438,0,,,,N,,
14,,6.6992188,0,,,,,,N
15,,6.8164062,0,,,,,,N
16,,7.0507812,0,,,,,,N
17,,7.2851562,0,,,,,,N
18,,7.5195312,0,,,,N,,
19,,7.7539062,0,,,,N,,
20,,7.9882812,0,,,,,,O
21,,8.222656,0,,,,,,N
22,,8.339844,0,,,,,,N
23,,8.574219,0,,,,N,,
24,,8.691406,0,,,,N,,
25,,8.925781,0,,,,,,N
26,,9.160156,0,,,,N,,
27,,9.394531,0.48828125,,,,,,N
28,,10.332031,0,,,,,,N
29,,10.332031,0,N,,,,,
30,,10.800781,0,N,,,,,
31,,10.800781,0,,,,,,N
32,,11.269531,0,,,N,,,
33,,11.738281,0,,,N,,,
34,,12.089844,0,,,N,,,
35,,12.324219,0,N,,,,,
36,,12.441406,0,N,,,,,
37,,12.675781,0,N,,,,,
38,,12.910156,0,N,,,,,
39,,13.144531,0,,,N,,,
40,,13.613281,0,,,O,,,
41,,13.964844,0,,,N,,,
42,,14.199219,0,N,,,,,
43,,14.316406,0,N,,,,,
44,,14.550781,0,N,,,,,
45,,14.785156,0,N,,,,,
46,,15.019531,0,,,N,,,
47,,15.253906,0,,,N,,,
48,,15.488281,0,O,,,,,
49,,15.722656,0,N,,,,,
50,,15.839844,0,N,,,,,
51,,16.074219,0,,,N,,,
52,,16.191406,0,,,N,,,
53,,16.425781,0,N,,,,,
54,,16.660156,0,,,N,,,
55,,16.660156,0,,,,N,,
56,,16.894531,0,,,,,,N
57,,16.894531,0.48828125,N,,,,,
58,,17.128906,0,,,,,,N
59,,17.363281,0,,,,N,,
60,,17.597656,0,,,,N,,
61,,17.832031,0.48828125,,,,,,S
62,,18.769531,0,,,,N,,
63,,19.238281,0,,,,,,N
64,,19.589844,0,,,,N,,
65,,19.824219,0,,,,N,,
66,,19.941406,0,,,,N,,
67,,20.175781,0,,,,,,N
68,,20.410156,0,,,,,,N
69,,20.644531,0,,,,N,,
70,,21.113281,0,,,,,,O
71,,21.464844,0,,,,N,,
72,,21.699219,0,,,,N,,
73,,21.816406,0,,,,N,,
74,,22.050781,0,,,,,,N
75,,22.285156,0,,,,,,N
76,,22.519531,0,,,,N,,
77,,22.753906,0,,,,N,,
78,,22.988281,0,,,,,,O
79,,23.222656,0,,,,,,N
80,,23.339844,0,,,,,,N
81,,23.574219,0,,,,N,,
82,,23.691406,0,,,,N,,
83,,23.925781,0,,,,,,N
84,,24.160156,0,,,,N,,
85,,24.394531,0.46875,,,,,,N
86,,25.336914,0,,,,,,N
87,,25.336914,0,N,,,,,
88,,25.805664,0,N,,,,,
89,,25.810547,0,,,,,,N
90,,26.269531,0,,,N,,,
91,,26.738281,0,N,,,,,
92,,27.089844,0,,,N,,,
93,,27.324219,0,,,N,,,
94,,27.441406,0,,,N,,,
95,,27.675781,0,N,,,,,
96,,27.910156,0,N,,,,,
97,,28.144531,0,,,N,,,
98,,28.613281,0,O,,,,,
99,,28.964844,0,,,N,,,
100,,29.199219,0,,,N,,,
101,,29.316406,0,,,N,,,
102,,29.550781,0,N,,,,,
103,,29.785156,0,N,,,,,
104,,30.019531,0,,,N,,,
105,,30.253906,0,,,N,,,
106,,30.488281,0,O,,,,,
107,,30.722656,0,N,,,,,
108,,30.839844,0,N,,,,,
109,,31.074219,0,,,N,,,
110,,31.191406,0,,,N,,,
111,,31.425781,0,N,,,,,
112,,31.660156,0,,,N,,,
113,,31.894531,0.46875,N,,,,,
114,,32.851562,0,,,,,,N
115,,32.851562,0,N,,,,,
116,,33.320312,0,N,,,,,
117,,33.320312,0,,,,,,N
118,,33.779297,0,,,,,,N
119,,34.01367,0,,,,,,N
120,,34.48242,0,,,,N,,
121,,34.716797,0.37109375,,,,,,N
122,,35.185547,0,,,,N,,
123,,35.53711,0,,,,,,N
124,,35.654297,0,,,,,,N
125,,35.88867,0,,,,,,N
126,,36.35742,0,,,,N,,
127,,36.591797,0,,,,,,N
128,,36.82617,0,,,,N,,
129,,37.060547,0,,,,,,N
130,,37.41211,0,,,,,,N
131,,37.529297,0,,,,,,N
132,,37.76367,0,,,,,,N
133,,38.23242,0,,,,N,,
134,,38.466797,0,,,,,,N
135,,38.70117,0,,,,N,,
136,,38.935547,0,,,,,,N
137,,39.28711,0,,,,,,N
138,,39.404297,0,,,,,,N
139,,39.63867,0,,,,,,N
140,,40.10742,0,,,,,,N
141,,40.341797,0,,,,N,,
142,,40.810547,0,,,,N,,
143,,41.279297,0,N,,,,,
144,,41.51367,0,N,,,,,
145,,41.98242,0,,,N,,,
146,,42.216797,0.37109375,N,,,,,
147,,42.685547,0,,,N,,,
148,,43.03711,0,N,,,,,
149,,43.154297,0,N,,,,,
150,,43.38867,0,N,,,,,
151,,43.85742,0,,,N,,,
152,,44.091797,0,N,,,,,
153,,44.32617,0,,,N,,,
154,,44.560547,0,N,,,,,
155,,44.91211,0,N,,,,,
156,,45.029297,0,N,,,,,
157,,45.26367,0,N,,,,,
158,,45.73242,0,,,N,,,
159,,45.966797,0.37109375,N,,,,,
160,,46.435547,0,,,N,,,
161,,46.660156,0,,,N,,,
162,,46.660156,0,,,,N,,
163,,46.89453,0,,,,,,N
164,,46.89453,0,N,,,,,
165,,47.128906,0,,,N,,,
166,,47.128906,0,,,,N,,
167,,47.36328,0,,,,,,N
168,,47.36328,0,N,,,,,
169,,47.597656,0,,,,N,,
170,,47.597656,0,,,N,,,
171,,47.83203,0.46875,N,,,,,
172,,47.83203,0.46875,,,,,,S
173,,48.76953,0,,,,O,,
174,,49.23828,0,,,,,,N
175,,49.589844,0,,,,N,,
176,,49.82422,0,,,,,,N
177,,49.941406,0,,,,,,N
178,,50.17578,0,,,,N,,
179,,50.410156,0,,,,,,N
180,,50.64453,0,,,,O,,
181,,51.11328,0,,,,,,O
182,,51.464844,0,,,,N,,
183,,51.69922,0,,,,,,N
184,,51.816406,0,,,,,,N
185,,52.05078,0,,,,N,,
186,,52.285156,0,,,,,,N
187,,52.51953,0,,,,N,,
188,,52.753906,0,,,,N,,
189,,52.98828,0,,,,,,O
190,,53.222656,0,,,,,,N
191,,53.339844,0,,,,,,N
192,,53.57422,0,,,,N,,
193,,53.691406,0,,,,N,,
194,,53.92578,0,,,,,,N
195,,54.160156,0,,,,N,,
196,,54.39453,0.46875,,,,,,N
197,,55.33203,0,,,N,,,
198,,55.33203,0,,,,N,,
199,,55.80078,0,N,,,,,
200,,55.80078,0,,,,,,N
201,,56.26953,0,,,O,,,
202,,56.73828,0,N,,,,,
203,,57.089844,0,,,N,,,
204,,57.32422,0,N,,,,,
205,,57.441406,0,N,,,,,
206,,57.67578,0,,,N,,,
207,,57.910156,0,N,,,,,
208,,58.14453,0,,,O,,,
209,,58.61328,0,O,,,,,
210,,58.964844,0,,,N,,,
211,,59.19922,0,N,,,,,
212,,59.316406,0,N,,,,,
213,,59.55078,0,,,N,,,
214,,59.785156,0,N,,,,,
215,,60.01953,0,,,N,,,
216,,60.253906,0,,,N,,,
217,,60.48828,0,O,,,,,
218,,60.722656,0,N,,,,,
219,,60.839844,0,N,,,,,
220,,61.07422,0,,,N,,,
221,,61.191406,0,,,N,,,
222,,61.42578,0,N,,,,,
223,,61.660156,0,,,N,,,
224,,61.89453,0.46875,N,,,,,
225,,63.76953,0,,,,O,,
226,,64.23828,0,,,,,,N
227,,64.58984,0,,,,N,,
228,,64.82422,0,,,,,,N
229,,64.94141,0,,,,,,N
230,,65.17578,0,,,,N,,
231,,65.41016,0,,,,,,N
232,,65.64453,0,,,,O,,
233,,66.11328,0,,,,,,O
234,,66.46484,0,,,,N,,
235,,66.69922,0,,,,,,N
236,,66.81641,0,,,,,,N
237,,67.05078,0,,,,N,,
238,,67.28516,0,,,,,,N
239,,67.51953,0,,,,N,,
240,,67.75391,0,,,,N,,
241,,67.98828,0,,,,,,O
242,,68.22266,0,,,,,,N
243,,68.33984,0,,,,,,N
244,,68.57422,0,,,,N,,
245,,68.69141,0,,,,N,,
246,,68.92578,0,,,,,,N
247,,69.16016,0,,,,N,,
248,,69.39453,0.46875,,,,,,N
249,,70.33203,0,,,N,,,
250,,70.33203,0,,,,N,,
251,,70.80078,0,,,,,,N
252,,70.80078,0,N,,,,,
253,,71.25488,0,,,O,,,
254,,71.73828,0,N,,,,,
255,,72.08984,0,,,N,,,
256,,72.32422,0,N,,,,,
257,,72.44141,0,N,,,,,
258,,72.67578,0,,,N,,,
259,,72.91016,0,N,,,,,
260,,73.14453,0,,,N,,,
261,,73.61328,0,,,,,,O
262,,73.96484,0,,,,N,,
263,,74.19922,0,,,,,,N
264,,74.31641,0,,,,,,N
265,,74.55078,0,,,,N,,
266,,74.78516,0,,,,,,N
267,,75.01953,0,,,,N,,
268,,75.25391,0,,,,N,,
269,,75.48828,0,,,,,,O
270,,75.72266,0,,,,,,N
271,,75.83984,0,,,,,,N
