noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,6.2499967,0,,,,N,,
1,,6.403685,0,,,,N,,
2,,6.5573735,0,,,,N,,
3,,6.8647504,0,,,,N,,
4,,7.2336025,0.5225407,,,,N,,
5,,8.852454,0,,,,,,N
6,,9.006143,0,,,,,,N
7,,9.159831,0,,,,,,N
8,,9.43647,0.5225407,,,,,,N
9,,10.1126995,0.5225407,,,,N,,
10,,11.516387,0,,,,N,,
11,,11.680322,0,,,,N,,
12,,11.844255,0,,,,N,,
13,,12.0901575,0,,,,N,,
14,,12.418026,0,,,,,,O
15,,12.745894,0,,,,,,N
16,,13.073763,0,,,,O,,
17,,13.401632,0,,,,N,,
18,,13.729501,0,,,,,,O
19,,14.057369,0,,,,,,N
20,,14.385238,0,,,,,,N
21,,14.713106,0.5840161,,,,N,,
22,,15.368844,0.4815571,,,,,,N
23,,16.639336,0,,,N,,,
24,,16.803268,0,,,N,,,
25,,16.967203,0,,,N,,,
26,,17.25409,0,,,N,,,
27,,17.622942,1.0143437,N,,,,,
28,,19.2213,0.4815571,,,N,,,
29,,19.836054,0,,,N,,,
30,,20.204906,0,N,,,,,
31,,20.614742,0.4815571,,,N,,,
32,,21.926218,0,,,N,,,
33,,22.233595,0,,,N,,,
34,,22.540972,0,,,N,,,
35,,22.86884,0,O,,,,,
36,,23.176216,0,N,,,,,
37,,23.483593,0,N,,,,,
38,,23.79097,0,,,N,,,
39,,23.954905,0,,,N,,,
40,,24.11884,0,,,N,,,
41,,24.426216,0,N,,,,,
42,,24.795069,0,N,,,,,
43,,25.122936,0.5225407,,,N,,,
44,,25.819658,0.6454914,S,,,,,
45,,27.090149,0.87090117,,,,,,N
46,,28.073755,0.9938519,,,,N,,
47,,29.795065,0,,,,N,,
48,,30.28687,0,,,,N,,
49,,30.737688,0.8504094,,,,,,N
50,,31.700802,0.54303247,,,,N,,
51,,32.7049,0,,,N,,,
52,,33.03277,0,,,N,,,
53,,33.360638,0.5225407,N,,,,,
