noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,6.8137226,0,,,,N,,
1,,7.10784,0,,,,N,,
2,,7.4019575,0,,,,N,,
3,,7.5490165,0,,,,N,,
4,,7.696075,0,,,,N,,
5,,7.9901924,0,,,,,,N
6,,8.28431,0,,,,,,O
7,,8.578427,0,,,,,,N
8,,8.872545,0.44117627,,,,N,,
9,,11.519603,0,,,N,,,
10,,11.813721,0,,,N,,,
11,,12.107838,0,,,N,,,
12,,12.254896,0,,,N,,,
13,,12.401956,0,,,N,,,
14,,12.696073,0,N,,,,,
15,,12.9901905,0,N,,,,,
16,,13.2843075,0,N,,,,,
17,,13.578425,0.44117627,,,N,,,
18,,16.225483,0,,,,N,,
19,,16.5196,0,,,,N,,
20,,16.813719,0,,,,N,,
21,,16.960777,0,,,,N,,
22,,17.107836,0,,,,N,,
23,,17.401953,0,,,,,,N
24,,17.69607,0,,,,,,O
25,,17.990189,0,,,,,,N
26,,18.284306,0.47794098,,,,N,,
27,,21.225481,0.44117627,,,,N,,
28,,22.40195,0.44117627,,,N,,,
29,,23.57842,0.588235,,,,,,N
30,,23.57842,0.588235,S,,,,,
31,,30.343124,0,,,,N,,
32,,30.637241,0,,,,N,,
33,,30.931358,0,,,,,,N
34,,31.078417,0,,,,,,N
35,,31.225477,0,,,,,,N
36,,31.519594,0,,,,N,,
37,,31.813711,0,,,,,,O
38,,32.10783,0,,,,,,N
39,,32.401947,0.44117627,,,,N,,
40,,35.049004,0,,,N,,,
41,,35.34312,0,,,N,,,
42,,35.637238,0,N,,,,,
43,,35.784298,0,N,,,,,
44,,35.93136,0,N,,,,,
45,,36.225475,0,,,N,,,
46,,36.519592,0,N,,,,,
47,,36.81371,0,N,,,,,
48,,37.107826,0.44117627,,,N,,,
49,,39.754883,0,,,,N,,
50,,40.049004,0,,,,N,,
51,,40.19606,0,,,,N,,
52,,40.34312,0,,,,,N,
53,,40.490177,0,,,,,,N
54,,40.637238,0,,,,,,N
55,,40.931355,0,,,,N,,
56,,41.22547,0,,,,,,O
57,,41.51959,0,,,,,,N
58,,41.813705,0.47794098,,,,N,,
59,,44.754883,0.44117627,,,,N,,
60,,45.93135,0.44117627,,,N,,,
61,,47.107822,0.588235,N,,,,,
62,,47.107822,0.588235,,,,,,S
63,,53.872524,0,,,,N,,
64,,53.872524,0,,,N,,,
65,,54.16664,0,N,,,,,
66,,54.16664,0,,,,,,N
67,,54.3137,0,,,,,,N
68,,54.3137,0,N,,,,,
69,,54.460762,0,N,,,,,
70,,54.460762,0,,,,,,N
71,,54.60782,0,,,,,,N
72,,54.60782,0,N,,,,,
73,,54.75488,0,,,,,,N
74,,54.75488,0,N,,,,,
75,,55.048996,0,,,N,,,
76,,55.048996,0,,,,N,,
77,,55.343113,0,,,,,,O
78,,55.343113,0,O,,,,,
79,,55.63723,0,N,,,,,
80,,55.63723,0,,,,,,N
81,,55.931347,0.44117627,,,,N,,
82,,55.931347,0.44117627,,,N,,,
83,,58.578407,0,,,,N,,
84,,58.872524,0,,,,N,,
85,,59.01958,0,,,,N,,
86,,59.16664,0,,,,,N,
87,,59.313698,0,,,,,,N
88,,59.46076,0,,,,,,N
89,,59.754875,0,,,,N,,
90,,60.048992,0,,,,,,N
91,,60.196053,0,,,,,,N
92,,60.34311,0,,,,,,N
93,,60.63723,0.44117627,,,,N,,
94,,63.284286,0,,,N,,,
95,,63.284286,0,,,,N,,
96,,63.578403,0,N,,,,,
97,,63.578403,0,,,,,,N
98,,63.725464,0,,,,,,N
99,,63.725464,0,N,,,,,
100,,63.87252,0,N,,,,,
101,,63.87252,0,,,,,,N
102,,64.01958,0,,,,,,N
103,,64.01958,0,N,,,,,
104,,64.16664,0,,,,,,N
105,,64.16664,0,N,,,,,
106,,64.460754,0,,,N,,,
107,,64.460754,0,,,,N,,
108,,64.754875,0,O,,,,,
109,,64.754875,0,,,,,,O
110,,65.04899,0,,,,,,N
111,,65.04899,0,N,,,,,
112,,65.34311,0.44117627,,,,N,,
113,,65.34311,0.44117627,,,N,,,
114,,68.28429,0.44117627,,,N,,,
115,,69.460754,0.44117627,N,,,,,
116,,70.63722,0.588235,N,,,,,
117,,70.63722,0.588235,,,,,,N
118,,72.696045,0,,,,N,,
119,,72.696045,0,,,N,,,
120,,72.990166,0,,,,,,N
121,,72.990166,0,N,,,,,
122,,73.13722,0,,,,,,N
123,,73.13722,0,N,,,,,
124,,73.28428,0,N,,,,,
125,,73.28428,0,,,,,,N
126,,73.43134,0,,,,,,N
127,,73.43134,0,N,,,,,
128,,73.5784,0,N,,,,,
129,,73.5784,0,,,,,,N
130,,73.87251,0,,,,N,,
131,,73.87251,0,,,N,,,
132,,74.16663,0,O,,,,,
133,,74.16663,0,,,,,,O
134,,74.460754,0,,,,,,N
135,,74.460754,0,N,,,,,
136,,74.75487,0.44117627,,,N,,,
137,,74.75487,0.44117627,,,,S,,
