noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,5.7065206,0,,,,,,N
1,,6.2499986,0,,,,N,,
2,,6.739129,0,,,,,,N
3,,6.999998,0,,,,,,N
4,,7.260868,0,,,,,,N
5,,7.521737,0,,,,N,,
6,,7.652172,0,,,,N,,
7,,7.9130416,0,,,,N,,
8,,8.043476,0,,,,N,,
9,,8.304346,0,,,,N,,
10,,8.565215,0,,,,N,,
11,,8.826085,0,,,,,,N
12,,9.086954,0,,,,,,N
13,,9.347824,0,,,,,,N
14,,9.608693,0,,,,N,,
15,,9.739128,0,,,,N,,
16,,9.999998,0,,,,N,,
17,,10.130432,0,,,,N,,
18,,10.391302,0,,,,N,,
19,,10.652171,0,,,,N,,
20,,10.913041,0,,,,,,N
21,,11.17391,0,,,,,,N
22,,11.43478,0,,,,,,N
23,,11.695649,0,,,,N,,
24,,11.826084,0,,,,N,,
25,,12.086954,0,,,,N,,
26,,12.217388,0,,,,N,,
27,,12.478258,0,,,,,,N
28,,12.739127,0,,,,,,N
29,,12.999997,0.7826085,,,,N,,
30,,14.043475,0,N,,,,,
31,,14.565214,0,,,N,,,
32,,15.086953,0,N,,,,,
33,,15.347822,0,N,,,,,
34,,15.608692,0,N,,,,,
35,,15.869561,0,,,N,,,
36,,15.999996,0,,,N,,,
37,,16.260866,0,,,N,,,
38,,16.3913,0,,,N,,,
39,,16.65217,0,,,N,,,
40,,16.91304,0,,,N,,,
41,,17.173908,0,N,,,,,
42,,17.434778,0,N,,,,,
43,,17.695648,0,N,,,,,
44,,17.956518,0,,,N,,,
45,,18.086952,0,,,N,,,
46,,18.347822,0,,,N,,,
47,,18.478256,0,,,N,,,
48,,18.739126,0,,,N,,,
49,,18.999996,0,,,N,,,
50,,19.260864,0,N,,,,,
51,,19.521734,0,N,,,,,
52,,19.782604,0,N,,,,,
53,,20.043474,0,,,N,,,
54,,20.173908,0,,,N,,,
55,,20.434778,0,,,N,,,
56,,20.565212,0,,,N,,,
57,,20.826082,0,N,,,,,
58,,21.086952,0,N,,,,,
59,,21.34782,0.7826085,,,S,,,
60,,22.391298,0,,,,,,N
61,,22.913038,0,,,,N,,
62,,23.434776,0,,,,,,O
63,,23.695646,0,,,,,,N
64,,23.956516,0,,,,,,N
65,,24.217386,0,,,,N,,
66,,24.34782,0,,,,N,,
67,,24.60869,0,,,,N,,
68,,24.739124,0,,,,N,,
69,,24.999994,0,,,,,,N
70,,25.260864,0,,,,N,,
71,,25.521732,0,,,,,,N
72,,25.782602,0,,,,,,N
73,,26.043472,0,,,,,,N
74,,26.304342,0,,,,N,,
75,,26.434776,0,,,,N,,
76,,26.695646,0,,,,N,,
77,,26.82608,0,,,,N,,
78,,27.08695,0,N,,,,,
79,,27.34782,0,,,N,,,
80,,27.608688,0,N,,,,,
81,,27.869558,0,N,,,,,
82,,28.130428,0,N,,,,,
83,,28.391298,0,,,N,,,
84,,28.521732,0,,,N,,,
85,,28.782602,0,,,N,,,
86,,28.913036,0,,,N,,,
87,,29.173906,0,N,,,,,
88,,29.434776,0,N,,,,,
89,,29.695644,0.7826085,,,N,,,
90,,30.739122,0,,,,,,N
91,,31.260862,0,,,,N,,
92,,31.7826,0,,,,,,O
93,,32.043472,0,,,,,,N
94,,32.30434,0,,,,,,N
95,,32.56521,0,,,,N,,
96,,32.695644,0,,,,N,,
97,,32.956512,0,,,,N,,
98,,33.08695,0,,,,N,,
99,,33.347816,0,,,,,,N
100,,33.60869,0,,,,N,,
101,,33.869556,0,,,,,,N
102,,34.13043,0,,,,,,N
103,,34.391296,0,,,,,,N
104,,34.652164,0,,,,N,,
105,,34.7826,0,,,,N,,
106,,35.04347,0,,,,N,,
107,,35.173904,0,,,,N,,
108,,35.434772,0,N,,,,,
109,,35.695644,0,,,N,,,
110,,35.956512,0,N,,,,,
111,,36.217384,0,N,,,,,
112,,36.478252,0,N,,,,,
113,,36.73912,0,,,N,,,
114,,36.869556,0,,,N,,,
115,,37.130424,0,,,N,,,
116,,37.26086,0,,,N,,,
117,,37.52173,0,N,,,,,
118,,37.7826,0,N,,,,,
119,,38.04347,0.7826085,,,N,,,
120,,39.08695,0,,,,,,N
121,,39.608685,0,,,,N,,
122,,40.130424,0,,,,,,N
123,,40.391296,0,,,,,,N
124,,40.652164,0,,,,O,,
125,,40.913033,0,,,,N,,
126,,41.04347,0,,,,N,,
127,,41.304337,0,,,,,,N
128,,41.434772,0,,,,,,N
129,,41.69564,0,N,,,,,
130,,41.956512,0,,,N,,,
131,,42.21738,0,N,,,,,
132,,42.478252,0,N,,,,,
133,,42.73912,0,,,O,,,
134,,42.99999,0,,,N,,,
135,,43.130424,0,,,N,,,
136,,43.391293,0,N,,,,,
137,,43.52173,0,N,,,,,
138,,43.782597,0,,,,,,N
139,,44.04347,0,,,,N,,
140,,44.304337,0,,,,,,N
