noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,6.078948,0,,,,,,N
1,,6.3947372,0,,,,,,N
2,,6.710527,0,,,,,,N
3,,7.026316,0,,,,,,N
4,,7.342106,0,,,,N,,
5,,7.6578956,0,,,,N,,
6,,7.973685,0,,,,N,,
7,,8.2894745,0,,,,N,,
8,,8.605264,0,,,,,,N
9,,8.921053,0,,,,,,N
10,,9.236843,0,,,,N,,
11,,9.552632,0,,,,N,,
12,,9.868422,0.5526316,,,,,,N
13,,10.500001,0,,,,N,,
14,,11.131579,0.5526316,,,N,,,
15,,11.763159,0,N,,,,,
16,,12.394738,0,,,N,,,
17,,12.710527,0,,,N,,,
18,,13.026317,0.5526316,N,,,,,
19,,13.657896,0.5526316,,,N,,,
20,,14.2894745,0,N,,,,,
21,,14.921054,0,,,N,,,
22,,15.236843,0,,,N,,,
23,,15.552632,0.631579,N,,,,,
24,,16.184212,0.5526316,,,,N,,
25,,16.81579,0,,,,,,N
26,,17.44737,0,,,,N,,
27,,17.763159,0,,,,N,,
28,,18.078949,0,,,,,,N
29,,18.39474,0,,,,,,N
30,,18.710527,0,,,,N,,
31,,19.026318,0,,,,N,,
32,,19.342106,0,,,,,,N
33,,19.657896,0,,,,,,N
34,,19.973686,0.5526316,,,,N,,
35,,20.605265,0,,,,,,S
36,,23.44737,0,N,,,,,
37,,23.76316,0,N,,,,,
38,,24.078949,0,,,N,,,
39,,24.39474,0,N,,,,,
40,,24.710527,0,N,,,,,
41,,25.026318,0,,,N,,,
42,,25.342108,0,N,,,,,
43,,25.657896,0.5526316,,,N,,,
44,,26.289476,0,N,,,,,
45,,26.605265,0,N,,,,,
46,,26.921055,0,,,N,,,
47,,27.236845,0,,,N,,,
48,,27.552633,0.5526316,N,,,,,
49,,28.184214,0,,,N,,,
50,,28.815792,0.5526316,,,,N,,
51,,29.44737,0,,,,,,N
52,,30.078949,0,,,,,,O
53,,30.39474,0,,,,O,,
54,,30.71053,0.5526316,,,,,,N
55,,31.342108,0.5526316,,,,N,,
56,,31.973686,0,,,,,,N
57,,32.605267,0,,,,,,O
58,,32.921055,0,,,,O,,
59,,33.236843,0.631579,,,,,,N
60,,33.868423,0.5526316,,,N,,,
61,,34.500004,0,N,,,,,
62,,35.13158,0,O,,,,,
63,,35.447372,0,,,O,,,
64,,35.76316,0,O,,,,,
65,,36.07895,0,N,,,,,
66,,36.39474,0,,,N,,,
67,,36.71053,0,,,N,,,
68,,37.026318,0,N,,,,,
69,,37.34211,0,N,,,,,
70,,37.657898,0.5526316,,,N,,,
71,,38.28948,0.631579,S,,,,,
72,,43.657898,0,N,,,,,
73,,43.657898,0,,,,N,,
74,,43.973686,0,,,,N,,
75,,43.973686,0,N,,,,,
76,,44.28948,0,,,N,,,
77,,44.28948,0,,,,,,N
78,,44.605267,0,N,,,,,
79,,44.605267,0,,,,N,,
80,,44.921055,0,,,,N,,
81,,44.921055,0,N,,,,,
82,,45.236847,0,,,,,,N
83,,45.236847,0,,,N,,,
84,,45.552635,0,N,,,,,
85,,45.552635,0,,,,N,,
86,,45.868423,0,,,,,,N
87,,45.868423,0,,,N,,,
88,,46.184216,0,,,,,,N
89,,46.184216,0,,,N,,,
90,,46.500004,0,N,,,,,
91,,46.500004,0,,,,N,,
92,,46.815792,0,,,,N,,
93,,46.815792,0,N,,,,,
94,,47.131584,0,,,,,,N
95,,47.131584,0,,,N,,,
96,,47.447372,0,,,,,,N
