noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,5.7486978,0,,,,N,,
1,,6.0611978,0,,,,N,,
2,,6.3736978,0,,,,N,,
3,,6.5299478,0.3125,,,,N,,
4,,6.9986978,0,,,,,,N
5,,7.3111978,0,,,,,,N
6,,7.6236978,0,,,,,,N
7,,7.9361978,0.3125,,,,,,N
8,,8.404947,0,,,,N,,
9,,8.561197,0,,,,N,,
10,,8.873697,0,,,,N,,
11,,9.186197,0,,,,N,,
12,,9.498697,0,,,,,,N
13,,9.811197,0,,,,,,O
14,,10.123697,0,,,,,,N
15,,10.436197,0.3125,,,,,,N
16,,10.904947,0,,,,N,,
17,,11.061197,0,,,,N,,
18,,11.373697,0,,,,N,,
19,,11.686197,0,,,,N,,
20,,11.998697,0,,,,,,N
21,,12.311197,0,,,,,,N
22,,12.623697,0,,,,,,N
23,,12.936197,0.3125,,,,,,N
24,,13.404947,0,,,,N,,
25,,13.561197,0,,,,N,,
26,,13.873697,0,,,,N,,
27,,14.186197,0,,,,,,N
28,,14.498697,0,,,,,,N
29,,14.811197,0,,,,N,,
30,,15.123697,0,,,,O,,
31,,15.436197,0,,,,O,,
32,,16.061197,0.46875,,,N,,,
33,,16.686197,0.3125,N,,,,,
34,,17.154947,0,,,N,,,
35,,17.311197,0,,,N,,,
36,,17.623697,0,N,,,,,
37,,17.936197,0.3125,,,N,,,
38,,18.404947,0,,,N,,,
39,,18.561197,0,,,N,,,
40,,18.873697,0,N,,,,,
41,,19.186197,0,,,N,,,
42,,19.498697,0,,,N,,,
43,,19.811197,0,N,,,,,
44,,20.123697,0,N,,,,,
45,,20.436197,0.546875,,,N,,,
46,,21.061197,0.46875,N,,,,,
47,,21.686197,0.3125,,,N,,,
48,,22.154947,0,,,N,,,
49,,22.311197,0,,,N,,,
50,,22.623697,0,N,,,,,
51,,22.936197,0.3125,,,N,,,
52,,23.404947,0,,,N,,,
53,,23.561197,0,,,N,,,
54,,23.873697,0,,,N,,,
55,,24.186197,0,N,,,,,
56,,24.498697,0,,,N,,,
57,,24.811197,0,N,,,,,
58,,25.123697,0,O,,,,,
59,,25.436197,0,S,,,,,
60,,25.748697,0,,,,N,,
61,,26.061197,0,,,,N,,
62,,26.373697,0,,,,,,N
63,,26.529947,0.3125,,,,,,N
64,,26.998697,0,,,,,,N
65,,27.311197,0,,,,N,,
66,,27.623697,0,,,,N,,
67,,27.936197,0.3125,,,,,,N
68,,28.404947,0,,,,,,N
69,,28.561197,0,,,,,,N
70,,28.873697,0,,,,,,N
71,,29.186197,0,,,,N,,
72,,29.498697,0,,,,N,,
73,,29.811197,0,,,,,,O
74,,30.123697,0,,,,,,N
75,,30.436197,0.3125,,,,N,,
76,,30.904947,0,,,N,,,
77,,31.061197,0,,,N,,,
78,,31.373697,0,N,,,,,
79,,31.529947,0.3125,N,,,,,
80,,31.998697,0,N,,,,,
81,,32.311195,0,,,N,,,
82,,32.623695,0,,,N,,,
83,,32.936195,0.3125,N,,,,,
84,,33.404945,0,N,,,,,
85,,33.561195,0,N,,,,,
86,,33.873695,0,N,,,,,
87,,34.186195,0,,,N,,,
88,,34.498695,0,N,,,,,
89,,34.811195,0,,,N,,,
90,,35.123695,0,,,O,,,
91,,35.436195,0,,,O,,,
92,,36.061195,0.546875,,,,N,,
93,,36.686195,0.46875,,,,,,N
94,,37.154945,0,,,,N,,
95,,37.311195,0,,,,N,,
96,,37.623695,0,,,,,,N
97,,37.936195,0.3125,,,,N,,
98,,38.404945,0,,,,N,,
99,,38.561195,0,,,,N,,
100,,38.873695,0,,,,,,N
101,,39.186195,0,,,,N,,
102,,39.498695,0,,,,N,,
103,,39.811195,0,,,,,,N
104,,40.123695,0,,,,N,,
105,,40.436195,0.46875,,,,,,N
106,,41.061195,0.46875,,,N,,,
107,,41.686195,0.3125,N,,,,,
108,,42.154945,0,,,N,,,
109,,42.311195,0,,,N,,,
110,,42.623695,0,N,,,,,
111,,42.936195,0.3125,,,N,,,
112,,43.404945,0,,,N,,,
113,,43.561195,0,,,N,,,
114,,43.873695,0,N,,,,,
115,,44.186195,0,,,N,,,
116,,44.498695,0,N,,,,,
117,,44.811195,0,,,N,,,
118,,45.123695,0,,,O,,,
119,,45.436195,0,,,O,,,
120,,46.061195,0.46875,,,,N,,
121,,46.686195,0.3125,,,,,,N
122,,47.154945,0,,,,N,,
123,,47.311195,0,,,,N,,
124,,47.623695,0,,,,,,N
125,,47.936195,0.3125,,,,N,,
126,,48.404945,0,,,,N,,
127,,48.561195,0,,,,N,,
128,,48.873695,0,,,,,,N
129,,49.186195,0,,,,N,,
130,,49.498695,0,,,,N,,
131,,49.811195,0,,,,,,N
132,,50.123695,0,,,,N,,
133,,50.436195,0.46875,,,,,,N
