noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,3.0075202,0,,,,,,N
1,,3.4586482,0,,,,,,N
2,,3.9097762,0,,,,N,,
3,,4.360904,0,,,,N,,
4,,4.812032,0,,,,,,N
5,,5.150378,0,,,,,,N
6,,5.601506,0.676692,,,,N,,
7,,6.6165442,0,,,,,,N
8,,7.0676723,0,,,,,,N
9,,7.5188003,0,,,,N,,
10,,7.9699283,0,,,,N,,
11,,8.421057,0,,,,,,N
12,,8.872185,0,,,,,,N
13,,9.323313,0.676692,,,,N,,
14,,10.225569,0,N,,,,,
15,,10.676697,0,N,,,,,
16,,11.127825,0.676692,,,N,,,
17,,12.030081,0,N,,,,,
18,,12.368426,0,N,,,,,
19,,12.819554,0.676692,,,N,,,
20,,13.834593,0,N,,,,,
21,,14.060157,0,N,,,,,
22,,14.285721,0,N,,,,,
23,,14.736849,0.676692,,,N,,,
24,,15.639105,0,N,,,,,
25,,15.97745,0,N,,,,,
26,,16.42858,0.69548905,,,N,,,
27,,17.443617,0,,,,,,N
28,,17.894745,0,,,,,,N
29,,18.345873,0,,,,N,,
30,,18.797,0,,,,N,,
31,,19.248129,0,,,,,,N
32,,19.699257,0,,,,,,N
33,,20.150385,0.676692,,,,N,,
34,,21.05264,0,N,,,,,
35,,21.503769,0,N,,,,,
36,,21.954897,0,,,N,,,
37,,22.406025,0,,,N,,,
38,,22.857153,0,N,,,,,
39,,23.1955,0,N,,,,,
40,,23.646627,0.676692,,,S,,,
41,,26.466177,0,,,,N,,
42,,26.917305,0,,,,N,,
43,,27.368433,0,,,,,,N
44,,27.819561,0,,,,,,N
45,,28.270689,0,,,,N,,
46,,28.609035,0,,,,,,N
47,,29.060163,0.676692,,,,N,,
48,,30.075201,0,,,,N,,
49,,30.526329,0,,,,N,,
50,,30.977457,0,,,,,,N
51,,31.428585,0,,,,,,N
52,,31.879713,0,,,,N,,
53,,32.180466,0,,,,,,N
54,,32.33084,0,,,,,,N
55,,32.63159,0,,,,N,,
56,,32.78197,0.676692,,,,N,,
57,,33.684227,0,,,N,,,
58,,34.135353,0.394737,N,,,,,
59,,34.586483,0.676692,,,N,,,
60,,35.48874,0,,,N,,,
61,,35.827084,0,N,,,,,
62,,36.278214,0.676692,,,N,,,
63,,37.29325,0,,,N,,,
64,,37.575203,0,N,,,,,
65,,37.744377,0.394737,N,,,,,
66,,38.195507,0.676692,,,N,,,
67,,39.097763,0,,,N,,,
68,,39.436108,0,N,,,,,
69,,39.887238,0.69548905,,,N,,,
70,,40.902275,0,,,,N,,
71,,41.3534,0,,,,N,,
72,,41.80453,0,,,,,,N
73,,42.255657,0,,,,,,N
74,,42.706787,0,,,,N,,
75,,43.157913,0,,,,,,N
76,,43.609043,0.676692,,,,N,,
77,,44.5113,0,N,,,,,
78,,44.962425,0,,,N,,,
79,,45.413555,0.394737,N,,,,,
80,,45.86468,0,N,,,,,
81,,46.31581,0,,,N,,,
82,,46.654156,0,N,,,,,
83,,47.105286,0.676692,,,S,,,
84,,48.120323,0,,,,O,,
85,,48.120323,0,O,,,,,
86,,48.57145,0,,,,N,,
87,,48.57145,0,N,,,,,
88,,49.02258,0,,,,,,O
89,,49.02258,0,,,O,,,
90,,49.473705,0,,,,,,N
91,,49.473705,0,,,N,,,
92,,49.924835,0,N,,,,,
93,,49.924835,0,,,,N,,
94,,50.20679,0,,,N,,,
95,,50.20679,0,,,,,,N
96,,50.71431,0.676692,,,,N,,
97,,50.71431,0.676692,N,,,,,
98,,51.729347,0,,,,N,,
99,,52.180473,0,,,,N,,
100,,52.631603,0,,,,,,N
101,,53.08273,0,,,,,,N
102,,53.53386,0,,,,N,,
103,,53.815815,0,,,,,,N
104,,53.984985,0,,,,,,N
105,,54.26694,0,,,,N,,
106,,54.436115,0.394737,,,,N,,
107,,55.33837,0,O,,,,,
108,,55.789497,0,,,N,,,
109,,56.240627,0.394737,N,,,,,
110,,57.142883,0,,,N,,,
111,,57.481228,0,N,,,,,
112,,57.932358,0.507519,,,N,,,
113,,58.947395,0,,,N,,,
114,,59.22935,0,N,,,,,
115,,59.39852,0.394737,N,,,,,
116,,59.84965,0.451128,,,N,,,
117,,60.751907,0,,,N,,,
118,,61.090252,0,N,,,,,
119,,61.54138,0.507519,,,N,,,
120,,62.55642,0,O,,,,,
121,,62.55642,0,,,,O,,
122,,63.007545,0,,,,N,,
123,,63.007545,0,N,,,,,
124,,63.458675,0,,,O,,,
125,,63.458675,0,,,,,,O
126,,63.9098,0,,,N,,,
127,,63.9098,0,,,,,,N
128,,64.36093,0,,,,N,,
129,,64.36093,0,N,,,,,
130,,64.81206,0,,,,,,N
131,,64.81206,0,,,N,,,
132,,65.26318,0.676692,N,,,,,
133,,65.26318,0.676692,,,,N,,
134,,66.16544,0,,,O,,,
135,,66.16544,0,,,,,,O
136,,66.61657,0,,,N,,,
137,,66.61657,0,,,,,,N
138,,67.067696,0,O,,,,,
139,,67.067696,0,,,,O,,
140,,67.51883,0,,,,N,,
141,,67.51883,0,N,,,,,
142,,67.969955,0,,,,,,N
143,,67.969955,0,,,N,,,
144,,68.270706,0,,,,N,,
145,,68.270706,0,N,,,,,
146,,68.42108,0,N,,,,,
147,,68.42108,0,,,,N,,
148,,68.74063,0.56391,,,N,,,
149,,68.74063,0.56391,,,,,,N
150,,69.77447,1.8233091,N,,,,,
151,,69.77447,1.8233091,,,,S,,
