noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,5.4918003,0.6147538,,,,N,,
1,,6.2295046,0,,,,N,,
2,,6.475406,0.36885226,,,,,,N
3,,6.9672093,0,,,,,,N
4,,7.459012,0,,,,N,,
5,,7.950815,0,,,,N,,
6,,8.442618,0,,,,,,N
7,,8.934422,0,,,,,,N
8,,9.426225,0,,,,N,,
9,,9.672126,0,,,,N,,
10,,9.918027,0,,,,,,N
11,,10.163929,0,,,,,,N
12,,10.40983,0.6147538,,,,N,,
13,,11.147534,0,,,,,,N
14,,11.393436,0,,,,,,N
15,,11.88524,0,,,,N,,
16,,12.377043,0.491803,,,,,,N
17,,13.360648,0.6147538,,,N,,,
18,,14.098352,0,,,N,,,
19,,14.3442545,0.6147538,N,,,,,
20,,15.081959,0,N,,,,,
21,,15.32786,0,,,N,,,
22,,15.819663,0,,,N,,,
23,,16.311466,0,N,,,,,
24,,16.803268,0,N,,,,,
25,,17.295073,0,,,N,,,
26,,17.540974,0,,,N,,,
27,,17.786875,0,N,,,,,
28,,18.032778,0,N,,,,,
29,,18.278679,0.51229477,,,N,,,
30,,19.016382,0,N,,,,,
31,,19.262285,0,N,,,,,
32,,19.754087,0,,,N,,,
33,,20.24589,0.86065525,,,,,,N
34,,20.24589,0.86065525,N,,,,,
35,,21.229496,0.6147538,,,,N,,
36,,21.967201,0,,,,N,,
37,,22.213102,0.36885226,,,,,,N
38,,22.704905,0,,,,O,,
39,,23.196709,0.6147538,,,,N,,
40,,23.934412,0,,,,N,,
41,,24.180315,0.36885226,,,,,,N
42,,24.672117,0,,,,O,,
43,,25.163921,0,,,N,,,
44,,25.409822,0,,,N,,,
45,,25.655724,0.36885226,N,,,,,
46,,26.147526,0,,,N,,,
47,,26.393429,0,,,N,,,
48,,26.63933,0.36885226,N,,,,,
49,,27.131132,0,,,O,,,
50,,27.622936,0,O,,,,,
51,,28.114738,0.86065525,,,N,,,
52,,29.098345,0.6147538,N,,,,,
53,,29.098345,0.6147538,,,,,,N
54,,29.836048,0,,,,,,N
55,,30.081951,0.36885226,,,,N,,
56,,30.573753,0,,,,N,,
57,,31.065556,0,,,,,,N
58,,31.55736,0,,,,N,,
59,,32.049164,0,,,,,,N
60,,32.540966,0,,,,N,,
61,,33.03277,0,,,,,,N
62,,33.03277,0,N,,,,,
63,,33.27867,0,N,,,,,
64,,33.27867,0,,,,,,N
65,,33.52457,0,,,,N,,
66,,33.52457,0,,,N,,,
67,,33.770473,0,,,,N,,
68,,33.770473,0,,,N,,,
69,,34.016373,0.6147538,,,,,,N
70,,34.016373,0.6147538,N,,,,,
71,,34.754078,0,,,,N,,
72,,34.754078,0,,,N,,,
73,,34.99998,0,,,O,,,
74,,34.99998,0,,,,O,,
75,,35.491783,0,,,,,,O
76,,35.491783,0,O,,,,,
77,,35.983585,0.983606,,,N,,,
78,,35.983585,0.983606,,,,S,,
79,,38.934406,0.6147538,,,,,,N
80,,39.672108,0,,,,,,N
81,,39.91801,0.36885226,,,,N,,
82,,40.409813,0,,,,N,,
83,,40.901615,0,,,,,,N
84,,41.39342,0,,,,N,,
85,,41.885223,0,,,,,,N
86,,42.377026,0,,,,N,,
87,,42.868828,0,,,,N,,
88,,43.11473,0,,,,N,,
89,,43.36063,0,,,,,,N
90,,43.606533,0,,,,,,N
91,,43.852436,0.51229477,,,,N,,
92,,44.590137,0,,,,,,N
93,,44.83604,0,,,,,,N
94,,45.327843,0,,,,N,,
95,,45.819645,0.51229477,,,,,,N
96,,46.803253,0.6147538,N,,,,,
97,,47.54096,0,,,N,,,
98,,47.786858,0.6147538,,,N,,,
99,,48.524563,0,N,,,,,
100,,48.770466,0,N,,,,,
101,,49.262268,0,,,N,,,
102,,49.75407,0,N,,,,,
103,,50.245872,0,,,N,,,
104,,50.73768,0,,,N,,,
105,,50.983578,0,,,N,,,
106,,51.22948,0,N,,,,,
107,,51.47538,0,N,,,,,
108,,51.721283,0.51229477,,,N,,,
109,,52.45899,0,N,,,,,
110,,52.704887,0,N,,,,,
111,,53.196693,0,,,N,,,
112,,53.688496,0.86065525,N,,,,,
113,,54.6721,0.6147538,,,,N,,
114,,55.409805,0,,,,N,,
115,,55.65571,0.36885226,,,,,,N
116,,56.14751,0,,,,O,,
117,,56.639313,0.6147538,,,,N,,
118,,56.639313,0.6147538,N,,,,,
119,,57.377018,0,N,,,,,
120,,57.377018,0,,,,N,,
121,,57.622917,0.36885226,,,,,,N
122,,57.622917,0.36885226,,,N,,,
123,,58.114723,0,,,,O,,
124,,58.114723,0,O,,,,,
125,,58.606525,0,,,,N,,
126,,58.606525,0,N,,,,,
127,,58.852425,0,N,,,,,
128,,58.852425,0,,,,N,,
129,,59.098328,0.36885226,,,N,,,
