noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,3.0833335,0,,,,N,,
1,,3.5833335,0,,,,N,,
2,,4.0833335,0.5625,,,,,,N
3,,4.8333335,0,,,,N,,
4,,5.0833335,0,,,,N,,
5,,5.5833335,0,,,,N,,
6,,6.0833335,0.5625,,,,,,N
7,,7.0833335,0,,,,N,,
8,,7.5833335,0,,,,N,,
9,,8.083334,0.5625,,,,,,N
10,,8.833334,0,,,,,,N
11,,9.083334,0,,,,,,N
12,,9.583334,0,,,,N,,
13,,10.083334,0.5625,,,,,,N
14,,11.083334,0,,,N,,,
15,,11.583334,0,,,N,,,
16,,12.083334,0.5625,N,,,,,
17,,12.833334,0,N,,,,,
18,,13.083334,0,N,,,,,
19,,13.583334,0,,,N,,,
20,,14.083334,0,N,,,,,
21,,14.583334,0,,,N,,,
22,,15.083334,0,O,,,,,
23,,15.583334,0,N,,,,,
24,,16.083334,0.5625,,,N,,,
25,,16.833334,0,,,N,,,
26,,17.083334,0.4375,,,N,,,
27,,17.583334,0,N,,,,,
28,,18.083334,0.875,,,S,,,
29,,19.083334,0,,,,,,N
30,,19.583334,0,,,,N,,
31,,20.083334,0,,,,,,N
32,,20.583334,0,,,,,,N
33,,21.083334,0,,,,N,,
34,,21.583334,0,,,,,,N
35,,22.083334,0.5625,,,,N,,
36,,23.083334,0,,,,,,N
37,,23.583334,0,,,,N,,
38,,24.083334,0,,,,,,N
39,,24.583334,0,,,,,,N
40,,25.083334,0,,,,N,,
41,,25.583334,0,,,,,,N
42,,26.083334,0.5625,,,,N,,
43,,27.083334,0,O,,,,,
44,,27.583334,0,,,O,,,
45,,28.083334,0.5625,N,,,,,
46,,28.833334,0,N,,,,,
47,,29.083334,0,N,,,,,
48,,29.583334,0,,,N,,,
49,,30.083334,0.5625,N,,,,,
50,,31.083334,0,,,N,,,
51,,31.583334,0,,,N,,,
52,,31.833334,0,,,N,,,
53,,32.083336,0.5625,N,,,,,
54,,32.833336,0,N,,,,,
55,,33.083336,0,N,,,,,
56,,33.583336,0,,,N,,,
57,,34.083336,0.5625,N,,,,,
58,,35.083336,0.5625,,,,,,N
59,,35.833336,0,,,,N,,
60,,36.083336,0,,,,N,,
61,,36.583336,0,,,,,,N
62,,37.083336,0,,,,,,N
63,,37.583336,0,,,,N,,
64,,38.083336,0.5625,,,,,,N
65,,39.083336,0,,,N,,,
66,,39.583336,0,,,N,,,
67,,39.833336,0,,,N,,,
68,,40.083336,0.5625,N,,,,,
69,,40.833336,0,,,N,,,
70,,41.083336,0,,,N,,,
71,,41.583336,0,N,,,,,
72,,42.083336,1,,,S,,,
73,,46.083336,0,,,,O,,
74,,46.583336,0,,,,N,,
75,,47.083336,0.5625,,,,,,N
76,,47.833336,0,,,,,,N
77,,48.083336,0,,,,,,N
78,,48.583336,0,,,,N,,
79,,49.083336,0.4375,,,,,,N
80,,49.583336,0,,,,N,,
81,,50.083336,0,O,,,,,
82,,50.583336,0,,,O,,,
83,,51.083336,0.5625,N,,,,,
84,,51.833336,0,,,N,,,
85,,52.083336,0,,,N,,,
86,,52.583336,0,N,,,,,
87,,53.083336,0.5625,,,N,,,
88,,54.083336,0,,,,N,,
89,,54.583336,0,,,,N,,
90,,55.083336,0.5625,,,,,,N
91,,55.833336,0,,,,,,N
92,,56.083336,0,,,,,,N
93,,56.583336,0,,,,N,,
94,,57.083336,0.4375,,,,,,N
95,,57.583336,0.4375,,,,N,,
96,,58.083336,0,N,,,,,
97,,58.583336,0,,,N,,,
98,,59.083336,0.5625,N,,,,,
99,,59.833336,0,,,N,,,
100,,60.083336,0,,,N,,,
101,,60.583336,0,N,,,,,
102,,61.083336,0.5625,,,N,,,
103,,62.083336,0,,,,O,,
104,,62.583336,0,,,,,,N
105,,63.083336,0,,,,N,,
106,,63.583336,0,,,,N,,
107,,64.083336,0,,,,,,N
108,,64.583336,0,,,,N,,
109,,65.083336,0,,,,,,N
110,,65.583336,0,,,,N,,
111,,66.083336,0,,,O,,,
112,,66.583336,0,N,,,,,
113,,67.083336,0,,,N,,,
114,,67.583336,0,,,N,,,
115,,68.083336,0,N,,,,,
116,,68.583336,0,,,N,,,
117,,69.083336,0,N,,,,,
118,,69.583336,0,,,N,,,
119,,70.083336,0.5625,,,,N,,
120,,70.833336,0,,,,,,N
121,,71.083336,0,,,,,,N
122,,71.583336,0,,,,N,,
123,,72.083336,0,,,,,,N
124,,72.583336,0,,,,N,,
125,,73.083336,0.5625,,,,,,N
126,,74.083336,0,,,N,,,
127,,74.583336,0,,,N,,,
128,,74.833336,0,,,N,,,
129,,75.083336,0.5625,N,,,,,
130,,75.833336,0,N,,,,,
131,,76.083336,0.4375,N,,,,,
132,,76.583336,0,,,N,,,
133,,77.083336,0.5625,N,,,,,
134,,78.083336,0.5625,N,,,,,
135,,78.083336,0.5625,,,,N,,
136,,78.833336,0,,,,,,N
137,,78.833336,0,,,N,,,
138,,79.083336,0,,,,,,N
139,,79.083336,0,,,N,,,
140,,79.583336,0,,,,O,,
141,,79.583336,0,O,,,,,
142,,80.083336,0,,,,,,O
143,,80.083336,0,,,O,,,
144,,80.583336,0,O,,,,,
145,,80.583336,0,,,,O,,
146,,81.083336,0.5625,,,,,,N
147,,81.083336,0.5625,,,N,,,
148,,82.083336,0,N,,,,,
149,,82.083336,0,,,,N,,
150,,82.583336,0,N,,,,,
151,,82.583336,0,,,,N,,
152,,82.833336,0,N,,,,,
153,,82.833336,0,,,,N,,
154,,83.083336,0.5625,,,,,,N
155,,83.083336,0.5625,,,N,,,
156,,83.833336,0,,,,N,,
157,,83.833336,0,N,,,,,
158,,84.083336,0,,,,N,,
159,,84.083336,0,N,,,,,
160,,84.583336,0,,,N,,,
161,,84.583336,0,,,,,,N
162,,85.083336,0.875,,,,N,,
163,,85.083336,0.875,N,,,,,
164,,86.083336,1,,,N,,,
165,,86.083336,1,,,,,,S
