noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,8.030967,0,,,,,,N
1,,8.561939,0,,,,,,N
2,,9.092913,0,,,,,,N
3,,9.623886,0,,,,N,,
4,,10.154859,0.66371626,,,,,,N
5,,10.951318,0,,,,,,N
6,,11.2168045,0,,,,,,N
7,,11.747778,0,,,,N,,
8,,12.27875,0,,,,N,,
9,,12.809724,0,,,,N,,
10,,13.207953,0,,,,,,N
11,,13.340696,0,,,,,,N
12,,13.87167,0,,,,N,,
13,,14.402642,0.66371626,,,,,,N
14,,15.199102,0,,,,N,,
15,,15.464589,0.5530969,,,,N,,
16,,16.526535,0,N,,,,,
17,,17.057508,0,N,,,,,
18,,17.58848,0,N,,,,,
19,,18.119453,0,,,N,,,
20,,18.650427,0.66371626,N,,,,,
21,,19.446886,0,N,,,,,
22,,19.712372,0,N,,,,,
23,,20.243345,0,,,N,,,
24,,20.774319,0,,,N,,,
25,,21.305292,0,,,N,,,
26,,21.703522,0,N,,,,,
27,,21.836266,0,N,,,,,
28,,22.367237,0,,,N,,,
29,,22.89821,0.66371626,N,,,,,
30,,23.69467,0,,,N,,,
31,,23.960157,0.5530969,,,N,,,
32,,25.022102,0.81858337,,,,,,N
33,,26.08405,0,,,,,,N
34,,26.349535,0,,,,,,N
35,,26.615023,0,,,,N,,
36,,26.880508,0,,,,N,,
37,,27.145994,0.81858337,,,,,,N
38,,28.207941,0,N,,,,,
39,,28.473427,0,N,,,,,
40,,28.738914,0,,,N,,,
41,,29.0044,0,,,N,,,
42,,29.269886,0.81858337,N,,,,,
43,,30.331833,0,,,,,,N
44,,30.597319,0,,,,,,N
45,,30.862806,0,,,,N,,
46,,31.128292,0,,,,N,,
47,,31.393778,0.5530969,,,,,,N
48,,32.19024,0,,,,N,,
49,,32.455727,0.5530969,,,,N,,
50,,33.51767,0,,,O,,,
51,,33.51767,0,,,,,,O
52,,34.048645,0,O,,,,,
53,,34.048645,0,,,,O,,
54,,34.579617,0,,,,,,O
55,,34.579617,0,,,O,,,
56,,35.110588,0,O,,,,,
57,,35.110588,0,,,,O,,
58,,35.641563,0.81858337,,,N,,,
59,,35.641563,0.81858337,,,,,,N
60,,36.70351,0.81858337,N,,,,,
61,,36.70351,0.81858337,,,,S,,
62,,37.765453,0.81858337,N,,,,,
63,,38.8274,0,O,,,,,
64,,39.092888,0,N,,,,,
65,,39.358376,0,,,N,,,
66,,39.62386,0,,,N,,,
67,,39.889347,0.81858337,N,,,,,
68,,40.951294,0,,,,,,O
69,,41.216778,0,,,,,,N
70,,41.482265,0,,,,N,,
71,,41.747753,0,,,,N,,
72,,42.013237,0.81858337,,,,,,N
73,,43.075184,0,O,,,,,
74,,43.34067,0,N,,,,,
75,,43.60616,0,,,N,,,
76,,43.871643,0,,,N,,,
77,,44.13713,0.66371626,N,,,,,
78,,44.93359,0,,,N,,,
79,,45.199078,0.68584013,,,N,,,
80,,46.261024,0,O,,,,,
81,,46.261024,0,,,,O,,
82,,46.791996,0,,,O,,,
83,,46.791996,0,,,,,,O
84,,47.322968,0,O,,,,,
85,,47.322968,0,,,,O,,
86,,47.853943,0,,,O,,,
87,,47.853943,0,,,,,,O
88,,48.384914,0.81858337,N,,,,,
89,,48.384914,0.81858337,,,,N,,
90,,49.44686,0.81858337,,,N,,,
91,,49.44686,0.81858337,,,,,,N
92,,50.50881,1.061946,,,,N,,
93,,50.50881,1.061946,N,,,,,
94,,52.632698,0,,,,,,N
95,,53.163673,0,,,,N,,
96,,53.694645,0,,,,,,N
97,,54.225616,0.39822975,,,,N,,
98,,54.75659,0.66371626,,,,,,N
99,,55.55305,0,,,,,,N
100,,55.81854,0,,,,,,N
101,,56.34951,0,,,,N,,
102,,56.88048,0,,,N,,,
103,,57.411457,0,,,N,,,
104,,57.809685,0,N,,,,,
105,,57.94243,0,N,,,,,
106,,58.4734,0.39822975,,,N,,,
107,,59.004375,0.66371626,N,,,,,
108,,59.800835,0,,,N,,,
109,,60.066322,0.5530969,,,N,,,
110,,61.128265,0,,,,,,N
