noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,5.76923,0,,,,N,,
1,,6.0576916,0,,,,N,,
2,,6.346153,0,,,,N,,
3,,6.6346145,0,,,,N,,
4,,6.923076,0.576923,,,,,,N
5,,7.7884603,0,,,,N,,
6,,8.076922,0,,,,N,,
7,,8.365383,0,,,,N,,
8,,8.653845,0,,,,N,,
9,,8.9423065,0,,,,N,,
10,,9.230768,0.576923,,,,,,N
11,,10.384614,0,,,N,,,
12,,10.673076,0,,,N,,,
13,,10.961537,0,,,N,,,
14,,11.249998,0,,,N,,,
15,,11.53846,0.576923,N,,,,,
16,,12.692306,0,,,N,,,
17,,12.980767,0,,,N,,,
18,,13.269229,0,,,N,,,
19,,13.557691,0,,,N,,,
20,,13.846152,0.50480765,N,,,,,
21,,14.423075,0,,,,,,N
22,,14.999998,0,,,,N,,
23,,15.28846,0,,,,N,,
24,,15.5769205,0,,,,N,,
25,,15.865382,0,,,,N,,
26,,16.153845,0.50480765,,,,,,N
27,,16.730766,0,,,,,,N
28,,17.30769,0,,,,N,,
29,,17.596151,0,,,,N,,
30,,17.884613,0,,,,N,,
31,,18.173075,0,,,,N,,
32,,18.461536,0.50480765,,,,,,N
33,,19.03846,0,,,,,,N
34,,19.32692,0,,,N,,,
35,,19.615381,0,,,N,,,
36,,19.903843,0,,,N,,,
37,,20.192305,0,,,N,,,
38,,20.480766,0,,,N,,,
39,,20.769228,0.36057687,N,,,,,
40,,21.20192,0,,,N,,,
41,,21.346151,0,,,N,,,
42,,21.634613,0,,,N,,,
43,,21.923075,0,N,,,,,
44,,22.211535,0,N,,,,,
45,,22.499996,0,N,,,,,
46,,22.788458,0,N,,,,,
47,,23.07692,0.50480765,,,N,,,
48,,23.653843,0,S,,,,,
49,,24.230766,0,,,,N,,
50,,24.519228,0,,,,N,,
51,,24.80769,0.4567307,,,,,,N
52,,25.384611,0,,,,N,,
53,,25.673073,0,,,,N,,
54,,25.961535,0.4567307,,,,,,N
55,,26.538458,0,,,,,,N
56,,26.82692,0,,,,,,N
57,,27.115381,0.31249997,,,,N,,
58,,27.548073,0,,,,,,N
59,,27.692305,0.4567307,,,,,,N
60,,28.269226,0,,,,,,N
61,,28.84615,0,,,N,,,
62,,29.134611,0,,,N,,,
63,,29.423073,0.31249997,N,,,,,
64,,29.855764,0,,,N,,,
65,,29.999996,0,,,N,,,
66,,30.288458,0,,,N,,,
67,,30.57692,0.31249997,N,,,,,
68,,31.009611,0,,,N,,,
69,,31.153841,0,,,N,,,
70,,31.442303,0,,,N,,,
71,,31.730764,0,N,,,,,
72,,32.019226,0,N,,,,,
73,,32.30769,0.4567307,,,N,,,
74,,32.88461,0,O,,,,,
75,,33.461533,0,,,,N,,
76,,33.749996,0,,,,N,,
77,,34.038456,0.4567307,,,,,,N
78,,34.61538,0,,,,N,,
79,,34.903843,0,,,,N,,
80,,35.192303,0.4567307,,,,,,N
81,,35.769226,0,,,,,,N
82,,36.057686,0,,,,,,N
83,,36.34615,0.31249997,,,,N,,
84,,36.778843,0,,,,,,N
85,,36.923073,0.576923,,,,,,N
86,,38.07692,0,,,N,,,
87,,38.36538,0,,,N,,,
88,,38.65384,0.31249997,N,,,,,
89,,39.086533,0,,,N,,,
90,,39.230762,0,,,N,,,
91,,39.519226,0,,,N,,,
92,,39.807686,0.31249997,N,,,,,
93,,40.24038,0,,,N,,,
94,,40.38461,0,,,O,,,
95,,40.673073,0,,,N,,,
96,,40.961533,0,O,,,,,
97,,41.249996,0,N,,,,,
98,,41.538456,0.4567307,,,N,,,
99,,42.11538,0,,,,S,,
100,,46.730762,0.4567307,,,,,,O
101,,47.307686,0,,,,N,,
102,,47.596146,0,,,,N,,
103,,47.88461,0,,,,,,N
104,,48.17307,0,,,,,,N
105,,48.461533,0.4567307,,,,N,,
106,,49.038456,0,,,,N,,
107,,49.326916,0,,,N,,,
108,,49.61538,0,,,N,,,
109,,49.90384,0,,,N,,,
110,,50.192303,0,N,,,,,
111,,50.480762,0,N,,,,,
112,,50.769222,0.4567307,,,N,,,
113,,51.346146,0,,,N,,,
114,,51.92307,0,,,,N,,
115,,52.211533,0,,,,N,,
116,,52.499992,0,,,,,,N
117,,52.788456,0,,,,,,N
118,,53.076916,0.576923,,,,N,,
119,,54.230762,0,O,,,,,
120,,54.519222,0,N,,,,,
121,,54.807686,0,,,O,,,
122,,55.096146,0,,,N,,,
123,,55.38461,0.4567307,N,,,,,
124,,55.961533,0,,,,,,O
125,,56.538452,0,,,,N,,
126,,56.826916,0,,,,N,,
127,,57.115376,0,,,,,,N
128,,57.40384,0,,,,,,N
129,,57.6923,0.576923,,,,N,,
130,,58.557686,0,,,N,,,
131,,58.846146,0,,,N,,,
132,,59.134605,0,,,N,,,
133,,59.42307,0,N,,,,,
134,,59.71153,0,N,,,,,
135,,59.999992,0.4567307,,,N,,,
136,,60.576916,0,,,N,,,
137,,60.865376,0,,,,N,,
138,,61.15384,0,,,,N,,
139,,61.4423,0,,,,N,,
140,,61.730762,0,,,,,,N
141,,62.019222,0,,,,,,N
142,,62.307682,0.31249997,,,,N,,
143,,62.740376,0,,,N,,,
144,,62.740376,0,,,,N,,
145,,62.884605,0,,,N,,,
146,,62.884605,0,,,,N,,
147,,63.17307,0,,,N,,,
148,,63.17307,0,,,,N,,
149,,63.46153,0,O,,,,,
150,,63.46153,0,,,,,,O
151,,63.749992,0,O,,,,,
152,,63.749992,0,,,,,,O
153,,64.03845,0,,,O,,,
154,,64.03845,0,,,,O,,
155,,64.32691,0,O,,,,,
156,,64.32691,0,,,,,,O
157,,64.61538,0.4567307,,,,N,,
158,,64.61538,0.4567307,,,N,,,
159,,65.1923,0,O,,,,,
160,,65.1923,0,,,,,,O
161,,65.76922,0,,,,,,O
162,,66.057686,0,,,,N,,
163,,66.346146,0.4567307,,,,,,N
164,,66.923065,0,O,,,,,
165,,67.21153,0,,,N,,,
166,,67.49999,0.4567307,N,,,,,
167,,68.07691,0,,,N,,,
168,,68.07691,0,,,,,,N
169,,68.36537,0,,,,,,N
170,,68.36537,0,,,N,,,
171,,68.65384,0,,,,N,,
172,,68.65384,0,N,,,,,
173,,68.9423,0,N,,,,,
174,,68.9423,0,,,,N,,
