noteOrder,soundEffect,timeAppear,duration,line1,line2,line3,line4,line5,line6
int,string,float,float,string,string,string,string,string,string
0,,5.683965,0,,,,,,N
1,,6.250003,0,,,,,,N
2,,6.816041,0,,,,N,,
3,,7.382079,0,,,,N,,
4,,7.9481173,0,,,,,,N
5,,8.514155,0,,,,,,N
6,,9.0801935,0.566038,,,,N,,
7,,10.212269,0,,,,,,N
8,,10.778307,0,,,,,,N
9,,11.344345,0,,,,N,,
10,,11.910383,0,,,,N,,
11,,12.476421,0,,,,,,N
12,,13.0424595,0,,,,,,N
13,,13.608498,0.566038,,,,N,,
14,,14.740573,0,N,,,,,
15,,15.306611,0,N,,,,,
16,,15.872649,0,,,N,,,
17,,16.438686,0,,,N,,,
18,,17.004725,0,N,,,,,
19,,17.570763,0,N,,,,,
20,,18.1368,0.566038,,,N,,,
21,,19.268877,0,N,,,,,
22,,19.834915,0,N,,,,,
23,,20.400953,0,,,N,,,
24,,20.966991,0,,,N,,,
25,,21.53303,0,N,,,,,
26,,22.099068,0,N,,,,,
27,,22.665106,0.566038,,,N,,,
28,,23.797182,0,,,,,,N
29,,24.36322,0,,,,,,N
30,,24.929258,0,,,,N,,
31,,25.495295,0,,,,N,,
32,,26.061333,0,,,,,,N
33,,26.62737,0,,,,,,N
34,,27.193409,0.566038,,,,N,,
35,,28.325485,0,N,,,,,
36,,28.891523,0,N,,,,,
37,,29.457561,0,,,N,,,
38,,30.0236,0,,,N,,,
39,,30.589638,0,N,,,,,
40,,31.155676,0,N,,,,,
41,,31.721714,0.566038,,,S,,,
42,,37.382095,0,,,,N,,
43,,37.94813,0,,,,N,,
44,,38.51417,0,,,,,,N
45,,39.080208,0,,,,,,N
46,,39.646244,0,,,,O,,
47,,40.212284,0,,,,,,O
48,,40.77832,0.566038,,,,N,,
49,,41.910397,0,,,,N,,
50,,42.476437,0,,,,N,,
51,,43.042473,0,,,,,,N
52,,43.325493,0,,,,,,N
53,,43.608513,0,,,,,,N
54,,44.17455,0,,,,O,,
55,,44.74059,0,,,,,,O
56,,45.306625,0.566038,,,,N,,
57,,46.4387,0,N,,,,,
58,,47.00474,0,N,,,,,
59,,47.570778,0,,,N,,,
60,,48.136814,0,,,N,,,
61,,48.702854,0,N,,,,,
62,,48.985874,0,N,,,,,
63,,49.26889,0,N,,,,,
64,,49.83493,0.566038,,,N,,,
65,,50.967007,0,N,,,,,
66,,51.250027,0,N,,,,,
67,,51.533043,0,N,,,,,
68,,52.099083,0,,,N,,,
69,,52.382103,0,,,N,,,
70,,52.66512,0,,,N,,,
71,,53.23116,0,N,,,,,
72,,53.514175,0,N,,,,,
73,,53.797195,0,N,,,,,
74,,54.363235,0.566038,,,S,,,
75,,55.49531,0,,,O,,,
76,,55.49531,0,,,,O,,
77,,56.061348,0,,,N,,,
78,,56.061348,0,,,,N,,
79,,56.627388,0,,,,,,O
80,,56.627388,0,O,,,,,
81,,57.193424,0,N,,,,,
82,,57.193424,0,,,,,,N
83,,57.75946,0,,,N,,,
84,,57.75946,0,,,,N,,
85,,58.04248,0,,,N,,,
86,,58.04248,0,,,,N,,
87,,58.3255,0,N,,,,,
88,,58.3255,0,,,,,,N
89,,58.891537,0.566038,,,N,,,
90,,58.891537,0.566038,,,,N,,
91,,60.023613,0,,,,N,,
92,,60.589653,0,,,,N,,
93,,61.15569,0,,,,,,N
94,,61.43871,0,,,,,,N
95,,61.72173,0,,,,,,N
96,,62.287766,0,,,,O,,
97,,62.853806,0,,,,,,O
98,,63.41984,0.566038,,,,N,,
99,,64.55192,0,N,,,,,
100,,65.11796,0,N,,,,,
101,,65.684,0,,,N,,,
102,,66.25003,0,,,N,,,
103,,66.81607,0,N,,,,,
104,,67.09909,0,N,,,,,
105,,67.38211,0,N,,,,,
106,,67.94814,0.566038,,,N,,,
107,,69.08022,0,,,,,,O
108,,69.64626,0,,,,,,N
109,,70.212296,0,,,,N,,
110,,70.778336,0,,,,N,,
111,,71.344376,0,,,,,,N
112,,71.627396,0,,,,,,N
113,,71.910416,0,,,,,,N
114,,72.47645,0.566038,,,,N,,
115,,73.60853,0,,,,N,,
116,,73.60853,0,,,N,,,
117,,74.17457,0,,,,N,,
118,,74.17457,0,,,N,,,
119,,74.7406,0,,,,,,N
120,,74.7406,0,N,,,,,
121,,75.30664,0,,,,,,N
122,,75.30664,0,N,,,,,
123,,75.87268,0,,,,O,,
124,,75.87268,0,,,O,,,
125,,76.43871,0,O,,,,,
126,,76.43871,0,,,,,,O
127,,77.00475,0.566038,,,,N,,
128,,77.00475,0.566038,,,N,,,
129,,78.13683,0,,,N,,,
130,,78.13683,0,,,,N,,
131,,78.702866,0,,,N,,,
132,,78.702866,0,,,,N,,
133,,79.268906,0,N,,,,,
134,,79.268906,0,,,,,,N
135,,79.834946,0,N,,,,,
136,,79.834946,0,,,,,,N
137,,80.400986,0,,,,O,,
138,,80.400986,0,,,O,,,
139,,80.96702,0,O,,,,,
140,,80.96702,0,,,,,,O
141,,81.53306,0.566038,,,N,,,
142,,81.53306,0.566038,,,,N,,
143,,82.66514,1.1084911,N,,,,,
144,,82.66514,1.1084911,,,,,,S
