音轨（1 2 3 4）	音乐块ID	开始时间	结束时间	音效	背景
Line	Id	StartTime	EndTime	SoundEffects	Background
4	1201	890	1503	0	
1	1201	1503	2115	0	
4	1101	2115	0	0	
2	1101	2421	0	0	
4	1101	2727	0	0	
1	1101	3033	0	0	
3	1101	3339	0	0	
1	1101	3645	0	0	
2	1201	3952	4564	0	
3	1201	4564	5176	0	
4	1101	5176	0	0	
2	1101	5176	0	0	
3	1101	5482	0	0	
2	1101	5788	0	0	
1	1101	6094	0	0	
3	1101	6094	0	0	
2	1201	6401	7013	0	
4	1201	7013	7625	0	
1	1201	7625	8237	0	
2	1101	8237	0	0	
3	1101	8543	0	0	
4	1201	8849	9462	0	
3	1201	9462	10074	0	
1	1201	9462	10074	0	
2	1101	10074	0	0	
1	1201	10686	11298	0	
2	1101	11298	0	0	
3	1101	11605	0	0	2
4	1101	11911	0	0	
2	1101	11911	0	0	
3	1101	12217	0	0	
2	1101	12523	0	0	
3	1101	12829	0	0	
1	1101	12829	0	0	
2	1101	13135	0	0	
3	1101	13441	0	0	
2	1201	13747	14360	0	
4	1201	13747	14360	0	
3	1101	14360	0	0	
2	1101	14666	0	0	
1	1101	14972	0	0	
3	1101	14972	0	0	
2	1101	15278	0	0	
1	1101	15584	0	0	
3	1101	15584	0	0	
2	1101	15890	0	0	
1	1201	16196	16809	0	
3	1201	16809	17421	0	
2	1201	17421	18033	0	
4	1201	18033	18645	0	
3	1101	18645	0	0	
2	1101	18952	0	0	
4	1101	18952	0	0	
3	1201	19258	19870	0	
2	1201	20482	21094	0	
4	1201	20482	21094	0	
3	1201	21094	21707	0	
2	1101	21707	0	0	
4	1101	21707	0	0	
3	1101	22013	0	0	
4	1101	22319	0	0	
2	1101	22319	0	0	
3	1101	22625	0	0	
2	1101	22931	0	0	
4	1101	22931	0	0	
3	1101	23237	0	0	
2	1201	23543	24156	0	
1	1101	24156	0	0	
4	1101	24768	0	0	
2	1101	24768	0	0	
1	1101	25380	0	0	
3	1101	25380	0	0	
4	1201	25992	26605	0	
3	1101	26605	0	0	
2	1101	26911	0	0	
1	1101	27217	0	0	
3	1101	27217	0	0	
2	1101	27523	0	0	
3	1101	27829	0	0	
4	1101	28135	0	0	
2	1101	28135	0	0	
3	1101	28441	0	0	
2	1101	28747	0	0	
1	1101	29054	0	0	
3	1101	29054	0	0	
2	1201	29360	29972	0	
1	1101	30278	0	0	
3	1101	30278	0	0	
2	1101	30890	0	0	
4	1101	31503	0	0	3
2	1101	31809	0	0	
3	1101	32115	0	0	
1	1101	32421	0	0	
3	1101	32727	0	0	
2	1101	33033	0	0	
3	1201	33339	33952	0	
2	1101	33952	0	0	
1	1101	34564	0	0	
3	1101	34564	0	0	
4	1101	35176	0	0	
2	1101	35176	0	0	
3	1201	35788	36401	0	
1	1201	36401	37013	0	
2	1201	37013	37625	0	
3	1101	37625	0	0	
4	1101	38237	0	0	
3	1101	38543	0	0	
2	1101	38849	0	0	
1	1201	39156	39768	0	
2	1101	40074	0	0	
1	1101	40686	0	0	
3	1101	40686	0	0	
2	1101	41298	0	0	
1	1101	41605	0	0	
2	1101	41911	0	0	
3	1101	42217	0	0	
2	1101	42523	0	0	
1	1101	42829	0	0	
2	1201	43135	43747	0	
1	1101	43747	0	0	
3	1101	44054	0	0	
1	1101	44360	0	0	
4	1101	44666	0	0	
2	1101	44972	0	0	
3	1201	45584	46196	0	
2	1101	46196	0	0	
4	1101	46196	0	0	
1	1101	46503	0	0	
2	1101	46809	0	0	
3	1101	47115	0	0	
2	1101	47421	0	0	
3	1101	47727	0	0	
4	1101	48033	0	0	
3	1101	48339	0	0	
2	1101	48645	0	0	
1	1201	48952	49870	0	
2	1101	49870	0	0	
4	1101	50482	0	0	
3	1101	51094	0	0	1
1	1101	51094	0	0	
2	1101	51401	0	0	
3	1101	51707	0	0	
2	1101	52013	0	0	
4	1101	52013	0	0	
3	1101	52319	0	0	
2	1101	52625	0	0	
1	1201	52931	53543	0	
3	1201	52931	53543	0	
2	1101	53543	0	0	
3	1101	53849	0	0	
2	1101	54156	0	0	
1	1101	54462	0	0	
2	1101	54768	0	0	
3	1101	55074	0	0	
2	1201	55380	55992	0	
3	1101	55992	0	0	
1	1101	56605	0	0	
2	1201	57217	57829	0	
1	1101	57829	0	0	
2	1101	58135	0	0	
3	1101	58441	0	0	
4	1201	58747	59360	0	
1	1101	59666	0	0	
3	1101	59666	0	0	
2	1101	60278	0	0	
4	1201	60890	62115	0	
3	1201	62115	63339	0	
2	1201	63339	64564	0	
1	1201	64564	65788	0	
