音轨（1 2 3 4）	音乐块ID	开始时间	结束时间	音效	背景	背景切换方式
Line	Id	StartTime	EndTime	SoundEffects	Background	ChangeForm
2	1101	326	0	0		0
3	1101	545	0	0		0
1	1101	764	0	0		0
3	1101	983	0	0		0
2	1201	1202	2078	0		0
4	1201	1202	2078	0		0
1	1101	2078	0	0		0
3	1101	2078	0	0		0
4	1101	2297	0	0		0
2	1101	2516	0	0		0
3	1101	2735	0	0		0
2	1101	2954	0	0		0
4	1101	3173	0	0		0
3	1101	3392	0	0		0
1	1101	3611	0	0		0
4	1101	3830	0	0		0
2	1101	3830	0	0		0
3	1101	4049	0	0		0
1	1101	4268	0	0		0
3	1101	4487	0	0		0
2	1101	4706	0	0		0
4	1101	4925	0	0		0
1	1101	5144	0	0		0
3	1101	5363	0	0		0
2	1101	5582	0	0		0
4	1101	5582	0	0		0
1	1101	5801	0	0		0
3	1101	6020	0	0		0
2	1101	6239	0	0		0
3	1101	6457	0	0		0
1	1101	6676	0	0		0
3	1101	6895	0	0		0
2	1101	7114	0	0		0
4	1201	7333	7771	0		0
3	1201	7771	8209	0		0
2	1201	8209	8647	0		0
1	1201	8647	9085	0		0
2	1201	9085	9523	0		0
4	1201	9085	9523	0		0
3	1101	9523	0	0		0
2	1101	9742	0	0		0
3	1101	9961	0	0		0
1	1101	10180	0	0		0
4	1101	10399	0	0		0
3	1101	10618	0	0		0
2	1101	10837	0	0		0
4	1101	10837	0	0		0
1	1101	11056	0	0		0
3	1101	11275	0	0		0
2	1101	11494	0	0		0
3	1101	11713	0	0		0
1	1101	11932	0	0		0
4	1101	12151	0	0		0
3	1101	12370	0	0		0
2	1201	12589	13027	0		0
1	1101	13027	0	0		0
3	1101	13246	0	0		0
4	1101	13465	0	0		0
2	1101	13684	0	0		0
3	1101	13903	0	0		0
1	1101	14122	0	0		0
3	1201	14341	14779	0		0
4	1201	14779	15217	0		0
2	1201	15217	15655	0		0
1	1201	15655	16093	0		0
2	1101	16093	0	0	2	0
4	1101	16093	0	0	2	0
3	1101	16312	0	0		0
2	1101	16530	0	0		0
3	1101	16749	0	0		0
1	1101	16968	0	0		0
3	1101	17187	0	0		0
2	1101	17406	0	0		0
4	1101	17625	0	0		0
3	1201	17844	18282	0		0
2	1201	18282	18720	0		0
1	1201	18720	19158	0		0
2	1101	19158	0	0		0
4	1201	19377	19815	0		0
2	1101	19815	0	0		0
1	1101	20034	0	0		0
3	1101	20253	0	0		0
2	1101	20472	0	0		0
4	1101	20691	0	0		0
1	1101	20910	0	0		0
3	1101	21129	0	0		0
4	1201	21348	21786	0		0
3	1201	21786	22224	0		0
2	1201	22224	22662	0		0
1	1101	22662	0	0		0
2	1201	22881	23319	0		0
4	1101	23319	0	0		0
1	1101	23538	0	0		0
3	1101	23757	0	0		0
2	1101	23976	0	0		0
4	1101	24195	0	0		0
1	1101	24414	0	0		0
3	1101	24633	0	0		0
4	1201	24852	25290	0		0
3	1201	25290	25728	0		0
2	1201	25728	26166	0		0
3	1101	26166	0	0		0
2	1101	26385	0	0		0
1	1101	26603	0	0		0
3	1101	26822	0	0		0
2	1101	27041	0	0		0
4	1101	27260	0	0		0
1	1101	27479	0	0		0
3	1101	27698	0	0		0
2	1101	27917	0	0		0
4	1101	27917	0	0		0
3	1101	28136	0	0		0
1	1101	28136	0	0		0
2	1101	28355	0	0		0
3	1101	28574	0	0		0
1	1101	28793	0	0		0
4	1101	29012	0	0		0
2	1101	29231	0	0		0
3	1101	29450	0	0		0
1	1101	29669	0	0		0
3	1101	29888	0	0		0
2	1201	30107	30545	0	3	0
4	1201	30107	30545	0	3	0
3	1201	30545	30983	0		0
1	1101	30983	0	0		0
2	1101	31202	0	0		0
3	1201	31421	31859	0		0
1	1101	31859	0	0		0
3	1101	32078	0	0		0
2	1101	32297	0	0		0
4	1101	32516	0	0		0
2	1101	32735	0	0		0
3	1201	32954	33611	0		0
1	1101	33611	0	0		0
3	1101	33830	0	0		0
2	1101	34049	0	0		0
