音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）				
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	Event	Skin	
256	1968	0				0	1				1		
192	2635	0				0	1						
320	3301	0				0	1						
192	3968	0				0	1						
128	4635	0				0	1						
64	5301	0				0	1						
128	5968	0				0	1						
256	6635	0				0	1						
256	6968	0				0	1						
256	7301	0				0	1				1	1	
352	7968	0				0	1						
416	8635	0				0	1						
480	9302	0				0	1						
384	9968	0				0	1						
352	10302	0				0	1						
320	10635	0				0	1						
192	11301	0				0	1						
256	11968	0				0	1	7	1-1				
256	12302	0				0	1	7	0-1				
256	12635	0				0	1				1	1	
320	13301	0				0	1						
256	13968	0				0	1						
192	14635	0	S			0	1						
0	15301	0				0	1	7	1-1				
0	15635	0				0	1	7	1-1				
0	15968	0				0	1	7	1-1				
0	16635	0				0	1						
256	17302	0				0	1						
256	17635	0				0	1						
256	17968	0				0	1				1	1	
512	18635	0				0	1						
448	19302	0				0	1						
384	19968	0				0	1						
256	20635	0				0	1						
192	20968	0				0	1						
128	21302	0				0	1						
64	21635	0				0	1						
100	22302	0				0	1	1					
416	22635	0				0	1					1	
256	23635	0				0	1						
256	23968	0				0	1						
256	24302	0				0	1						
256	24635	0				0	1	6			1		
256	25302	0				0	1						
192	25968	0				0	1						
128	26635	0				0	1						
192	26968	0				0	1						
256	27302	0				0	1				1	1	
256	27968	0				0	1						
320	28635	0				0	1						
192	29302	0				0	1						
96	29802	0				0	1	7	1-1		1		
0	30635	0	S			0	1						
96	31302	0				0	1						
192	31968	0				0	1						
256	32468	0				0	1	7	0-1		1		
512	33301	0				0	1						
416	33635	0				0	1						
256	34302	0				0	1						
256	34635	0				0	1						
256	34968	0				0	1						
256	35301	0				0	1	3			1	1	
256	35968	0				0	1						
320	36635	0				0	1						
64	37301	0				0	1						
0	37635	0				0	1						
0	37802	0				0	1				1		
128	38635	0				0	1						
384	39301	0				0	1					1	
128	39968	0				0	1						
256	40635	0				0	1	7	2-1				
320	40968	0				0	1	7	0-1				
256	41301	0				0	1	7	2-1				
192	41635	0				0	1	7	1-1				
256	41968	0				0	1	7	2-1				
320	42302	0				0	1	7	0-1				
192	42635	0				0	1	7	1-1				
256	42968	0				0	1	7	2-1				
256	43302	0				0	1				1		
320	43802	0				0	1	1					
512	44301	0				0	1						
512	44635	0				0	1						
448	45301	0	S			0	1						
