音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效=是第一个 =是第二个	音量=-=.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）			
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	Event	Skin	
256	1342	0				0	1					
128	1822	0				0	1					
128	1982	0				0	1					
128	2142	0				0	1					
128	2302	0				0	1					
256	3262	0				0	1			1		
384	3742	0				0	1					
384	3902	0				0	1					
384	4062	0				0	1					
384	4222	0				0	1					
224	5182	0				0	1			1		
96	5662	0				0	1					
96	5822	0				0	1					
96	5982	0				0	1					
96	6142	0				0	1					
224	7102	0				0	1			1		
256	8062	0				0	1	3		1		
256	9022	0				0	1				1	
128	9502	0				0	1					
128	9662	0				0	1					
128	9822	0				0	1					
128	9982	0				0	1					
224	10942	0				0	1			1		
320	11422	0				0	1					
320	11582	0				0	1					
320	11742	0				0	1					
320	11902	0				0	1					
256	12862	0				0	1			1		
192	13342	0				0	1					
192	13502	0				0	1					
192	13662	0				0	1					
192	13822	0				0	1					
256	14302	0				0	1	7	0-1			
384	14782	0				0	1	7	0-1			
512	15262	0				0	1	7	0-1			
384	15742	0				0	1				1	
384	16222	0				0	1					
384	16702	0				0	1			1		
128	17182	0				0	1	5				
128	17342	0				0	1	5				
128	17502	0				0	1	5				
128	17662	0				0	1	5				
384	18622	0				0	1					
192	19102	0				0	1					
192	19262	0				0	1					
192	19422	0				0	1					
192	19582	0				0	1					
288	20062	0				0	1					
384	20542	0				0	1			1		
256	21022	0				0	1	1				
128	21472	0				0	1	7	1-1			
128	21982	0				0	1	7	1-1			
128	22462	0				0	1	7	1-1			
256	23422	0				0	1	3		1		
256	23902	0				0	1				1	
128	24382	0	S			0	1					
128	24862	0				0	1					
128	25022	0				0	1					
128	25182	0				0	1					
128	25342	0				0	1					
256	26302	0				0	1			1		
384	26782	0				0	1					
384	26942	0				0	1					
384	27102	0				0	1					
384	27262	0				0	1					
256	28222	0				0	1					
128	28702	0				0	1					
128	28862	0				0	1					
128	29022	0				0	1					
128	29182	0				0	1					
256	29662	0				0	1					
256	30142	0				0	1					
128	31102	0				0	1				1	
128	31582	0				0	1					
256	32062	0				0	1			1		
384	32542	0				0	1	5				
384	32702	0				0	1	5				
384	32862	0				0	1	5				
384	33022	0				0	1	5				
256	33982	0				0	1					
128	34462	0				0	1					
128	34622	0				0	1					
128	34782	0				0	1					
128	34942	0				0	1					
256	35422	0				0	1					
384	35902	0				0	1			1		
256	36382	0				0	1	1				
128	36862	0				0	1	7	1-1			
128	37342	0				0	1	7	1-1			
128	37822	0				0	1	7	1-1			
256	38462	0				0	1	3		1		
256	38782	0				0	1				1	
256	39102	0				0	1					
448	39422	0				0	1					
448	39582	0				0	1					
448	39742	0				0	1					
256	40222	0				0	1	7	2-1			
256	40382	0				0	1	7	2-1			
256	40542	0				0	1	7	2-1			
256	40702	0				0	1	7	2-1			
96	41342	0				0	1					
96	41502	0				0	1					
96	41662	0				0	1					
256	42142	0				0	1	7	2-1			
256	42302	0				0	1	7	2-1			
256	42462	0				0	1	7	2-1			
256	42622	0				0	1	7	2-1			
256	43102	0				0	1					
192	43582	0				0	1					
128	44062	0				0	1					
128	44222	0				0	1					
128	44382	0				0	1					
128	44542	0				0	1					
256	45022	0				0	1	7	0-1			
384	45502	0				0	1	7	0-1			
512	45982	0				0	1	7	0-1			
256	46462	0				0	1	3				
256	46942	0				0	1				1	
512	47422	0				0	1			1		
384	47902	0				0	1					
384	48062	0				0	1					
384	48222	0				0	1					
384	48382	0	S			0	1			1		
256	49342	0				0	1	7	2-1	1		
128	49822	0				0	1					
128	49982	0				0	1					
128	50142	0				0	1					
128	50302	0				0	1			1		
256	51262	0				0	1	7	2-1	1		
384	51742	0				0	1					
384	51902	0				0	1					
384	52062	0				0	1					
384	52222	0				0	1					
256	52862	0				0	1					
256	53182	0				0	1					
256	54142	0				0	1				1	
256	55102	0				0	1	6		1		
128	56062	0				0	1					
0	56382	0				0	1	7	1-1			
0	56542	0				0	1	7	1-1			
128	57022	0				0	1					
256	57342	0				0	1	7	0-1			
256	57502	0				0	1	7	0-1			
384	57822	0				0	1					
384	57982	0				0	1					
512	58462	0				0	1					
384	58942	0				0	1			1		
384	59742	0				0	1					
384	59902	0				0	1					
256	60382	0				0	1					
256	60862	0				0	1			1		
256	61822	0				0	1				1	
256	62782	0				0	1	3		1		
384	63742	0				0	1					
512	64062	0				0	1	7	0-1			
512	64222	0				0	1	7	0-1			
384	64702	0				0	1					
256	65022	0				0	1	7	1-1			
256	65182	0				0	1	7	1-1			
128	65502	0				0	1					
128	65662	0				0	1					
0	66142	0				0	1					
128	66622	0				0	1			1		
256	67422	0				0	1					
256	67582	0				0	1					
256	68062	0				0	1					
256	68542	0				0	1			1		
256	69502	0				0	1			1		
384	69982	0				0	1	1				
512	70462	0				0	1				1	
384	70942	0				0	1					
384	71102	0				0	1					
384	71262	0				0	1					
384	71422	0				0	1					
256	71902	0				0	1	7	1-1			
128	72382	0				0	1	7	1-1			
0	72862	0				0	1	7	1-1			
128	73342	0				0	1	7	1-1	1		
256	73822	0				0	1					
256	73982	0				0	1					
256	74142	0				0	1					
256	74302	0				0	1					
256	75262	0				0	1					
128	75742	0				0	1	7	1-1			
256	76222	0				0	1					
384	76702	0				0	1	7	0-1			
256	77182	0				0	1				1	
256	78142	0				0	1	3		1		
256	79102	0				0	1					
128	79422	0				0	1	5				
128	79582	0				0	1	5				
256	80062	0				0	1	7	2-1			
384	80382	0				0	1	5				
384	80542	0				0	1	5				
256	80862	0				0	1	7	2-1			
256	81022	0				0	1					
256	81502	0				0	1					
256	81982	0				0	1			1		
64	82782	0				0	1					
64	82942	0				0	1					
64	83422	0	S			0	1					
