音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	音效点需要播的音效名字		
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	Event	
256	1751	0				0	1			1	
128	2951	0				0	1				
256	4150	0				0	1				
384	4750	0				0	1				
512	5200	0				0	1				
256	6550	0				0	1			1	
192	7749	0				0	1				
128	8349	0				0	1				
64	8949	0				0	1				
256	9999	0				0	1				
416	10748	0				0	1				
416	11198	0				0	1			1	
256	12548	0				0	1				
256	13148	0				0	1				
128	13747	0				0	1				
0	14797	0				0	1				
256	15547	0				0	1				
256	15997	0				0	1			1	
512	17346	0				0	1				
352	18546	0				0	1				
160	19146	0				0	1				
352	19746	0				0	1				
256	20945	0				0	1	3			
256	21845	0				0	1			1	
128	22745	0				0	1				
0	23345	0				0	1	7	1-1		
256	24244	0				0	1	7	1-1	1	
384	25144	0				0	1				
512	25744	0				0	1	7	0-1		
256	26644	0				0	1	7	0-1	1	
256	27543	0				0	1				
384	28143	0				0	1	7	0-1		
128	29043	0				0	1	7	1-1	1	
384	29643	0				0	1				
320	29943	0				0	1				
256	30243	0				0	1				
192	30542	0	S			0	1				
448	30992	0				0	1	5			
448	31442	0				0	1	5		1	
128	32042	0				0	1				
192	32342	0				0	1				
256	32642	0				0	1				
320	32942	0				0	1				
64	33392	0				0	1	5			
64	33841	0				0	1	5		1	
384	34441	0				0	1				
384	34741	0				0	1				
384	35041	0				0	1				
384	35341	0				0	1				
128	35791	0				0	1	5			
128	36241	0				0	1	5		1	
256	37140	0				0	1				
384	37740	0				0	1			1	
128	38340	0				0	1			1	
384	38940	0				0	1			1	
256	40140	0				0	1	3		1	
256	40739	0				0	1				
256	41339	0				0	1				
96	42539	0				0	1	7	1-1		
160	42839	0				0	1	7	1-1		
224	43139	0				0	1	7	1-1		
288	43439	0				0	1	7	0-1		
352	43738	0				0	1	7	0-1		
416	44038	0				0	1	7	0-1		
352	44938	0				0	1			1	
352	45538	0				0	1				
256	46138	0				0	1				
512	47337	0				0	1	7	0-1		
256	47937	0				0	1	7	2-1		
0	48537	0				0	1	7	1-1		
256	49137	0				0	1				
256	49737	0				0	1			1	
384	50936	0				0	1				
512	52136	0				0	1	7	0-1		
256	52736	0				0	1	7	1-1		
512	53336	0				0	1	7	0-1		
256	53935	0				0	1	7	1-1		
0	54535	0				0	1			1	
128	55735	0				0	1				
288	56335	0				0	1				
288	56935	0				0	1				
256	58134	0				0	1	3			
256	58734	0				0	1				
256	59184	0				0	1	7	2-1	1	
384	59934	0				0	1				
512	60533	0	S			0	1				
384	61133	0				0	1				
256	61733	0				0	1				
256	62333	0				0	1				
256	62783	0				0	1				
128	63533	0				0	1				
0	64132	0				0	1	7	1-2	1	
128	64732	0				0	1				
256	65332	0				0	1				
128	65932	0				0	1				
0	66532	0				0	1				
0	67131	0				0	1				
0	67581	0				0	1				
128	68331	0				0	1				
256	68931	0				0	1	7	2-1	1	
384	69531	0				0	1				
512	70131	0				0	1				
512	70730	0				0	1				
512	71330	0				0	1				
384	71930	0				0	1				
256	72380	0				0	1				
256	73130	0				0	1				
256	73729	0				0	1	7	2-1	1	
128	74329	0				0	1				
0	74929	0				0	1				
128	75529	0				0	1				
256	76129	0				0	1				
384	76729	0				0	1				
512	77328	0				0	1				
384	77928	0				0	1	1			
256	78528	0				0	1	6			
128	78978	0				0	1				
0	79428	0				0	1			1	
256	80327	0				0	1				
256	80927	0				0	1				
384	81377	0				0	1				
512	81827	0				0	1			1	
384	82727	0				0	1				
384	83327	0				0	1				
512	83776	0				0	1	7	0-1		
256	84226	0				0	1	7	1-1	1	
128	85126	0				0	1				
128	85726	0				0	1				
0	86176	0				0	1	7	1-1		
256	86626	0				0	1	7	0-1	1	
320	87225	0				0	1				
448	87525	0				0	1				
320	87825	0				0	1				
448	88125	0				0	1				
320	88575	0				0	1				
192	89025	0				0	1			1	
64	89625	0				0	1				
192	89925	0				0	1				
64	90225	0				0	1				
192	90524	0				0	1				
320	90974	0				0	1				
448	91424	0				0	1			1	
320	92024	0				0	1				
192	92324	0				0	1				
320	92624	0				0	1				
192	92924	0				0	1				
384	93374	0				0	1	7	0-1		
128	93823	0				0	1	7	1-1	1	
256	94723	0				0	1				
384	95323	0				0	1			1	
128	95923	0				0	1			1	
384	96523	0				0	1			1	
256	97122	0	S			0	1				
