音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	是打击点 1是音效点	音效点需要播的音效名字		
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	Event	
256	1401	0				0	1				
0	2068	0				0	1	7	1-1		
0	2401	0				0	1	7	1-1		
256	3401	0				0	1			1	
512	4067	0				0	1				
256	4734	0				0	1	4			
256	5068	0				0	1	4			
384	6068	0				0	1				
256	6734	0				0	1			1	
512	7401	0				0	1	7	0-1		
512	7734	0				0	1	7	0-1		
256	8734	0				0	1				
0	9401	0				0	1			1	
256	10068	0				0	1	4			
256	10401	0				0	1	4			
256	10734	0				0	1	4			
0	11401	0				0	1				
256	12067	0				0	1			1	
512	12734	0				0	1	5			
512	13068	0				0	1	5			
256	14067	0				0	1				
512	14734	0				0	1				
256	15401	0				0	1				
256	15734	0				0	1				
0	16734	0				0	1			1	
256	17401	0				0	1				
512	18067	0				0	1	7	0-2		
512	18401	0				0	1	7	0-2		
512	19401	0				0	1				
256	20067	0				0	1				
0	20734	0				0	1	7	1-2		
0	21067	0				0	1	7	1-2		
0	21401	0				0	1				
256	22067	0				0	1				
512	22734	0				0	1			1	
512	23401	0				0	1	7	0-2		
512	23734	0				0	1	7	0-2		
256	24734	0				0	1				
0	25401	0				0	1				
256	26067	0				0	1				
256	26401	0				0	1				
0	27401	0				0	1				
256	28067	0				0	1	3			
512	28734	0				0	1				
256	29401	0				0	1				
228	29734	0				0	1				
200	30067	0				0	1			1	
0	30734	0	S			0	1				
256	31401	0				0	1	7	2-1		
0	32067	0				0	1	7	1-2		
56	32401	0				0	1				
118	32734	0				0	1			1	
256	33401	0				0	1	7	2-1		
512	34067	0				0	1	7	0-2		
256	34734	0				0	1				
384	35068	0				0	1				
512	35401	0				0	1			1	
256	36068	0				0	1	7	2-1		
0	36734	0				0	1	7	1-2		
256	37401	0				0	1				
318	37734	0				0	1				
374	38068	0				0	1			1	
256	38734	0				0	1	7	2-1		
512	39401	0				0	1	7	0-2		
256	40068	0				0	1				
128	40401	0				0	1				
0	40734	0				0	1			1	
256	41401	0				0	1	7	2-1		
0	42068	0				0	1	7	1-2		
256	42734	0				0	1				
384	43068	0				0	1				
512	43401	0				0	1			1	
256	44067	0				0	1	7	2-1		
256	44734	0				0	1	7	2-1		
512	45401	0				0	1				
384	45734	0				0	1				
256	46068	0				0	1			1	
512	46734	0				0	1	7	0-1		
256	47401	0				0	1	7	0-1		
200	48068	0				0	1				
100	48401	0				0	1				
0	48734	0				0	1			1	
256	49401	0				0	1	7	0-1		
512	50068	0				0	1	7	0-1		
256	50734	0				0	1				
256	51401	0				0	1			1	
0	52068	0				0	1	7	1-1		
256	52734	0				0	1	7	1-1		
512	53401	0				0	1				
512	54068	0				0	1			1	
256	54734	0				0	1	7	1-1		
0	55401	0				0	1	7	1-1		
256	56068	0				0	1				
0	56734	0				0	1			1	
256	57401	0				0	1				
256	58068	0				0	1				
512	58734	0				0	1				
256	59401	0				0	1				
256	60068	0	S			0	1	3		1	
384	60734	0				0	1	1			
384	61068	0				0	1				
512	61734	0				0	1				
256	62734	0				0	1			1	
384	63401	0				0	1				
512	63734	0				0	1				
256	64401	0				0	1				
0	65401	0				0	1			1	
256	66068	0				0	1				
256	66401	0				0	1				
512	67067	0				0	1				
256	68067	0				0	1			1	
256	68734	0				0	1				
256	69068	70401				0	1	2			
256	70734	0				0	1	6		1	
512	71734	0				0	1				
384	72068	0				0	1				
256	72401	0				0	1				
128	72734	0				0	1				
0	73068	0				0	1			1	
0	74401	0				0	1	7	1-1		
0	74734	0				0	1	7	1-1		
0	75068	0				0	1	7	1-1		
256	75734	0				0	1				
256	76068	0				0	1			1	
512	77067	0				0	1	7	0-1		
512	77401	0				0	1	7	0-1		
512	77734	0				0	1	7	0-1		
256	78401	0				0	1				
128	78734	0				0	1			1	
128	79734	0				0	1				
0	80067	0				0	1				
256	80734	0				0	1	4			
256	81067	0				0	1	4			
256	81401	0				0	1	4		1	
0	82401	0				0	1				
128	82734	0				0	1				
256	83068	0				0	1				
384	83401	0				0	1				
512	83735	0				0	1			1	
384	84734	0				0	1				
384	85067	0				0	1				
256	85401	0				0	1				
128	85734	0				0	1				
128	86401	0				0	1				
256	86734	0				0	1			1	
512	87734	0				0	1	7	0-1		
512	88067	0				0	1	7	0-1		
512	88401	0				0	1	7	0-1		
256	89067	0				0	1				
8	90401	0				0	1				
128	90734	0				0	1				
256	91067	0				0	1				
512	91734	0	S			0	1				
