音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	音效点需要播的音效名字			
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	Event	Skin	
256	1507	0				0	1	3				
128	2856	0				0	1	1				
0	4204	0				0	1			1		
256	5552	0				0	1	1				
512	6901	0				0	1			1		
384	8249	0				0	1	1				
0	9597	0				0	1			1		
512	10946	0				0	1					
384	11620	0				0	1					
256	12294	0			C2	0	1	3				
512	13642	0				0	1				1	
256	14991	0				0	1					
256	15496	0				0	1					
256	16002	0				0	1			1		
0	17687	0				0	1	7	1-1			
128	18361	0				0	1	7	1-1			
256	19036	0				0	1	7	2-1			
384	19710	0				0	1	7	0-1			
512	20384	0				0	1	7	0-1	1		
0	22069	0				0	1					
256	23081	0				0	1	3				
512	24429	0				0	1				1	
0	25777	0				0	1					
0	26283	0				0	1					
0	26788	0				0	1			1		
256	28474	0				0	1	7	0-1			
384	29148	0				0	1	7	0-1			
512	29822	0				0	1	7	0-1			
384	30496	0				0	1	7	0-1			
256	31002	0				0	1	7	0-1	1		
0	32519	0				0	1					
128	33193	0				0	1					
256	33867	0	S		C3	0	1	3				
512	34541	0				0	1					
256	35215	0				0	1				1	
512	35889	0				0	1					
512	36227	0				0	1					
512	36564	0				0	1			1		
256	37238	0				0	1					
0	37912	0				0	1				1	
256	38586	0				0	1					
256	38923	0				0	1					
256	39260	0				0	1			1		
512	39934	0				0	1					
256	40609	0				0	1				1	
512	41283	0				0	1	7	0-1			
384	41620	0				0	1	7	0-1			
256	41957	0				0	1	7	0-1	1		
0	42631	0				0	1					
256	43305	0				0	1					
512	43979	0				0	1					
256	44654	0				0	1	3		1		
512	45328	0				0	1					
256	46002	0				0	1					
0	46676	0				0	1					
0	47013	0				0	1					
0	47350	0				0	1			1		
256	48024	0				0	1					
0	48698	0				0	1					
256	49373	0				0	1	7	0-1			
384	49710	0				0	1	7	0-1			
512	50047	0				0	1	7	0-1	1		
512	50721	0				0	1	7	0-1			
256	51395	0				0	1					
256	52069	0				0	1					
256	52575	0				0	1					
256	52912	54204				0	1	2				
296	55103	0			C1	0	1				1	
256	55933	0				0	1	3				
512	56607	0				0	1					
256	57281	0				0	1					
0	57955	0				0	1	7	1-2			
0	58292	0				0	1	7	1-2			
0	58629	0				0	1	7	1-2	1		
256	59303	0				0	1				1	
512	59977	0				0	1					
256	60652	0				0	1	7	0-1			
384	60989	0				0	1	7	0-1			
512	61326	0				0	1	7	0-1	1		
256	62000	0				0	1				1	
0	62674	0				0	1					
256	63348	0				0	1					
256	63685	0				0	1					
256	64022	0				0	1			1		
0	64697	0				0	1					
256	65371	0				0	1					
512	66045	0				0	1					
256	66719	0				0	1	3				
512	67393	0				0	1	7	0-1			
384	67730	0				0	1	7	0-1			
256	68067	0				0	1	7	0-1			
0	68741	0				0	1					
0	69079	0				0	1					
0	69416	0				0	1			1		
256	70090	0				0	1	7	1-1			
128	70427	0				0	1	7	1-1			
0	70764	0				0	1	7	1-1			
256	71438	0				0	1					
256	71775	0				0	1					
256	72112	0				0	1			1		
512	72786	0				0	1	7	0-1			
384	73124	0				0	1	7	0-1			
256	73461	0				0	1	7	0-1			
512	74135	0				0	1					
512	74472	0				0	1					
512	74809	0				0	1			1		
256	75483	0				0	1					
0	76157	0				0	1					
256	76831	0	S		C2	0	1			1		
392	77506	0				0	1	5				
392	77674	0				0	1	5				
392	77843	0				0	1	5				
392	78011	0				0	1	5				
392	78180	0				0	1	5				
384	79191	0				0	1					
256	79697	0				0	1					
512	80539	0				0	1			1	1	
256	81550	0				0	1					
256	81888	0				0	1					
256	82225	0				0	1					
0	83067	0				0	1			1		
256	84247	0				0	1	7	0-1			
384	84584	0				0	1	7	0-1			
512	84921	0				0	1	7	0-1			
384	85764	0				0	1					
256	86270	0				0	1					
0	86944	0				0	1					
256	87618	0				0	1					
256	87955	0				0	1					
256	88292	0				0	1	3				
512	88966	0				0	1					
512	89303	0				0	1			1	1	
112	90483	0				0	1	5				
112	90736	0				0	1	5				
112	90989	0				0	1	5				
112	91241	0				0	1	5				
256	92337	0				0	1					
384	92674	0				0	1					
512	93011	0				0	1					
384	93517	0				0	1					
384	93854	0				0	1			1		
0	95034	0				0	1	7	1-2			
0	95371	0				0	1	7	1-2			
0	95708	0				0	1	7	1-2			
128	96213	0				0	1					
256	96719	0				0	1					
256	97393	0	S		C3	0	1					
