音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	音效点需要播的音效名字	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	
256	1797	0				0	1			
512	3208	0				0	1			
256	4620	0				0	1			
0	6032	0				0	1			
0	6738	0				0	1			
256	7444	0				0	1			
256	8150	0				0	1			
512	8855	0				0	1			
512	9561	0				0	1			
256	10267	0				0	1			
256	10620	0				0	1	1		
256	10973	0				0	1			
256	11679	0			C2	0	1	3		
256	12385	0				0	1			
512	13091	0				0	1			
256	13797	0				0	1			
512	14502	0				0	1			
256	15208	0				0	1			
0	15914	0				0	1			
0	16267	0				0	1			
0	16620	0				0	1			
0	16973	0				0	1			
384	18032	0				0	1			
512	18738	0				0	1			
256	19444	0				0	1			
0	20149	0				0	1			
256	20855	0				0	1			
512	21561	0				0	1			
384	21914	0				0	1			
256	22267	0				0	1			
128	22620	0	S		C3	0	1			
256	23326	0				0	1			
512	24032	0				0	1			
512	24385	0				0	1			
256	25091	0				0	1			
256	26326	0				0	1			
0	26855	0				0	1			
0	27208	0				0	1			
256	27914	0				0	1			
512	29326	0				0	1			
512	30032	0				0	1			
256	30738	0				0	1			
0	31444	0				0	1			
256	32149	0				0	1			
0	32855	0				0	1			
0	33208	0				0	1			
128	33561	0				0	1			
256	33914	0				0	1			
256	34267	0			C1	0	1	3		
512	35679	0				0	1			
256	36385	0				0	1			
256	37091	0				0	1			
0	38502	0				0	1			
256	39208	0				0	1			
256	39561	0				0	1	1		
256	39914	0				0	1			
512	41326	0				0	1			
256	42032	0				0	1			
512	42738	0				0	1			
256	44149	0				0	1			
256	44502	0				0	1	1		
256	44855	0				0	1			
256	45561	0				0	1	3		
0	46267	0				0	1			
256	46973	0				0	1			
512	47679	0				0	1			
512	48385	0				0	1			
256	49091	0				0	1			
512	49797	0				0	1			
256	50502	0				0	1			
0	51208	0				0	1			
256	51914	0				0	1			
0	52620	0				0	1			
0	53326	0				0	1			
120	54032	0				0	1	5		
392	54208	0				0	1	5		
120	54385	0				0	1	5		
392	54561	0				0	1	5		
120	54738	0				0	1	5		
392	54914	0				0	1	5		
120	55091	0				0	1	5		
256	56855	0	S		C2	0	1	3		
0	57561	0				0	1			
256	58267	0				0	1	4		
256	58620	0				0	1	4		
256	58973	0				0	1	4		
512	59679	0				0	1			
256	60385	0				0	1			
384	60738	0				0	1	1		
512	61091	0				0	1			
256	61797	0				0	1			
256	62502	0				0	1	3		
0	63208	0				0	1			
256	63914	0				0	1			
128	64267	0				0	1	1		
0	64620	0				0	1			
256	65326	0				0	1			
0	66032	0				0	1	4		
0	66385	0				0	1	4		
0	66738	0				0	1	4		
256	67444	0				0	1			
256	68149	0			C3	0	1	3		
512	69561	0				0	1			
256	70091	0				0	1			
256	70620	0				0	1			
256	70973	0				0	1	3		
0	72385	0				0	1			
256	72914	0				0	1			
256	73444	0				0	1			
256	73797	0				0	1	3		
512	75208	0				0	1			
256	75738	0				0	1			
256	75914	0				0	1			
256	76267	0				0	1			
120	76973	0				0	1	5		
392	77149	0				0	1	5		
120	77326	0				0	1	5		
392	77502	0				0	1	5		
120	77679	0				0	1	5		
392	77855	0				0	1	5		
120	78032	0				0	1	5		
256	78738	0				0	1			
256	79091	0				0	1			
256	79444	0	S		C1	0	1			
