音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	是打击点 1是音效点	音效点需要播的音效名字	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	
256	1755	0				0	1			
128	2394	0				0	1			
0	3034	0				0	1			
384	4440	0				0	1			
256	5122	0				0	1			
512	5803	0				0	1			
128	7124	0				0	1			
256	7806	0				0	1			
512	8488	0				0	1			
0	9852	0				0	1			
128	10534	0				0	1			
256	11258	0				0	1			
384	11940	0				0	1	1		
512	12622	0				0	1			
0	13985	0	S		C2	0	1			
256	14624	0				0	1			
128	14965	0				0	1			
80	16329	0				0	1	5		
432	16670	0				0	1	5		
80	17011	0				0	1	5		
432	17352	0				0	1	5		
80	17693	0				0	1	5		
256	19056	0				0	1			
128	19397	0				0	1			
384	20079	0				0	1			
256	20463	0				0	1			
0	21102	0				0	1			
128	21443	0				0	1			
256	21784	0				0	1			
128	22082	0				0	1			
256	22593	0				0	1			
384	23105	0				0	1			
0	24894	0				0	1			
256	25534	0				0	1			
384	26002	0				0	1			
432	27281	0				0	1	5		
80	27622	0				0	1	5		
432	27963	0				0	1	5		
80	28303	0				0	1	5		
432	28644	0				0	1	5		
256	29965	0				0	1	4		
256	30306	0				0	1	4		
256	30647	0				0	1	4		
256	30988	0				0	1	4		
256	31329	0				0	1	4		
512	32053	0				0	1			
384	32352	0				0	1			
256	32693	0				0	1			
512	33374	0				0	1			
256	34056	0				0	1			
0	35803	0				0	1			
512	37210	0	S		C3	0	1			
384	37891	0				0	1	1		
256	38573	0				0	1			
0	39213	0				0	1			
256	39894	0				0	1	3		
384	40576	0				0	1			
128	41258	0				0	1			
128	41599	0				0	1			
256	42238	0				0	1			
0	43985	0				0	1			
0	44326	0				0	1			
256	44965	0				0	1			
0	45988	0				0	1			
256	46670	0				0	1			
384	47011	0				0	1			
256	47352	0				0	1			
384	47693	0				0	1			
0	49482	0				0	1			
128	50164	0				0	1			
256	50803	0				0	1	3		
128	51485	0				0	1			
0	51826	0				0	1			
384	52721	0				0	1			
256	53147	0				0	1			
512	54894	0				0	1			
384	55193	0				0	1			
256	55491	0				0	1			
128	55874	0				0	1			
384	56556	0				0	1			
512	56897	0				0	1			
256	57536	0				0	1			
512	58176	0				0	1			
384	58559	0				0	1			
0	60391	0				0	1			
128	60732	0				0	1			
256	61073	0				0	1			
128	61372	0				0	1			
512	63076	0				0	1			
384	63374	0				0	1	1		
256	63715	0				0	1			
128	64056	0				0	1	1		
0	64397	0				0	1			
432	65803	0				0	1	5		
80	66144	0				0	1	5		
432	66485	0				0	1	5		
80	66784	0				0	1	5		
432	67124	0				0	1	5		
256	67849	0				0	1			
384	68531	0				0	1			
512	69213	0				0	1			
256	69894	0	S		C1	0	1			
