音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）		
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	
256	1927	0				0	1	3		2	
384	2836	0				0	1	7	0-1		
128	3745	0				0	1	7	1-1		
256	4654	0				0	1	7	0-1		
128	5564	0				0	1	7	1-1		
384	6473	0				0	1	7	0-1		
256	7382	0				0	1	7	1-1		
256	7836	0				0	1	1			
256	8291	0				0	1				
256	9200	0				0	1	3		2	
0	10109	0				0	1	7	1-2		
512	11018	0				0	1	7	0-2		
0	11927	0				0	1	7	1-2		
512	12836	0				0	1	7	0-2		
0	13745	0				0	1	7	1-2		
256	14654	0				0	1	7	0-1		
256	15109	0				0	1	1			
256	15564	0				0	1				
256	16473	0			C2	0	1	3		2	
206	16927	0				0	1				
306	17382	0				0	1				
206	17609	0				0	1				
306	17836	0				0	1				
206	18064	0				0	1				
306	18291	0				0	1				
206	19200	0				0	1				
306	19427	0				0	1				
206	19654	0				0	1				
306	19882	0				0	1				
206	20109	0				0	1				
256	21018	0	S			0	1	3		2	
206	21473	0				0	1	1			
306	21927	0				0	1				
206	22154	0				0	1				
306	22382	0				0	1				
206	22609	0				0	1				
306	22836	0				0	1				
206	23064	0				0	1				
306	23291	0				0	1				
206	23518	0				0	1				
256	23745	0				0	1	3		2	
206	24597	0				0	1				
306	24825	0				0	1				
206	25052	0				0	1				
306	25279	0				0	1				
206	25507	0				0	1				
256	25961	0				0	1				
206	26416	0				0	1				
306	26643	0				0	1				
206	26870	0				0	1				
306	27097	0				0	1				
206	27325	0				0	1				
384	28235	0				0	1	7	0-1		
256	28689	0				0	1	7	1-1		
206	29144	0				0	1				
306	29371	0				0	1				
206	29598	0				0	1				
306	29826	0				0	1				
206	30053	0				0	1				
306	30280	0				0	1				
206	30508	0				0	1				
306	30735	0				0	1				
206	30962	0				0	1				
306	31189	0				0	1				
256	31899	0				0	1	3		2	
306	32808	0				0	1				
416	33291	0				0	1	5			
96	33745	0				0	1	5			
416	34200	0				0	1	5			
96	34654	0				0	1	5			
416	35564	0				0	1	5			
0	36473	0				0	1	7	1-2		
0	37382	0				0	1				
256	38291	0				0	1	7	0-1		
512	39200	0				0	1	7	0-2		
96	40109	0				0	1	5			
416	40564	0				0	1	5			
94	41018	0				0	1	5			
416	41473	0				0	1	5			
94	41927	0				0	1	5			
256	42836	0				0	1				
256	43745	45109				0	1	2			
256	45564	0			C3	0	1	6		2	
128	46473	0				0	1	7	1-1		
128	46927	0				0	1	1			
128	47382	0				0	1	7	1-1		
384	48291	0				0	1	7	0-1		
384	48745	0				0	1	1			
384	49200	0				0	1	7	0-1		
206	50109	0				0	1				
306	50336	0				0	1				
206	50564	0				0	1				
306	50762	0				0	1				
206	51018	0	S			0	1				
306	51245	0				0	1				
206	51473	0				0	1				
306	51671	0				0	1				
206	51927	0				0	1				
306	52126	0				0	1				
206	52382	0				0	1				
306	52609	0				0	1				
206	52836	0				0	1				
0	53745	0				0	1	7	1-2		
0	54200	0				0	1	7	1-2		
0	54654	0				0	1	7	1-2		
128	55564	0				0	1	7	1-1		
128	56018	0				0	1	7	1-1		
128	56473	0				0	1	7	1-1		
206	57382	0				0	1				
306	57609	0				0	1				
206	57836	0				0	1				
306	58064	0				0	1				
206	58291	0				0	1				
306	58518	0				0	1				
206	58745	0				0	1				
306	58944	0				0	1				
206	59200	0				0	1				
306	59427	0				0	1				
206	59654	0				0	1				
306	59882	0				0	1				
256	60109	0			C1	0	1	3		2	
306	61018	0				0	1				
206	61245	0				0	1				
306	61473	0				0	1				
206	61700	0				0	1				
128	62836	0				0	1	7	1-1		
128	63291	0				0	1	1			
128	63546	0				0	1	7	1-1		
206	64654	0				0	1				
306	64882	0				0	1				
206	65081	0				0	1				
306	65308	0				0	1				
206	65564	0				0	1				
306	65762	0				0	1				
206	65990	0				0	1				
306	66217	0				0	1				
206	66473	0				0	1				
306	66671	0				0	1				
206	66927	0				0	1				
306	67126	0				0	1				
206	67382	0				0	1				
256	68291	0				0	1	3		2	
128	69200	0				0	1	7	1-1		
384	70109	0				0	1	7	0-1		
384	70564	0				0	1	7	0-1		
384	71018	0				0	1	7	0-1		
512	71927	0				0	1	7	0-1		
256	72836	0				0	1	7	1-1		
512	73745	0				0	1	7	0-1		
512	74200	0				0	1	7	0-1		
512	74654	0				0	1	7	0-1		
256	76473	0				0	1	7	1-1		
0	78291	0	S			0	1	7	1-2		
