音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效=是第一个 =是第二个	音量=-=.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）		
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	Event	
256	2363	0				0	1				
512	3069	0				0	1			1	
256	3775	0				0	1				
0	4481	0				0	1			1	
304	5187	0				0	1	7	0-1		
368	5540	0				0	1	7	0-1		
432	5893	0				0	1	7	0-1	1	
128	6598	0				0	1				
416	7304	0				0	1				
224	8010	0				0	1	7	1-1		
160	8363	0				0	1	7	1-1		
96	8716	0				0	1	7	1-1	1	
0	9422	0				0	1				
336	10128	0				0	1				
384	10834	0				0	1	7	0-1		
448	11187	0				0	1	7	0-1		
512	11540	0				0	1	7	0-1	1	
256	12245	0				0	1				
32	12951	0				0	1				
256	13657	0				0	1	3		1	
272	14363	0				0	1				
160	14716	0				0	1				
48	15069	0				0	1				
160	15422	0				0	1				
272	15775	0				0	1				
384	16128	0				0	1				
496	16481	0				0	1				
384	16834	0				0	1				
256	17187	0				0	1			1	
0	17893	0				0	1	7	1-1		
256	18598	0				0	1	7	1-1		
32	19304	0				0	1				
144	19657	0				0	1				
256	20010	0				0	1				
368	20363	0				0	1				
480	20716	0				0	1				
368	21069	0				0	1				
256	21422	0				0	1				
144	21775	0				0	1				
256	22128	0				0	1				
368	22481	0				0	1				
480	22834	0				0	1			1	
200	22900	0				0	1	1			
96	23716	0				0	1				
200	24000	0				0	1	1			
256	24951	0	S			0	1	3		1	
256	25304	0				0	1				
256	25657	0				0	1			1	
176	26363	0				0	1				
48	26893	0				0	1	7	1-1		
48	27245	0				0	1	7	1-1	1	
256	27775	0				0	1				
448	28304	0				0	1	7	0-1		
448	28598	0				0	1	7	0-1	1	
320	29187	0				0	1				
176	29716	0				0	1	7	1-1		
176	30010	0				0	1	7	1-1	1	
16	30598	0				0	1				
240	30951	0				0	1	7	1-1		
240	31187	0				0	1	7	1-1	1	
512	32716	0				0	1	7	0-1		
384	33069	0				0	1	7	0-1		
256	33422	0				0	1				
128	33775	0				0	1	7	1-1		
0	34128	0				0	1	7	1-1	1	
200	35000	0				0	1	1			
320	35069	0				0	1				
256	35716	0				0	1				
192	35893	0				0	1				
256	36069	0				0	1				
320	36245	0				0	1				
256	36422	0				0	1				
256	36598	0				0	1	3		1	
128	36951	0				0	1				
128	37128	0				0	1				
352	37481	0				0	1	7	0-1		
400	37657	0				0	1	7	0-1		
448	37834	0				0	1	7	0-1		
496	38010	0				0	1	7	0-1	1	
256	38363	0				0	1				
208	38540	0				0	1				
160	38716	0				0	1				
112	38893	0				0	1				
64	39069	0				0	1				
240	39422	0				0	1				
0	39775	0				0	1	7	1-1	1	
256	40304	0				0	1	7	0-1	1	
432	41187	0				0	1	4			
432	41540	0				0	1	4			
432	41893	0				0	1	4			
432	42245	0				0	1	4		1	
128	42598	0				0	1	5			
128	42951	0				0	1	5			
128	43304	0				0	1	5			
128	43657	0				0	1	5			
384	44010	0				0	1	5			
384	44363	0				0	1	5			
384	44716	0				0	1	5			
80	45422	0				0	1	5		1	
432	46128	0				0	1	5		1	
80	46834	0				0	1	5		1	
352	47540	0				0	1				
256	47893	0	S			0	1	6		1	
272	48245	0				0	1				
272	48422	0				0	1				
272	48775	0				0	1	7	0-1		
224	48951	0				0	1	7	1-1		
176	49128	0				0	1	7	1-1		
128	49304	0				0	1	7	1-1	1	
48	49657	0				0	1				
96	49834	0				0	1				
144	50010	0				0	1				
256	50363	0				0	1				
352	50716	0				0	1				
464	51069	0				0	1	7	0-1	1	
208	51598	0				0	1	7	1-1	1	
64	52481	0				0	1	4			
