音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）			
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	Event	
256	1071	0				0	1					
512	2016	0				0	1					
256	2961	0				0	1					
0	3906	0				0	1					
0	4379	0				0	1					
256	4851	0				0	1	7	0-1			
256	5323	0				0	1					
512	5796	0				0	1	7	0-1			
512	6268	0				0	1					
256	6741	0				0	1	7	1-1			
256	7213	0				0	1					
256	7686	0				0	1				1	
384	8158	0				0	1					
384	8630	0				0	1					
384	8867	0				0	1					
512	9103	0				0	1					
512	9575	0				0	1				1	
384	10048	0				0	1					
384	10520	0				0	1					
384	10756	0				0	1					
384	10993	0				0	1					
256	11465	0				0	1				1	
256	11938	0				0	1					
128	12410	0				0	1					
128	12646	0				0	1					
128	12882	0				0	1					
0	13355	0				0	1				1	
0	13827	0				0	1					
128	14300	0				0	1					
128	14536	0				0	1					
128	14772	0				0	1					
256	15245	0				0	1	3			1	
256	15717	0				0	1					
384	16190	0				0	1					
384	16426	0				0	1					
384	16662	0				0	1	1				
176	17371	0				0	1	5				
176	17607	0				0	1	5				
176	17843	0				0	1	5				
336	18079	0				0	1	5				
336	18316	0				0	1	5				
336	18552	0				0	1	5				
256	19024	0				0	1				1	
384	19497	0				0	1	7	0-1			
512	19969	0				0	1	7	0-2			
512	20205	0				0	1					
512	20442	0				0	1					
256	20914	0				0	1	7	1-1			
256	21386	0				0	1					
128	21859	0				0	1					
128	22331	0				0	1					
256	22804	0	S			0	1	6			1	
256	23040	0				0	1					
256	23276	0				0	1				1	
256	23512	0				0	1					
384	23749	0				0	1	7	0-1		1	
512	24221	0				0	1	7	0-1			
512	24457	0				0	1					
384	24930	0				0	1					
384	25166	0				0	1					
384	25402	0				0	1					
384	25638	0				0	1					
256	26111	0				0	1					
256	26347	0				0	1					
128	26583	0				0	1				1	
128	26819	0				0	1					
128	27056	0				0	1				1	
128	27292	0				0	1					
0	27528	0				0	1				1	
0	28001	0				0	1					
0	28237	0				0	1					
128	28709	0				0	1					
128	28945	0				0	1					
128	29182	0				0	1					
128	29418	0				0	1					
256	29890	0				0	1				1	
256	30127	0				0	1				1	
256	30363	0				0	1				1	
384	30835	0				0	1	4				
384	31308	0				0	1	4			1	
512	31780	0				0	1					
512	32016	0				0	1					
512	32253	0				0	1				1	
384	32725	0				0	1				1	
384	33197	0				0	1				1	
256	33670	0				0	1					
256	33906	0				0	1					
128	34142	0				0	1				1	
128	34379	0				0	1					
128	34615	0				0	1				1	
128	34851	0				0	1					
0	35087	0				0	1				1	
0	35560	0				0	1					
0	35796	0				0	1					
128	36268	0				0	1					
128	36504	0				0	1					
128	36741	0				0	1					
128	36977	0				0	1					
256	37449	0				0	1					
256	37686	0				0	1	3				
384	37922	0				0	1					
384	38158	0				0	1					
512	38394	0				0	1					
512	38630	0				0	1					
512	38867	0				0	1					
256	39339	0				0	1					
256	39575	0				0	1					
128	39812	0				0	1					
128	40048	0				0	1					
0	40284	0				0	1					
0	40520	0				0	1					
0	40756	0				0	1					
256	41229	0				0	1	4				
512	41701	0				0	1					
512	41938	0				0	1					
384	42174	0				0	1					
384	42410	0				0	1					
384	42646	0				0	1					
256	43119	0				0	1					
256	43355	0				0	1					
128	43591	0				0	1					
128	43827	0				0	1					
0	44064	0				0	1					
0	44300	0				0	1					
128	44536	0				0	1					
