音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	
256	735	0				0	1			
352	1199	0				0	1			
352	1430	0				0	1			
352	1660	0				0	1			
480	2353	0				0	1			
480	2583	0				0	1			
384	3045	0				0	1	7	0-1	
384	3276	0				0	1	7	0-1	
384	3507	0				0	1	7	0-1	
256	3968	0				0	1			
128	4430	0				0	1	5		
128	4660	0				0	1	5		
128	4891	0				0	1	5		
128	5122	0				0	1	5		
384	5353	0				0	1	5		
384	5583	0				0	1	5		
384	5814	0				0	1	5		
384	6045	0				0	1	5		
384	6276	0				0	1			
192	6737	0				0	1	7	1-1	
192	6968	0				0	1	7	1-1	
192	7199	0				0	1	7	1-1	
96	7660	0				0	1			
192	8122	0				0	1			
256	8353	0				0	1			
256	8468	0				0	1			
256	8583	0				0	1			
320	8814	0				0	1			
320	9045	0				0	1			
416	9507	0				0	1			
320	9968	0				0	1			
256	10199	0				0	1			
256	10314	0				0	1			
256	10429	0				0	1			
192	10660	0				0	1	7	1-1	
192	10891	0				0	1	7	1-1	
64	11353	0				0	1			
256	11814	0				0	1	3		
384	12276	0				0	1			
160	12968	0				0	1			
224	13199	0				0	1			
288	13430	0				0	1			
352	13660	0				0	1			
480	14122	0				0	1	7	0-1	
352	14583	0				0	1	7	0-1	
256	15045	0				0	1			
128	15507	0				0	1			
128	15737	0				0	1			
128	15968	0	S			0	1			
128	16199	0				0	1			
128	16430	0				0	1			
256	16891	0				0	1			
256	17353	0				0	1	6		
416	17814	0				0	1			
384	18045	0				0	1			
352	18276	0				0	1			
192	18737	0				0	1			
32	19199	0				0	1	5		
32	19430	0				0	1	5		
32	19660	0				0	1	5		
32	19891	0				0	1	5		
32	20122	0				0	1	5		
224	20583	0				0	1			
128	21045	0				0	1			
160	21276	0				0	1			
192	21506	0				0	1			
224	21737	0				0	1			
256	21968	0				0	1			
160	22429	0				0	1			
288	22891	0				0	1	7	0-1	
288	23122	0				0	1	7	0-1	
288	23352	0				0	1	7	0-1	
288	23583	0				0	1	7	0-1	
288	23814	0				0	1	7	0-1	
160	24275	0				0	1			
32	24737	0				0	1	5		
32	24968	0				0	1	5		
32	25198	0				0	1	5		
32	25429	0				0	1	5		
32	25660	0				0	1	5		
224	26121	0				0	1			
384	26583	0				0	1			
320	26814	0				0	1			
384	27044	0				0	1			
320	27275	0				0	1			
384	27506	0				0	1			
192	27967	0				0	1			
0	28430	0				0	1			
32	28661	0				0	1			
64	28891	0				0	1			
96	29122	0				0	1			
128	29353	0				0	1			
352	29814	0				0	1			
448	30276	0				0	1			
416	30507	0				0	1			
384	30737	0				0	1			
352	30968	0				0	1			
320	31199	0				0	1			
192	31660	0				0	1			
64	32122	0				0	1	5		
64	32353	0				0	1	5		
64	32583	0				0	1	5		
64	32814	0				0	1	5		
64	33045	0				0	1	5		
224	33506	0				0	1			
224	33622	0				0	1			
224	33737	0				0	1			
288	33968	0				0	1	7	0-1	
352	34199	0				0	1	7	0-1	
288	34429	0				0	1	7	0-1	
352	34660	0				0	1	7	0-1	
288	34891	0				0	1	7	0-1	
128	35352	0				0	1			
256	35814	0				0	1	3		
384	36276	0	S			0	1			
512	36737	0				0	1			
480	36968	0				0	1			
448	37199	0				0	1			
416	37430	0				0	1			
384	37660	0				0	1			
256	38124	0				0	1	7	1-1	
192	38355	0				0	1	7	1-1	
128	38585	0				0	1	7	1-1	
320	39278	0				0	1	5		
320	39508	0				0	1	5		
320	39737	0				0	1	5		
320	39970	0				0	1	5		
320	40201	0				0	1	5		
320	40432	0				0	1	5		
192	40893	0				0	1			
64	41355	0				0	1			
96	41585	0				0	1			
128	41816	0				0	1			
160	42047	0				0	1			
192	42278	0				0	1			
224	42508	0				0	1			
192	42739	0				0	1			
160	42970	0				0	1			
128	43201	0				0	1			
320	43662	0				0	1	7	0-1	
320	43893	0				0	1	7	0-1	
320	44124	0				0	1	7	0-1	
512	44585	0				0	1			
352	45047	0				0	1			
320	45278	0				0	1			
288	45393	0				0	1			
256	45508	0				0	1			
224	45739	0				0	1			
192	45970	0				0	1			
320	46432	0				0	1	7	0-1	
96	46891	0				0	1	5		
96	47122	0				0	1	5		
96	47237	0				0	1	5		
96	47352	0				0	1	5		
96	47583	0				0	1	5		
96	47814	0				0	1	5		
256	48276	0				0	1			
256	48737	0				0	1	3		
256	49199	0				0	1			
256	49891	0				0	1			
192	50122	0				0	1			
128	50353	0				0	1			
64	50583	0				0	1			
256	51045	0				0	1	7	1-1	
448	51507	0				0	1	7	0-1	
256	51968	0	S			0	1			
