音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt
256	513	0				0	1		
256	805	0				0	1		
160	1097	0				0	1		
160	1195	0				0	1		
160	1292	0				0	1		
160	1390	0				0	1		
160	1487	0				0	1		
160	1682	0				0	1		
64	2071	0				0	1		
0	2461	0				0	1		
128	2851	0				0	1	5	
128	3045	0				0	1	5	
128	3240	0				0	1	5	
128	3435	0				0	1	5	
256	3825	0				0	1		
352	4214	0				0	1		
352	4409	0				0	1		
352	4604	0				0	1		
352	4799	0				0	1		
448	5188	0				0	1		
512	5578	0				0	1		
416	5967	0				0	1	7	0-1
416	6162	0				0	1	7	0-1
256	7136	0				0	1		
256	7331	0				0	1		
256	7526	0				0	1		
160	7916	0				0	1	7	1-1
64	8305	0				0	1		
0	8695	0				0	1	7	1-1
96	9084	0				0	1		
192	9474	0				0	1	5	
192	9766	0				0	1	5	
192	10058	0				0	1	5	
288	10448	0				0	1		
288	10643	0				0	1		
416	11032	0				0	1	7	0-1
512	11422	0				0	1	7	0-1
416	11812	0				0	1	7	0-1
288	12201	0				0	1		
288	12396	0				0	1		
288	12591	0				0	1		
192	12980	0				0	1		
320	13370	0				0	1		
416	13565	0				0	1		
320	13760	0				0	1		
256	14149	0				0	1	6	
96	15123	0				0	1	7	1-1
64	15318	0				0	1	7	1-1
32	15513	0				0	1	7	1-1
0	15708	0				0	1	7	1-1
160	16487	0				0	1		
160	16682	0				0	1		
160	16877	0				0	1		
160	17071	0				0	1		
160	17266	0				0	1		
288	17656	0				0	1	7	0-1
192	18045	0				0	1	7	1-1
96	18435	0	S			0	1		
64	18630	0				0	1		
32	18825	0				0	1		
128	19214	0				0	1		
192	19799	0				0	1		
192	19993	0				0	1		
192	20188	0				0	1		
288	20578	0				0	1	7	0-1
288	20773	0				0	1	7	0-1
288	20967	0				0	1	7	0-1
384	21357	0				0	1		
384	21552	0				0	1		
384	21747	0				0	1		
288	22136	0				0	1	5	
288	22526	0				0	1	5	
288	22916	0				0	1	5	
224	23305	0				0	1		
224	23500	0				0	1		
224	23695	0				0	1		
224	23890	0				0	1		
224	24084	0				0	1		
224	24279	0				0	1		
224	24474	0				0	1		
224	24669	0				0	1		
224	24864	0				0	1		
288	25058	0				0	1		
288	25156	0				0	1		
288	25351	0				0	1		
288	25448	0				0	1		
288	25643	0				0	1		
288	25740	0				0	1		
288	25838	0				0	1		
288	26032	0				0	1		
288	26130	0				0	1		
288	26227	0				0	1		
288	26422	0				0	1		
256	26617	0				0	1	3	
416	27006	0				0	1		
416	27201	0				0	1		
320	27786	0				0	1		
320	27883	0				0	1		
320	27980	0				0	1		
320	28175	0				0	1		
192	28565	0				0	1		
192	28760	0				0	1		
288	29734	0				0	1	7	0-1
384	30123	0				0	1	7	0-1
384	30318	0				0	1	7	0-1
480	31195	0				0	1		
480	31292	0				0	1		
384	31682	0				0	1		
384	31877	0				0	1		
256	32266	0				0	1		
224	32461	0				0	1		
192	32558	0				0	1		
160	32656	0				0	1		
128	32851	0				0	1		
224	33240	0				0	1		
224	33435	0				0	1		
64	34409	0				0	1		
128	34799	0	S			0	1		
160	34994	0				0	1		
256	35383	0				0	1		
256	35480	0				0	1		
256	35578	0				0	1		
256	35773	0				0	1		
256	35968	0				0	1		
352	36357	0				0	1	5	
352	36747	0				0	1	5	
352	37136	0				0	1	5	
256	37526	0				0	1	3	
160	37916	0				0	1		
64	38305	0				0	1		
64	38499	0				0	1		
64	38597	0				0	1		
64	38694	0				0	1		
64	38889	0				0	1		
64	39084	0				0	1		
160	39473	0				0	1	7	1-1
160	39668	0				0	1	7	1-1
288	40253	0				0	1		
288	40350	0				0	1		
288	40447	0				0	1		
288	40642	0				0	1		
192	41032	0				0	1	7	1-1
192	41227	0				0	1	7	1-1
384	42201	0				0	1	7	0-1
480	42590	0				0	1	7	0-1
480	42785	0				0	1	7	0-1
384	43662	0				0	1		
384	43759	0				0	1		
288	44149	0				0	1		
288	44344	0				0	1		
160	44733	0				0	1		
160	44928	0				0	1		
160	45025	0				0	1		
160	45123	0				0	1		
160	45318	0				0	1		
224	45707	0				0	1		
224	45902	0				0	1		
128	46876	0				0	1	7	1-1
32	47266	0				0	1	7	1-1
32	47461	0				0	1	7	1-1
128	47850	0				0	1		
160	47947	0				0	1		
192	48045	0				0	1		
224	48240	0				0	1		
256	48435	0				0	1		
160	48825	0				0	1		
320	49215	0				0	1		
448	49604	0				0	1	7	0-1
320	49994	0				0	1	7	0-1
192	50384	0				0	1	7	1-1
64	50773	0	S			0	1		
