音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个	音量0-0.7的值可两位小数	0是打击点	音效点需要播的音效名字
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt
384	1533	0				0	1	0	
384	1999	0				0	1	0	
0	2733	0				0	1	0	
521	3999	0				0	1	0	
0	4666	0				0	1	0	
0	4966	0				0	1	0	
128	5599	0				0	1	0	
0	5999	0				0	1	0	
0	6266	0				0	1	0	
384	6966	0				0	1	0	
384	7633	0				0	1	0	
521	7999	0				0	1	0	
521	8266	0				0	1	0	
128	9433	0				0	1	0	
128	9733	0				0	1	0	
384	10333	0				0	1	0	
384	11033	0				0	1	0	
0	11433	0				0	1	0	
384	11766	0				0	1	0	
128	12399	0				0	1	0	
256	13766	0				0	1	3	
0	14199	0				0	1	1	
521	14833	0				0	1	0	
128	15166	0				0	1	0	
384	15833	0				0	1	0	
0	16199	0				0	1	0	
256	16499	0				0	1	3	
256	17833	0				0	1	0	
0	18599	0				0	1	0	
256	18933	0				0	1	0	
256	19266	0				0	1	3	
256	19966	0				0	1	0	
521	20666	0				0	1	0	
256	21033	0				0	1	0	
256	21299	0				0	1	0	
256	21733	0				0	1	0	
256	21999	0				0	1	0	
256	22333	0				0	1	3	
256	22966	0				0	1	0	
0	23333	0				0	1	0	
128	24366	0				0	1	0	
256	24666	0				0	1	3	
521	25233	0				0	1	0	
128	26066	0				0	1	0	
256	26466	0				0	1	0	
521	27399	0				0	1	0	
521	27899	0				0	1	0	
256	28899	0				0	1	0	
128	29499	0				0	1	0	
128	29799	0				0	1	0	
128	30166	0				0	1	0	
0	30566	0				0	1	0	
521	31566	0				0	1	0	
128	31966	0				0	1	0	
384	32299	0				0	1	0	
0	32633	0				0	1	0	
256	32933	0				0	1	3	
128	33366	0				0	1	0	
256	33733	0				0	1	0	
256	34033	0				0	1	0	
256	34299	0				0	1	0	
521	34666	0				0	1	0	
521	34966	0				0	1	0	
0	35633	0				0	1	0	
521	36066	0				0	1	0	
521	36333	0				0	1	0	
128	36733	0				0	1	0	
128	37033	0				0	1	0	
256	37433	0				0	1	0	
256	37733	0				0	1	0	
256	38066	0				0	1	0	
256	38366	0				0	1	0	
128	38766	0				0	1	0	
256	39766	0				0	1	0	
128	40133	0				0	1	0	
521	40499	0				0	1	0	
521	40833	0				0	1	0	
128	41166	0				0	1	0	
521	41899	0				0	1	0	
256	42299	0				0	1	3	
0	43233	0	S		C2	0	1	0	
0	43899	0				0	1	0	
521	44566	0				0	1	0	
0	46066	0				0	1	0	
256	46599	0				0	1	0	
0	47233	0				0	1	0	
256	47933	0				0	1	0	
256	48599	0				0	1	0	
256	49266	0				0	1	3	
256	50299	0				0	1	0	
128	51266	0				0	1	0	
521	51899	0				0	1	0	
128	52333	0				0	1	0	
384	52666	0				0	1	0	
384	52966	0				0	1	0	
384	53233	0				0	1	0	
521	53633	0				0	1	0	
256	54099	0				0	1	0	
256	54599	0				0	1	0	
521	54966	0				0	1	0	
256	55299	0				0	1	0	
521	55633	0				0	1	0	
