音轨（1 2 3 4）	音乐块ID	开始时间	结束时间	音效	背景	背景切换方式	中间轨道	中间时间
Line	Id	StartTime	EndTime	SoundEffects	Background	ChangeForm	TurningTrack	TurningTime
2	1101	91	0	0		0		
3	1101	603	0	0		0		
1	1101	1116	0	0		0		
3	1201	1629	2398	0		0		
2	1201	2398	2943	0		0		
4	1101	2943	0	0		0		
2	1101	3200	0	0		0		
1	1101	3456	0	0		0		
3	1101	3712	0	0		0		
2	1101	3969	0	0		0		
4	1201	4193	4706	0		0		
3	1201	4706	5219	0		0		
2	1201	5219	5732	0		0		
3	1201	5732	6501	0		0		
4	1201	6501	6950	0		0		
2	1101	6950	0	0		0		
3	1101	7270	0	0		0		
4	1101	7559	0	0		0		
1	1101	7783	0	0		0		
2	1101	8039	0	0		0		
3	1201	8296	8809	0		0		
4	1201	8809	9321	0		0		
2	1201	9321	9834	0		0		
1	1201	9834	10347	0		0		
3	1201	10347	10860	0		0		
4	1201	10860	11373	0		0		
1	1201	11373	11885	0		0		
2	1101	11885	0	0		0		
3	1201	12174	12687	0		0		
4	1101	12687	0	0		0		
2	1101	12943	0	0		0		
3	1101	13200	0	0		0		
1	1201	13456	14193	0		0		
4	1201	14193	14738	0		0		
1	1101	14738	0	0		0		
2	1101	14994	0	0		0		
4	1101	15251	0	0		0		
3	1101	15507	0	0		0		
1	1101	15764	0	0		0		
2	1101	16020	0	0		0		
4	1101	16276	0	0		0		
1	1101	16565	0	0	2	0		
3	1101	16565	0	0	2	0		
4	1101	17014	0	0		0		
2	1101	17526	0	0		0		
1	1201	18039	18809	0		0		
3	1201	18809	19353	0		0		
2	1101	19353	0	0		0		
1	1101	19610	0	0		0		
2	1101	19866	0	0		0		
3	1101	20123	0	0		0		
1	1101	20379	0	0		0		
2	1101	20667	0	0		0		
4	1101	20667	0	0		0		
1	1101	21116	0	0		0		
3	1101	21629	0	0		0		
4	1301	22142	23712	0		0	3	23200
1	1101	23712	0	0		0		
3	1101	23969	0	0		0		
4	1101	24225	0	0		0		
1	1101	24482	0	0		0		
2	1201	24738	25732	0		0		
1	1201	25732	26757	0		0		
4	1201	26757	27783	0		0		
3	1201	27783	28552	0		0		
1	1201	28552	29321	0		0		
2	1101	29321	0	0		0		
4	1101	29610	0	0		0		
3	1201	29866	30635	0		0		
2	1201	30635	31148	0		0		
1	1101	31148	0	0		0		
2	1101	31405	0	0		0		
4	1101	31661	0	0		0		
3	1301	31917	32943	0		0	4	32687
2	1101	32943	0	0		0		
1	1101	33200	0	0	3	0		
2	1101	33456	0	0		0		
3	1101	33712	0	0		0		
4	1101	33969	0	0		0		
2	1201	34225	34962	0		0		
1	1101	34962	0	0		0		
4	1101	35251	0	0		0		
3	1101	35507	0	0		0		
4	1101	35764	0	0		0		
1	1101	36020	0	0		0		
3	1101	36276	0	0		0		
2	1101	36533	0	0		0		
4	1101	36789	0	0		0		
3	1101	37046	0	0		0		
1	1101	37302	0	0		0		
2	1101	37559	0	0		0		
1	1101	37815	0	0		0		
4	1101	38071	0	0		0		
3	1201	38328	39065	0		0		
1	1101	39097	0	0		0		
4	1101	39353	0	0		0		
3	1101	39610	0	0		0		
4	1101	39866	0	0		0		
1	1101	40123	0	0		0		
2	1101	40379	0	0		0		
1	1101	40635	0	0		0		
3	1101	40892	0	0		0		
4	1301	41148	42687	0		0	3	41917		
2	1101	43167	0	0		0		
1	1101	43680	0	0		0		
3	1101	44193	0	0		0		
2	1101	44706	0	0		0		
4	1101	45219	0	0		0		
1	1101	45571	0	0		0		
3	1101	45892	0	0		0		
2	1201	46276	47014	0		0		
4	1201	47014	48328	0		0		
1	1101	48328	0	0		0		
4	1101	48584	0	0		0		
3	1101	48841	0	0		0		
1	1101	49097	0	0		0		
2	1101	49385	0	0	1	0		
4	1101	49385	0	0	1	0		
3	1101	49866	0	0		0		
2	1101	50379	0	0		0		
1	1101	50892	0	0		0		
3	1101	51148	0	0		0		
2	1201	51661	52430	0		0		
3	1101	52430	0	0		0		
4	1101	52687	0	0		0		
1	1101	52943	0	0		0		
3	1101	53200	0	0		0		
2	1101	53488	0	0		0		
4	1101	53488	0	0		0		
3	1101	53969	0	0		0		
1	1101	54482	0	0		0		
4	1101	54994	0	0		0		
2	1101	55251	0	0		0		
3	1201	55732	56501	0		0		
4	1101	56501	0	0		0		
3	1101	57014	0	0		0		
1	1301	57526	59097	0		0	2	58232		
4	1301	59578	61148	0		0	3	60379		
1	1201	61405	62174	0		0		
2	1101	62174	0	0		0		
3	1101	62430	0	0		0		
4	1201	62687	63456	0		0		
2	1201	63456	64225	0		0		
4	1101	64225	0	0		0		
1	1101	64482	0	0		0		
3	1101	64738	0	0		0		
4	1101	64994	0	0		0		
2	1101	65251	0	0		0		
4	1101	65507	0	0		0		
1	1101	65796	0	0	2	0		
3	1101	65796	0	0	2	0		
2	1101	66244	0	0		0		
4	1101	66757	0	0		0		
2	1201	67270	68007	0		0		
3	1201	68007	68841	0		0		
4	1101	68841	0	0		0		
2	1101	69097	0	0		0		
3	1101	69353	0	0		0		
4	1101	69610	0	0		0		
1	1101	69898	0	0		0		
3	1101	69898	0	0		0		
2	1101	70379	0	0		0		
3	1101	70892	0	0		0		
4	1201	71373	72174	0		0		
3	1201	72174	72911	0		0		
1	1101	72911	0	0		0		
4	1101	73424	0	0		0		
1	1301	73937	75507	0		0	2	74738		
4	1301	75988	77559	0		0	2	77046		
3	1201	77815	78584	0		0		
2	1101	78584	0	0		0		
3	1101	78841	0	0		0		
2	1101	79097	0	0		0		
3	1101	79353	0	0		0		
1	1101	79610	0	0		0		
3	1201	79898	80603	0		0		
2	1101	80603	0	0		0		
4	1101	80603	0	0		0		
3	1101	81116	0	0		0		
2	1201	81405	81917	0		0		
3	1101	81917	0	0		0		
4	1101	82174	0	0		0		
