音轨（1 2 3 4）	音乐块ID	开始时间	结束时间	音效	背景	背景切换方式
Line	Id	StartTime	EndTime	SoundEffects	Background	ChangeForm
3	1201	65	914	0		0
2	1101	912	0	0		0
3	1101	1407	0	0		0
1	1101	1890	0	0		0
4	1101	2374	0	0		0
3	1101	2858	0	0		0
1	1101	3342	0	0		0
3	1101	3826	0	0		0
2	1101	4310	0	0		0
4	1101	4794	0	0		0
3	1101	5278	0	0		0
2	1201	5761	6699	0		0
3	1101	6699	0	0		0
1	1101	7183	0	0		0
4	1201	7636	8604	0	2	0
3	1101	8604	0	0		0
4	1101	9088	0	0		0
1	1101	9330	0	0		0
2	1201	9814	10540	0		0
3	1101	10540	0	0		0
4	1101	11023	0	0		0
2	1101	11265	0	0		0
1	1201	11749	12475	0		0
2	1101	12475	0	0		0
3	1101	12959	0	0		0
4	1201	13443	14411	0		0
2	1101	14411	0	0		0
3	1101	14894	0	0		0
2	1101	15378	0	0	3	0
4	1101	15378	0	0	3	0
3	1101	15862	0	0		0
4	1101	16346	0	0		0
2	1101	16588	0	0		0
4	1101	17072	0	0		0
2	1101	17556	0	0		0
1	1101	18040	0	0		0
3	1101	18282	0	0		0
2	1101	18523	0	0		0
4	1101	18765	0	0		0
2	1101	19007	0	0		0
1	1101	19249	0	0		0
3	1101	19249	0	0		0
2	1101	19733	0	0		0
3	1101	20217	0	0		0
1	1101	20701	0	0		0
4	1101	21185	0	0		0
3	1101	21669	0	0		0
2	1101	22153	0	0		0
1	1101	22394	0	0		0
3	1101	22636	0	0		0
2	1101	22878	0	0		0
4	1201	23120	24088	0		0
3	1101	24088	0	0		0
2	1101	24330	0	0		0
4	1101	24572	0	0		0
3	1101	24814	0	0		0
1	1101	25298	0	0		0
3	1101	25782	0	0		0
2	1101	26023	0	0		0
1	1101	26265	0	0		0
3	1101	26507	0	0		0
2	1101	26749	0	0		0
1	1201	26991	27959	0		0
2	1101	27959	0	0		0
4	1101	28201	0	0		0
3	1101	28443	0	0		0
2	1101	28685	0	0		0
4	1201	28927	29894	0		0
3	1201	29894	30862	0		0
2	1101	30862	0	0	1	0
4	1101	30862	0	0	1	0
3	1101	31225	0	0		0
4	1101	31588	0	0		0
3	1101	31830	0	0		0
2	1101	32072	0	0		0
4	1101	32314	0	0		0
3	1101	32556	0	0		0
2	1101	33040	0	0		0
1	1101	33282	0	0		0
3	1101	33523	0	0		0
1	1101	33765	0	0		0
3	1101	34007	0	0		0
2	1101	34249	0	0		0
4	1101	34491	0	0		0
1	1101	34975	0	0		0
3	1101	35217	0	0		0
2	1101	35459	0	0		0
4	1201	35701	36185	0		0
2	1201	36185	36669	0		0
3	1101	36669	0	0		0
2	1101	36911	0	0		0
4	1101	37153	0	0		0
3	1101	37394	0	0		0
2	1101	37636	0	0		0
1	1101	37878	0	0		0
3	1101	38120	0	0		0
2	1101	38604	0	0		0
4	1101	38604	0	0		0
3	1101	39088	0	0		0
2	1101	39572	0	0		0
4	1101	39814	0	0		0
3	1101	40056	0	0		0
1	1101	40540	0	0		0
3	1101	41023	0	0		0
2	1101	41507	0	0		0
4	1101	41749	0	0		0
3	1101	41991	0	0		0
1	1101	42475	0	0		0
3	1101	42959	0	0		0
2	1101	43443	0	0		0
4	1101	43685	0	0		0
3	1101	43927	0	0		0
2	1101	44169	0	0		0
4	1101	44411	0	0		0
3	1101	44894	0	0		0
1	1101	45378	0	0		0
2	1101	45862	0	0		0
4	1201	46346	47314	0	2	0
3	1101	47314	0	0		0
2	1101	47798	0	0		0
1	1201	48282	49249	0		0
2	1101	49249	0	0		0
3	1101	49733	0	0		0
2	1201	50217	51185	0		0
3	1101	51185	0	0		0
4	1101	51669	0	0		0
1	1201	52153	53120	0		0
4	1201	53120	54088	0		0
2	1101	54088	0	0		0
4	1101	54572	0	0		0
3	1101	55056	0	0		0
2	1101	55298	0	0		0
1	1101	56023	0	0		0
3	1101	56023	0	0		0
2	1101	56507	0	0		0
3	1101	56991	0	0		0
2	1201	57233	57959	0		0
4	1101	57959	0	0		0
3	1101	58201	0	0		0
4	1101	58443	0	0		0
3	1101	58685	0	0		0
2	1101	58927	0	0		0
1	1101	59169	0	0		0
3	1101	59411	0	0		0
2	1101	59894	0	0		0
1	1101	60378	0	0		0
4	1101	60862	0	0		0
3	1101	61104	0	0		0
