音轨（1 2 3 4）	音乐块ID	开始时间	结束时间	音效	背景	背景切换方式	
Line	Id	StartTime	EndTime	SoundEffects	Background	ChangeForm	
2	1201	991	1634	0		0	
3	1101	1634	0	0		0	
2	1101	1848	0	0		0	
3	1101	2062	0	0		0	
1	1101	2276	0	0		0	
3	1101	2491	0	0		0	
4	1201	2705	3348	0		0	
1	1101	3348	0	0		0	
3	1101	3562	0	0		0	
2	1101	3776	0	0		0	
4	1101	3991	0	0		0	
1	1101	4205	0	0		0	
3	1201	4419	4848	0		0	
2	1201	4848	5276	0		0	
1	1201	5276	5705	0		0	
3	1201	5705	6134	0		0	
4	1201	6134	6776	0		0	
1	1101	6776	0	0		0	
3	1101	6991	0	0		0	
2	1101	7205	0	0		0	
4	1101	7419	0	0		0	
2	1101	7634	0	0		0	
1	1101	7848	0	0	2	0	
3	1101	7848	0	0	2	0	
2	1101	8169	0	0		0	
3	1101	8491	0	0		0	
4	1101	8705	0	0		0	
2	1101	8919	0	0		0	
3	1101	9134	0	0		0	
2	1101	9348	0	0		0	
1	1101	9562	0	0		0	
3	1101	9562	0	0		0	
2	1101	9884	0	0		0	
3	1101	10205	0	0		0	
4	1101	10419	0	0		0	
3	1101	10634	0	0		0	
2	1101	10848	0	0		0	
4	1101	11062	0	0		0	
1	1101	11276	0	0		0	
3	1101	11276	0	0		0	
2	1101	11598	0	0		0	
4	1101	11919	0	0		0	
2	1101	12134	0	0		0	
3	1101	12348	0	0		0	
1	1101	12562	0	0		0	
3	1101	12776	0	0		0	
2	1201	12991	13634	0		0	
4	1201	12991	13634	0		0	
3	1101	13634	0	0		0	
1	1101	13848	0	0		0	
3	1101	14062	0	0		0	
2	1101	14276	0	0		0	
3	1101	14491	0	0		0	
2	1101	14705	0	0		0	
4	1101	14705	0	0		0	
3	1101	15026	0	0		0	
1	1101	15348	0	0		0	
3	1101	15562	0	0		0	
2	1101	15776	0	0		0	
3	1101	15991	0	0		0	
1	1101	16205	0	0		0	
4	1101	16419	0	0		0	
3	1101	16741	0	0		0	
2	1101	17062	0	0		0	
4	1101	17062	0	0		0	
3	1101	17276	0	0		0	
2	1101	17491	0	0		0	
3	1101	17705	0	0		0	
1	1101	17919	0	0		0	
3	1201	18134	18776	0		0	
1	1101	18776	0	0		0	
3	1101	18991	0	0		0	
2	1101	19205	0	0		0	
4	1101	19419	0	0		0	
3	1101	19634	0	0		0	
1	1201	19848	20491	0		0	
3	1101	20491	0	0		0	
2	1101	20705	0	0		0	
4	1101	20919	0	0		0	
1	1101	21134	0	0		0	
3	1101	21348	0	0		0	
2	1201	21562	21991	0	3	0	
4	1201	21562	21991	0	3	0	
3	1101	21991	0	0		0	
4	1101	22205	0	0		0	
2	1101	22419	0	0		0	
3	1101	22634	0	0		0	
2	1101	22848	0	0		0	
1	1101	23062	0	0		0	
2	1201	23276	23705	0		0	
4	1201	23276	23705	0		0	
3	1101	23705	0	0		0	
2	1101	23919	0	0		0	
3	1101	24134	0	0		0	
1	1101	24348	0	0		0	
3	1101	24562	0	0		0	
2	1101	24776	0	0		0	
1	1201	24991	25419	0		0	
3	1201	24991	25419	0		0	
2	1101	25419	0	0		0	
3	1101	25634	0	0		0	
2	1101	25848	0	0		0	
4	1101	26062	0	0		0	
2	1101	26276	0	0		0	
1	1101	26491	0	0		0	
2	1201	26705	27134	0		0	
4	1201	26705	27134	0		0	
3	1101	27134	0	0		0	
1	1101	27348	0	0		0	
3	1101	27562	0	0		0	
2	1101	27776	0	0		0	
4	1101	27991	0	0		0	
1	1101	28205	0	0		0	
3	1201	28419	28848	0		0	
2	1101	28848	0	0		0	
3	1101	29062	0	0		0	
2	1101	29276	0	0		0	
1	1101	29491	0	0		0	
3	1101	29705	0	0		0	
2	1101	29919	0	0		0	
4	1201	30134	30562	0		0	
1	1101	30562	0	0		0	
3	1101	30776	0	0		0	
2	1101	30991	0	0		0	
4	1101	31205	0	0		0	
1	1101	31419	0	0		0	
3	1101	31634	0	0		0	
2	1201	31848	32276	0		0	
1	1101	32276	0	0		0	
3	1101	32491	0	0		0	
2	1101	32705	0	0		0	
4	1101	32919	0	0		0	
2	1101	33134	0	0		0	
3	1101	33348	0	0		0	
1	1201	33562	33991	0		0	
2	1201	33991	34419	0		0	
3	1101	34419	0	0		0	
4	1101	34634	0	0		0	
3	1101	34848	0	0		0	
4	1101	35062	0	0		0	
1	1101	35276	0	0	1	0	
3	1101	35276	0	0	1	0	
2	1101	35491	0	0		0	
3	1101	35705	0	0		0	
1	1101	35919	0	0		0	
3	1101	36134	0	0		0	
2	1101	36348	0	0		0	
4	1101	36562	0	0		0	
3	1101	36776	0	0		0	
2	1101	36991	0	0		0	
4	1101	36991	0	0		0	
3	1101	37205	0	0		0	
2	1101	37419	0	0		0	
1	1101	37634	0	0		0	
4	1101	37848	0	0		0	
2	1101	38062	0	0		0	
3	1101	38276	0	0		0	
1	1101	38491	0	0		0	
4	1101	38705	0	0		0	
2	1101	38705	0	0		0	
3	1101	38919	0	0		0	
1	1101	39134	0	0		0	
3	1101	39348	0	0		0	
2	1101	39562	0	0		0	
4	1101	39776	0	0		0	
1	1101	39991	0	0		0	
3	1101	40205	0	0		0	
2	1101	40419	0	0		0	
4	1101	40419	0	0		0	
3	1101	40634	0	0		0	
2	1101	40848	0	0		0	
3	1101	41062	0	0		0	
1	1101	41276	0	0		0	
3	1101	41491	0	0		0	
2	1101	41705	0	0		0	
4	1101	41919	0	0		0	
1	1101	42134	0	0		0	
3	1101	42134	0	0		0	
2	1101	42348	0	0		0	
4	1101	42562	0	0		0	
1	1101	42776	0	0		0	
3	1101	42991	0	0		0	
1	1101	43205	0	0		0	
3	1101	43419	0	0		0	
2	1101	43634	0	0		0	
1	1101	43848	0	0		0	
3	1101	43848	0	0		0	
2	1101	44062	0	0		0	
4	1101	44276	0	0		0	
2	1101	44491	0	0		0	
4	1101	44705	0	0		0	
2	1101	44919	0	0		0	
4	1101	45134	0	0		0	
1	1101	45348	0	0		0	
2	1101	45562	0	0		0	
4	1101	45562	0	0		0	
3	1101	45776	0	0		0	
1	1101	45991	0	0		0	
3	1101	46205	0	0		0	
2	1101	46419	0	0		0	
3	1101	46634	0	0		0	
1	1101	46848	0	0		0	
4	1101	47062	0	0		0	
2	1201	47276	47919	0		0	
3	1101	47919	0	0		0	
4	1101	48134	0	0		0	
2	1101	48348	0	0		0	
3	1101	48562	0	0		0	
1	1101	48776	0	0		0	
3	1201	48991	49634	0	2	0	
1	1101	49634	0	0		0	
3	1101	49848	0	0		0	
2	1101	50062	0	0		0	
4	1101	50276	0	0		0	
1	1101	50491	0	0		0	
3	1201	50705	51026	0		0	
2	1201	51026	51348	0		0	
3	1101	51348	0	0		0	
4	1101	51562	0	0		0	
3	1101	51776	0	0		0	
2	1101	51991	0	0		0	
3	1101	52205	0	0		0	
1	1201	52419	53062	0		0	
4	1101	53062	0	0		0	
3	1101	53276	0	0		0	
1	1101	53491	0	0		0	
